BBC Radio 1	BBC One
Guangzhou Evergrande Taobao Football Club	Guangzhou Evergrande Taobao FC
LibreOffice	LibreOffice
Stefan Effenberg	Stefan Effenberg
Yuan Shanshan	Yuan Shanshan
Jet Evans	Ched Evans
Andres Herzog	Andi Herzog
HTC One V	HTC One V
William Rehnquist	William Rehnquist
alkmaar	Alkmaar
mauritius	Mauritius
The Kushan Empire	Kushan Empire
Emirate of Jebel Shamar	Emirate of Jabal Shammar
west Virginia	West Virginia
Syrian Armed Forces	Syrian Armed Forces
Asamoah Gian	Asamoah Gyan
Patty Murray	Patty Murray
EXID	EXID
Pedro I Brazil	Pedro I of Brazil
Jahangir	Jahangir
Todor Bulmov	Todor Burmov
Heechul	Kim Heechul
Foxborough	Foxborough Massachusetts
Takasaki	Takasaki Gunma
Sugasa Dasa Stadium	Sugathadasa Stadium
ShanghaiKunming Line	ShanghaiKunming Railway
Thomas Vermaelen	Thomas Vermaelen
Hurricane Ike	Hurricane Ike
Morocco National Football Team	Morocco national football team
Notre Dame	Notre Dame de Paris
Bosnian	Bosnian language
Wuhan University	Wuhan University
Sunny Hill	Sunny Hill
Americas	Americas
Jim Ji won	Kim Jiwon actress
ArabIsraeli conflict	ArabIsraeli conflict
Ada	Ada programming language
Arabic Alphabet	Arabic alphabet
Inha University	Inha University
Michael Sheen	Michael Sheen
Abd Raab Mansour Hadi	Abd Rabbuh Mansur Hadi
Bill Nelson	Bill Nelson
Al Qaeda	AlQaeda
Lingya District	Lingya District
Philip II Macedonia	Philip II of Macedon
JeanBaptiste Lamarck	JeanBaptiste Lamarck
Western Yugur	Western Yugur language
Albert II Belgium	Albert II of Belgium
Guy de Maupassant	Guy de Maupassant
Swiss Federal Council	Swiss Federal Council
Takuya Terada	Takuya Terada
Friends Season 7	Friends season 7
Indian Premier League	Indian Super League
Madagascar	Madagascar
Tropical Storm Hannah	Tropical Storm Hanna 2002
Royal Australian Air Force	Royal Australian Air Force
Fabio Capello	Fabio Capello
Omonia Sports	AC Omonia
Russian Soviet Federal Socialist Republic	Russian Soviet Federative Socialist Republic
FC Basel	FC Basel
Phoenix Sky Harbor International Airport	Phoenix Sky Harbor International Airport
Callixter III	Pope Callixtus III
Paris	Paris
Queen Noor Jordan	Queen Noor of Jordan
Marianne Raven	Marion Raven
Carson California	Carson California
Villarreal Football Club	Villarreal CF
University of Alabama	University of Alabama
Hachinohe	Hachinohe Aomori
Sistus V	Pope Sixtus V
Ronan Keating	Ronan Keating
Kingdom of Yugoslavia	Kingdom of Yugoslavia
PepGuardiola	Pep Guardiola
University of Portland	University of Portland
Alan Shihan	Alan Sheehan
Yuri Mikhailovich Luzhkov	Yury Luzhkov
Wii U	Super Smash Bros for Nintendo 3DS and Wii U
bird	Bird
Giorgio Chiellini	Giorgio Chiellini
Prague University of Economics	University of Economics Prague
Belgium Football League	Belgian Pro League
Ingrid Bergman	Ingrid Bergman
University of Jena	University of Jena
Adam Smith	Adam Smith
Windows Phone	Windows Phone
Des Voeux	William Des Vœux
Liquivea Sports	Lekhwiya SC
pakistan	Pakistan
Nintendo WiFi Connection	Nintendo WiFi Connection
Northeastern University USA	Northeastern University
Ashkan Dejaga	Ashkan Dejagah
José Bosingwa	José Bosingwa
Drake Singer	Drake rapper
Katowice	Katowice
MOON Kumi Koda single	Moon EP
Angelino Alfano	Angelino Alfano
Renaldo Elias da Costa	Reinaldo Elias da Costa
GNU	GNU
Chris Brown	Chris Brown
Jose Luis Rodriguez Zapatero	José Luis Rodríguez Zapatero
William Wyndham	William Windom
Universal Parks  Resorts	Universal Parks  Resorts
The Government of Li Keqiang	Li Keqiang Government
Seth Harris	Seth Harris
Radoslav Kovacs	Radoslav Kováč
Microsoft Word	Microsoft Word
Czech National Football Team	Czech Republic national football team
First Minister of Scotland	First Minister of Scotland
Mongol Empire	Mongol Empire
Ashikaga Yoshimitsu	Ashikaga Yoshimitsu
Leuwarden	Leeuwarden
Haarlem	Haarlem
Daur	Daur language
Fuchu City Tokyo	Fuchū Tokyo
Jining	Jining
Gossip Candy	Gossip Candy
IOS	IOS
Universal Orlando Resort	Universal Orlando
Aung San Suu Kyi	Aung San Suu Kyi
Deng Yingchao	Deng Yingchao
Tim BernersLee	Tim BernersLee
Mamadou Shagao	Mamadou Sakho
California State University Sacramento	California State University Sacramento
Tongzhi Emperor	Tongzhi Emperor
Nazu Monlier	Nacho Monreal
Limbu	Limbu language
Queen Xiaoshurui	Empress Xiaoshurui
Wintonshire Government	Shire of Winton
Chavacano	Chavacano
Chinas Got Talent Season 3	Chinas Got Talent series 3
Semeria	Sammir
Brandon Santalab	Brendon Šantalab
Axel VJohnson	Aksel V Johannesen
Aldous Huxley	Aldous Huxley
Campus Utopia Xuemei rush forward	Gakuen Utopia Manabi Straight
Hakan Yakin	Hakan Yakin
Zenica	Zenica
North Brabant	North Brabant
Hausa	Hausa language
The Pretenders	The Pretenders
Mazda Cosmo	Mazda Cosmo
Antonio Lopez	Antonio López footballer born 1981
Lhasa Gonggar Airport	Lhasa Gonggar Airport
Giorjos Chavelas	Georgios Tzavellas
Luis Figo	Luís Figo
derry	Delhi
OcRoman languages	OccitanoRomance languages
Epiccurus	Epicurus
Benjamin Disraeli	Benjamin Disraeli
belize	Belize
Takatsuki	Takatsuki Osaka
Marina Stoddard Eccles	Marriner Stoddard Eccles
Clement Attlee	Clement Attlee
Jeonbuk Hyundai Motor Football Club	Jeonbuk Hyundai Motors FC
Atlantic Records	Atlantic Records
H Ayumi Hamasaki single	H EP
John Paul Stevens	John Paul Stevens
palencia	Palencia
North Sea Atlantic	North Sea
Nationalist Party Malta	Nationalist Party Malta
Mary Todd	Mary Todd Lincoln
Republic of Genoa	Republic of Genoa
Senard Lulich	Senad Lulić
Swift Program language	Swift programming language
Yurico Gaspar Dutra	Eurico Gaspar Dutra
Paraná	Paraná state
Bulgarian	Bulgarian language
German Chancellor	Chancellor of Germany
OS X Mountain Lion	OS X Mountain Lion
Mestizo	Mestizo
Monaghanshire	County Monaghan
Southampton Football Club	Southampton FC
Fairmount Township Butler County	Fairmount Township Butler County Kansas
Heerenveen Sports	SC Heerenveen
South America Libertadores Cup	Copa Libertadores
Conan OBrien	Conan OBrien
Punjabi	Punjabis
MeeGo	MeeGo
Hu Jintao	Hu Jintao
Joachim Loew	Joachim Löw
Haji Ali Razmara	Haj Ali Razmara
Nintendo2DS	Nintendo 2DS
Yokosuka City	Yokosuka Kanagawa
Lao Peoples Revolutionary Party	Lao Peoples Revolutionary Party
Armintore Van Fanniere	Amintore Fanfani
Carlos Santana	Carlos Santana
Fyodor Mikhailovich Dostoevsky	Fyodor Dostoyevsky
Fabio Aurelio	Fábio Aurélio
Tomb Raider series	Tomb Raider
Russian Provisional Government	Russian Provisional Government
Victor Ponta	Victor Ponta
Shueisha	Shueisha
Clojure	Clojure
Mali National Football Team	Mali national football team
University of California Santa Cruz	University of California Santa Cruz
Montesquieu	Montesquieu
Left Party Sweden	Left Party Sweden
Lucrezia Borgia	Lucrezia Borgia
Swiss Premier League	Swiss Super League
Charlie and the Chocolate Factory	Charlie and the Chocolate Factory film
Roberto Carlos	Roberto Carlos footballer
Mohammad Morsi	Mohamed Morsi
Tochigi Prefecture	Tochigi Prefecture
Norodom Monile	Norodom Monineath
Breem Dzemaeli	Blerim Džemaili
Saint Barthelemy	Saint Barthélemy
Like a virgin song	Like a Virgin song
Central Academy of Drama	Central Academy of Drama
The Knights of Malta	Sovereign Military Order of Malta
Shandong Airlines	Shandong Airlines
Maxis	Maxis
Angels Fall First	Angels Fall First
Sergei Shoigu	Sergey Shoygu
Kitty Perry	Katy Perry
Cape Colony	Cape Colony
Zara Phillips	Zara Phillips
Bernard Mandeville	Bernard Mandeville
Nivkh	Nivkh language
Lee Seung Gi	Lee Seunggi
Charles Evans Hughes	Charles Evans Hughes
Lamborghini Gallardo	Lamborghini Gallardo
Tocharian	Tocharian languages
Hitachi	Hitachi
University of Zurich	University of Zurich
Uttarakhand	Uttarakhand
Du riechst so gut	Du riechst so gut
Flora Finch	Flora Finch
Massachusetts	Massachusetts
Gerald Ford	Gerald Ford
FrancoProvencal	FrancoProvençal language
Ernst Kummer	Ernst Kummer
Shijiazhuang Yongchang Football Club	Shijiazhuang Ever Bright FC
Diane Feinstein	Dianne Feinstein
Carlos Adriano Sosa Cruz	Carlos Adriano de Sousa Cruz
Luigi Inodi	Luigi Einaudi
Budapest	Budapest
VIXX	VIXX
Qin Sheng	Qin Sheng
trabzonsport	Trabzonspor
Equatorial Guinea	Equatorial Guinea
Camellia	Camellia
Robbie Keane	Robbie Keane
Marcel Desailly	Marcel Desailly
Yeon Soo Jung	Andrew Yeom Soojung
Valdemar Pavlac	Waldemar Pawlak
Debbie Stabyner	Debbie Stabenow
Nayef Khazazi	Naif Hazazi
Communist Party of the Republic of Moldova	Party of Communists of the Republic of Moldova
Lu Zhangong	Lu Zhangong
Mario Gomez	Mario Gómez
Jay Chou	Jay album
Zhang Yesui	Zhang Yesui
John Glover Roberts	John Roberts
Pasadena California	Pasadena California
EA	Electronic Arts
Kitchen Nightmares	Kitchen Nightmares
Dont wanna cry	Dont Wanna Cry
Abdullah bin Khalifa Stadium	Abdullah bin Khalifa Stadium
John B Weller	John B Weller
Viratko Glodanoski	Vlatko Grozdanoski
Hulk Comic	Hulk comics
United States Treasury Secretary	United States Secretary of the Treasury
Gelderland	Gelderland
Worcestershire	Worcestershire
Lost Season 3	Lost season 3
Dalian Shide Football Club	Dalian Shide FC
Qantas	Qantas
AMC TV channel	AMC TV channel
General Secretary of the Central Committee of the Communist Party of Vietnam	General Secretary of the Communist Party of Vietnam
Evergreen Group	Evergreen Group
Prudente de Morais	Prudente de Morais
CSX Shipping	CSX Transportation
Queen Dowager Cian	Empress Dowager Cian
John Sherman	John Sherman
Elvis Presley	Elvis Presley
Malcolm Fraser	Malcolm Fraser
Napoleon III	Napoleon III
Airbus A330	Airbus A330
Gerald Gurani	Gerald Guralnik
Royal Espanyol Sports Club	RCD Espanyol
Cao Cao	Cao Cao
Canada Bay	City of Canada Bay
Suwa City	Suwa Nagano
List of Prime Ministers of Slovenia	Prime Minister of Slovenia
Democratic Party Mongolia	Democratic Party Mongolia
Semstin Gunartay	Şemsettin Günaltay
Herbert Blumer	Herbert Blumer
Tekoshi Yuya	Yuya Tegoshi
Gary Cahill	Gary Cahill
Australian Stadium	Stadium Australia
Vasa Dynasty	House of Vasa
CAROLS	Carols Ayumi Hamasaki song
President of the Legislative Council of Hong Kong	President of the Legislative Council of Hong Kong
Republic of Crimea	Republic of Crimea
Nightwish	Nightwish
Atsugi	Atsugi Kanagawa
Emma Goldman	Emma Goldman
Bon Voyage Koda Kumi album	Bon Voyage Kumi Koda album
Japan National Railway	Japanese National Railways
Mikael Sylvester	Mikaël Silvestre
Bastian Schweinsteiger	Bastian Schweinsteiger
Allied Military Occupation of Japan	Occupation of Japan
Niels Bohr	Niels Bohr
Georg Schwarzenbeck	HansGeorg Schwarzenbeck
Kurt Alder	Kurt Alder
Penguin Publishing Group	Penguin Books
C ♯	C Sharp programming language
Berlin	Berlin
Boeing Commercial Airplanes	Boeing Commercial Airplanes
cameroon	Cameroon
Qing Dynasty	Qing dynasty
P3 Orion Maritime Patrol	Lockheed P3 Orion
Palm Desert California	Palm Desert California
Martin Brian Mulroney	Brian Mulroney
Ludvik Swoboda	Ludvík Svoboda
Patrick Leahy	Patrick Leahy
madrid	Madrid
Aymara	Aymara language
Basque	Basque language
Agatha Barbara	Agatha Barbara
NVIDIA GeForce 700	GeForce 700 series
HTC First	HTC First
King Fushimi Miyahiro Kyou	Prince Fushimi Hiroyasu
Chromecast	Chromecast
Robert Kunz	Robert Coontz
Kamakura Shogunate	Kamakura shogunate
Ntv7	NTV7
Pat Roberts	Pat Roberts
Labour Hong Kong	Labour Party Hong Kong
Saint Paul Minnesota	Saint Paul Minnesota
University of Liverpool	University of Liverpool
Oregon	Oregon
Ricardo Ezzati Andrello	Ricardo Ezzati Andrello
Dennis Zvesdic	Denis Zvizdić
Dara	Daraa Governorate
Taiwanese	Taiwanese people
Rivers Cuomo	Rivers Cuomo
Nancy Sports	AS Nancy
2014 AFC Champions League	2014 AFC Champions League
Roger Wick	Roger Wicker
Levy Woodbury	Levi Woodbury
City Football Group	City Football Group
stalbans	St Albans
Brooklyn	Brooklyn
SaxonyWeimarEisenach	Grand Duchy of SaxeWeimarEisenach
city of gothenburg	Gothenburg Municipality
shropshire	Shropshire
ABBA	ABBA
Valencian	Valencian
Benjamin Bristow	Benjamin Bristow
Brown Eyed Girls	Brown Eyed Girls
Nilo Pesania	Nilo Peçanha
Berber	Berbers
Rainie Yang	Rainie Yang
Yao	Yao people
Perfume	Perfume Japanese band
Duangu Mijan ZainerAbidin	Mizan Zainal Abidin of Terengganu
Scottish Gaelic	Scottish Gaelic
Mao Fumei	Mao Fumei
Vincenzo Montella	Vincenzo Montella
Shandong Sports Center Stadium	Shandong Provincial Stadium
Metz Football Club	FC Metz
Dordrecht	Dordrecht
Hans Geiger	Hans Geiger
Ivan Stepanovich Silaev	Ivan Silayev
Soraya IvandialiBhaktiari	Soraya EsfandiaryBakhtiari
Kashiwa	Kashiwa
Christopher Metzelder	Christoph Metzelder
Lafayette Louisiana	Lafayette Louisiana
Bannan Line	Taipei Metro Line 5
Wilber Pan	Wilber Pan
Tim Krell	Tim Krul
Ulla Schmidt	Ulla Schmidt
Wild Charlotte	Good Charlotte
illinois	Illinois
Wang Dongxing	Wang Dongxing
Hull City Football Club	Hull City AFC
Coptic alphabet	Coptic alphabet
Ichihara	Ichihara Chiba
Arjan Robben	Arjen Robben
Chandler Ibrahim Pasha the Elder	Çandarlı Ibrahim Pasha the Elder
Matsushima Nanako	Nanako Matsushima
Naha City	Naha
Clark University	Clark University
SaxonyMeiningen	Duchy of SaxeMeiningen
Wang Zhen	Wang Zhen
northern california	Northern California
Seven Years War	Seven Years War
Maebashi City	Maebashi
AbdulAziz Bouteflika	Abdelaziz Bouteflika
Warsaw Uprising	Warsaw Uprising
University of Turin	University of Turin
United States Secretary of Transportation	United States Secretary of Transportation
Melbourne City Football Club	Melbourne City FC
WIND Kumi Koda single	Wind song
Atlas Football Club	Club Atlas
Vasily Vasilyevich Kuznetsov	Vasili Kuznetsov politician
McLaren Racing	McLaren
Chiba Kazuhiko	Kazuhiko Chiba
Chen Jianbin	Chen Jianbin
ECMAScript	ECMAScript
Ron Wyden	Ron Wyden
Gilan	Gilan Province
Sugiman Virjosanzoyo	Soekiman Wirjosandjojo
Philips Stadium	Philips Stadion
Phil Spector	Phil Spector
Ibaraki	Ibaraki Osaka
Su24 fighterbomber	Sukhoi Su24
NintendoDSi	Nintendo DSi
William Golding	William Golding
Dmitry Stepanovich Polyansky	Dmitry Polyansky
Carry That Weight	Carry That Weight
Milan Susak	Milan Susak
Yugawaramachi	Yugawara
Timon Wellenreuth	Timon Wellenreuther
Vyacheslav Menzhinsky	Vyacheslav Menzhinsky
Warner Bros Television	Warner Bros Television
Rose Bowl	Rose Bowl Game
The Siren	The Siren song
Nankai University	Nankai University
Kingdom of England	Kingdom of England
2014 Chinese Football Association Cup	2014 Chinese FA Cup
States and Territories of India	States and union territories of India
Michael Bloomberg	Michael Bloomberg
Pratt  Whitney JT9D	Pratt  Whitney JT9D
Sports Club of Rome	AS Roma
Liu Yuzhang	Liu Yuzhang
Order of Australia	Order of Australia
Liu Jian football player	Liu Jian
Japan Airlines Flight 123 crash	Japan Airlines Flight 123
Imagali Nulgalievich Tasmagambetov	Imangali Tasmagambetov
Urbano III	Pope Urban III
Merrimack River	Merrimack River
Animax Asia	Animax Asia
BASIC	BASIC
split	Split Croatia
Sandra Day OConnor	Sandra Day OConnor
Armenia	Armenia
Ged Mueller	Gerd Müller
Korea Baseball Committee	Korea Baseball Organization
Brown University	Brown University
NintendoDS	Nintendo DS
Zhang Wentian	Zhang Wentian
Cornell University	Cornell University
Jeff Merkley	Jeff Merkley
borough of Strathfield	Municipality of Strathfield
Sparta Prague Football Club	AC Sparta Prague
Vegatech Sendai	Vegalta Sendai
Lakhdar Brahimi	Lakhdar Brahimi
DC Comics	DC Comics
Yellow song	Yellow Coldplay song
Padmé Amidala	Padmé Amidala
Atromitos Football Club	Atromitos FC
Federal President	President of Germany 191945
University of Notre Dame	University of Notre Dame
Bernast Tarleton	Banastre Tarleton
Rolling Stones	The Rolling Stones
Samuel Alito	Samuel Alito
Busan Metropolitan City	Busan
Staffordshire	Staffordshire
Pope Stephen I	Pope Stephen I
Ovid	Ovid
Albanian Armed Forces	Albanian Armed Forces
GNU Core Toolset	GNU Core Utilities
Lord William Bentinck	Lord William Bentinck
Francesco Toldo	Francesco Toldo
Philadelphia 76ers	Philadelphia 76ers
piedra	Piedra Spain
Jimmy Carter	Jimmy Carter
France National Under21 Football Team	France national under21 football team
Fool Again	Fool Again
Xiaomi Phone 2	Xiaomi Mi 2
Francesco Corsiga	Francesco Cossiga
Dutch East Indies	Dutch East Indies
The Flash 2014 TV series	The Flash 2014 TV series
GDragon	GDragon
Brandeis University	Brandeis University
David Stern	David Stern
Manuel Valls	Manuel Valls
Salamanca Football Club	UD Salamanca
George Grenville	George Grenville
Amelia Fox	Emilia Fox
Sherrod Brown	Sherrod Brown
Santander Spain	Santander Spain
Yunnan Province	Yunnan
Michael Bay	Michael Bay
TibetanBurman	TibetoBurman languages
Takashi Soramachi	Takashi Sorimachi
Karakoram	Karakoram
Ultimatum	The Bourne Ultimatum
Kamikawa Yoko	Yōko Kamikawa
Yamaguchi Prefecture	Yamaguchi Prefecture
colorado rapids	Colorado Rapids
Yan Xishan	Yan Xishan
Northwest Territories Canada	Northwest Territories
North Carolina	North Carolina
South Tang	Southern Tang
Republican France	The Republicans France
Angela Merkel	Angela Merkel
West Java	West Java
medellin independence	Independiente Medellín
Iwabuchi Mana	Mana Iwabuchi
Albanian Party of Labour	Party of Labour of Albania
Casey Affleck	Casey Affleck
Gwangju World Cup Arena	Gwangju World Cup Stadium
Wally West	Wally West
English	English language
Manco Inka Yupanki	Manco Inca Yupanqui
State University of New York	State University of New York
SO female	So Girls
Madonna	Madonna entertainer
OUT WORKS  COLLABORATION BEST	Out Works  Collaboration Best
Dai Jiaoqian	Dai Jiaoqian
Isotani Rensuke	Rensuke Isogai
Hong Kong Group C A Football League	Hong Kong Third A Division League
Leiden University	Leiden University
KisMyFt2	KisMyFt2
bulgaria	Bulgaria
Yokohama City	Yokohama
Leo IX	Pope Leo IX
Monthly Comic Alive	Monthly Comic Alive
Bashkir	Bashkirs
Adobe Flash Player	Adobe Flash Player
Bertrand Delanoe	Bertrand Delanoë
Will Charn	Will Champion
French Polynesia	French Polynesia
STARCAMP EP	Starcamp EP
Gurney Kardashian	Kourtney Kardashian
Nampo Special City	Nampo
Brazil	Brazil
Avex trax	Avex Trax
Warwickshire	Warwickshire
Jerry Moran	Jerry Moran
Working Peoples Progressive Party	Progressive Party of Working People
Lin Fengjiao	Lin Fengjiao
Jack Lane	Jack Ryan character
Edogawa Ward	Edogawa Tokyo
Victor Stepanovich Chernomyrdin	Viktor Chernomyrdin
Hong Kong Group C Football League	Hong Kong Third Division League
Henry Brisson	Henri Brisson
Voyager 2	Voyager 2
Hohenzollern Dynasty	House of Hohenzollern
Tuo Zhen	Tuo Zhen
Roman Sharonoff	Roman Sharonov
Feng Guozhang	Feng Guozhang
Pierre Luigi Bersani	Pier Luigi Bersani
Leverkusen FC	Bayer 04 Leverkusen
Donald III Scotland	Donald III of Scotland
Virgin Records	Virgin Records
Tokyo Disneyland	Tokyo Disneyland
Fujisawa City	Fujisawa Kanagawa
Sony Ericsson Xperia arc S	Sony Ericsson Xperia arc S
Mini DisplayPort	Mini DisplayPort
Luo Gan	Luo Gan
Dream Girl  The Misconceptions Of You	Dream Girl  The Misconceptions of You
The Magicians Nephew	The Magicians Nephew
Gonchikin Bumanzendi	Gonchigiin Bumtsend
United Left Spain	United Left Spain
Leandro Guetta	Leandro Guaita
Thomas Hobbes	Thomas Hobbes
kaka	Kaká
Lu Xun	Lu Xun
Bob Kolker	Bob Corker
Yang Xu	Yang Xu
France Womens National Football Team	France womens national football team
Ahmed Oyahia	Ahmed Ouyahia
Maria Alexandrovna Country of HesseRhine	Maria Alexandrovna Marie of Hesse and by Rhine
Gorica Football Club	ND Gorica
TRAX	TRAX band
Socrates	Socrates
National Revolutionary Army	National Revolutionary Army
Umberto II	Umberto II of Italy
Southend Football Club	Southend United FC
Latvian Premier League	Latvian Higher League
London Underground	London Underground
Francesco Totti	Francesco Totti
SimCity Series	SimCity
Ordos	Ordos City
Bert T Combs	Bert T Combs
Sun Zhengcai	Sun Zhengcai
Khmer Empire	Khmer Empire
Hong Kong Economic and Peoples Livelihood Alliance	Business and Professionals Alliance for Hong Kong
thuringia	Thuringia
Taylor Swift	Taylor Swift
TVBS	TVBS
Yoshida Maya	Maya Yoshida
Even if Hirai Ken single	Even If Ken Hirai song
akhenaten	Akhenaten
Goa Football Club	FC Goa
Tibetan	Tibetic languages
Cathay Pacific	Cathay Pacific
Fukui Prefecture	Fukui Prefecture
Angelo OBonna	Angelo Ogbonna
Sorry Sorry	Sorry Sorry
UtahAztec	UtoAztecan languages
Steven Hawking	Stephen Hawking
Lu Wei	Lu Wei politician
The Rise of the Kingdom	Rise of Nations
John Wheeler	John Archibald Wheeler
Muhammad Ould AbdulAziz	Mohamed Ould Abdel Aziz
Naughty Dog	Naughty Dog
Carl Levin	Carl Levin
Tajimi City	Tajimi Gifu
Music Church Album	Music Madonna album
Matsumoto Masaki	Takeaki Matsumoto
Sham Shui Po Sports Ground	Sham Shui Po Sports Ground
List of Portuguese monarchs	List of Portuguese monarchs
Tulane University	Tulane University
Pope Mark Valley	Pope Mark
Al Ain Football Club	Al Ain FC
chicken	Chicken
Cosmin Contra	Cosmin Contra
Heath Ledger	Heath Ledger
Odawara City	Odawara
Will Arnett	Will Arnett
Seoul Football Club	FC Seoul
Chuck Schumer	Chuck Schumer
Athletic Bilbao	Athletic Bilbao
New Zealand Labour Party	New Zealand Labour Party
John Bercow UK	John Bercow
Ricardo Carvalho	Ricardo Carvalho
Dave Mustaine	Dave Mustaine
One Lan	One Arashi album
Avril Lavigne	Avril Lavigne
Montgomery Blair	Montgomery Blair
Run Run Shaw	Run Run Shaw
Editor Cresson	Édith Cresson
Cantonese	Cantonese
Community Shield England 2011	2011 FA Community Shield
Iannis Maniatis	Giannis Maniatis
An Shi Rebellion	An Lushan Rebellion
Manhattan Financial District	Financial District Manhattan
Kim Hyungil	Kim Hyungil
Fahri Kruturk	Fahri Korutürk
Celtic	Celtic languages
Savo Milosevic	Savo Milošević
Bob Carr	Bob Carr
Buffy the Vampire Slayer Season 4	Buffy the Vampire Slayer season 4
Wuhan Zall Professional Football Club	Wuhan Zall FC
George Pompidou	Georges Pompidou
Qinghai Senke Football Club	Qinghai Senke FC
A Coruña Sports Club	Deportivo de La Coruña
Game Center	Game Center
Finland National Football Team	Finland national football team
Tang Shaoyi	Tang Shaoyi
quito	Quito
NVIDIA GeForce 400	GeForce 400 series
San Antonio Spurs	San Antonio Spurs
Shimane Prefecture	Shimane Prefecture
Jake Kerouac	Jack Kerouac
Oppa Oppa	Oppa Oppa
National Front France	National Front France
Li Ruihuan	Li Ruihuan
Thomas Pledel	Thomas Pledl
Pyongyang	Pyongyang
Mark Janko	Marc Janko
redwood city	Redwood City California
Kidderminster	Kidderminster
