Abdullah Gul	Abdullah Gül
AustroHungary	AustriaHungary
2014 Asian Games	2014 Asian Games
Samuel Osgood	Samuel Osgood
Uyghur	Uyghurs
Makino Tomoaki	Tomoaki Makino
Macau Radio and Television Corporation	TDM
Kuibyshev Reservoir	Kuybyshev Reservoir
Orhan I	Orhan of the Ottoman Empire
heavy metal	Heavy metal music
University of Toronto	University of Toronto
Gunnar Thorodesen	Gunnar Thoroddsen
Li Jiawei	Jess Lee
Premier of the State Council of the Peoples Republic of China	Premier of the Peoples Republic of China
Bangkok	Bangkok
Wang Zhaoguo	Wang Zhaoguo
wyoming	Wyoming
UnrealEngine	Unreal Engine
The Pet Girl of Sakurasou	The Pet Girl of Sakurasou
Duran Duran	Duran Duran
Luis Adriano	Luiz Adriano
nor	Nord
Emperor Wei Xiaowen	Emperor Xiaowen of Northern Wei
Pope Felix I	Pope Felix I
China Womens National Football Team	China womens national football team
Real Mallorca Athletic	RCD Mallorca
KATTUN	KATTUN
Trey Cool	Tré Cool
Judy Costa	Jodie Foster
Amerika	Amerika
F4	F4
Fort Pierce	Fort Pierce Florida
Benhua Mandelbrot	Benoit Mandelbrot
Lyman Spitzer	Lyman Spitzer
Elva Hsiao	Elva Hsiao
Li Fangzi	Yi Bangja
CSKA Moscow	PFC CSKA Moscow
Miyazawa Sae	Sae Miyazawa
Qingpu Kuiwu	Kiyoura Keigo
T50 Fighter	Sukhoi PAK FA
IPad	IPad
Kingdom of Bulgaria	Kingdom of Bulgaria
Micronesian	Micronesian languages
Jaya Bakhan	Jaya Bachchan
Edition Lima	Ildefons Lima
HTC One Mini 2	HTC One Mini 2
John Corning	John Cornyn
Junkie XL	Junkie XL
Hurricane Gordon	Hurricane Gordon
Roman Pavlyuchenko	Roman Pavlyuchenko
Louis Saint Laurent	Louis St Laurent
Mauritz of Nassau	Maurice Prince of Orange
Horace Lamb	Horace Lamb
Liu Jiahao	Lau Karho
Xu Xiangqian	Xu Xiangqian
Fennis Morley	Ramiro Funes Mori
Administrative Divisions of Tennessee	List of counties in Tennessee
Bi Shujin	Bii
LatinFalih	LatinoFaliscan languages
Felipe II	Philip II of Spain
Doug Rivers	Doc Rivers
TIME	Time
Lee Tenghui	Lee Tenghui
Li Ka Shing Faculty of Medicine The University of Hong Kong	Li Ka Shing Faculty of Medicine
Zilina Football Club	MŠK Žilina
Ranger 8	Ranger 8
Minangkabau	Minangkabau language
Benevolent Decoding	A Great Way to Care
Numerian	Numerian
LetoRomansian	RhaetoRomance languages
Esbjerg United Football Club	Esbjerg fB
Wales	Wales
HTC First	HTC First
Jiang Bingkun	Chiang Pinkung
Wang Guoming	Wang Guoming
Fujisawa City	Fujisawa Kanagawa
British Virgin Islands	British Virgin Islands
Wing Train	Tsubasa
Grant County	Grant County Washington
Sham Shui Po Sports Association Football Team	Sham Shui Po SA
Beihan	Northern Han
Battle of Bunker Hill	Battle of Bunker Hill
Zhang Jizhong	Zhang Jizhong
missouri	Missouri
Yu Zhengsheng	Yu Zhengsheng
Lotus	Lotus
City of Willoughby	City of Willoughby
Mohenbagan Athletic Club	Mohun Bagan AC
Park Yejin	Park Yejin
Ranger 5	Ranger 5
University of Westminster	University of Westminster
Olusegun Obasanjo	Olusegun Obasanjo
Republic of China	Republic of China
Ma Guoming	Kenneth Ma
Erich Honecker	Erich Honecker
Sun Mingyang	Michael Suen
Hu Xia	Hu Xia
France Perkins	Frances Perkins
University of Science and Technology of China	University of Science and Technology of China
San Stephen Lutu	Shane Stefanutto
XNA Game Studio Express	Microsoft XNA
Fire Ambition 3	Burning Flame III
Lauren Gosney	Laurent Koscielny
Akira Yamaoka	Akira Yamaoka
Nayef bin AbdulAziz alSaud	Nayef bin AbdulAziz Al Saud
LouisElisabeth	Louise Élisabeth of France
shuley	Choulex
Khmer	Khmer alphabet
Mansi	Mansi language
Benito Mussolini	Benito Mussolini
Supernova Flashman	Choushinsei Flashman
Stay by my side	Stay by My Side
Juan Manuel Santos	Juan Manuel Santos
Prince Michael	Prince Michael of Kent
Richard Burton	Richard Burton
Nicolas IV	Pope Nicholas IV
German Chancellor	Chancellor of Germany
Hunan University	Hunan University
Ryoichi Maeda	Ryoichi Maeda
Nguyen Minh Chay	Nguyễn Minh Triết
Nicholas Fissgrat	Nick Fitzgerald
William Howe  5th Viscount Howe	William Howe 5th Viscount Howe
Victor Moses	Victor Moses
Media Go	Media Go
Pashtun	Pashtuns
Blood Devourer	Strike the Blood
Zhong Jinghui	Chung Kingfai
Ergun	Argun River
I am a comedy maniac	30 Rock
Marek Matejowski	Marek Matějovský
Kofu City	Kōfu
William John Duane	William J Duane
Henrik Ibsen	Henrik Ibsen
Victor Zubkov	Viktor Zubkov
Marina County	Princess Marina of Greece and Denmark
Nuri Maliki	Nouri alMaliki
Daniel Forlander	Daniel Vorländer
Meng Jianzhu	Meng Jianzhu
XMen	XMen
Air Transat Flight 236 Accident	Air Transat Flight 236
Ranger 4	Ranger 4
Catholic Diocese of Hexham  Newcastle	Roman Catholic Diocese of Hexham and Newcastle
University of Padova	University of Padua
vampire detective	Vampire Detective
Sicilian	Sicilian language
Alvaro Uribe Velez	Álvaro Uribe
Korea Baseball Committee	Korea Baseball Organization
vatican	Vatican City
Fettlee Sullenson	Frederik Sørensen
Braveheart	Braveheart
Piedmont	Piedmont
Love the world	Love the World
Changshou Yangtze River Bridge	Changshou Yangtze River Bridge
Carlos CoimbraDalus	Carlos Luz
Dont Don	Dont Don
Aleppo Governorate	Aleppo Governorate
George V	George V
Minangjiabaoren	Minangkabau people
Carloman	Carloman of Bavaria
Ozzie Osborne	Ozzy Osbourne
Jin Junsu	Kim Junsu
Windsor	Windsor Berkshire
Liang Zijun	Leung Tsz Chun
Basabawen	Phagspa script
nairobi	Nairobi
Jacques Chirac	Jacques Chirac
Haryana	Haryana
WilhelmAlexander	WillemAlexander of the Netherlands
Superman	Superman
Hong Kong Group C	Hong Kong Third A Division League
Roman Empire	Roman Empire
Atahualpa	Atahualpa
Masselu Karuska	Marcelo Carrusca
tennessee	Tennessee
Timothy Pickering	Timothy Pickering
Mikhail Mikhailovich Kasyanov	Mikhail Kasyanov
Cesar Azpilicueta	César Azpilicueta
Zhang Jianfeng	Cheung Kin Fung
Jaime	Prince Jaime Count of Bardi
Suwa City	Suwa Nagano
Oakland Airport	Auckland Airport
Guo Keying	Kenix Kwok
IPod touch 5	IPod Touch
Bronx	The Bronx
Hina Rabbani Hale	Hina Rabbani Khar
Brooklyn	Brooklyn
Queens University	Queens University
Grigor Mgaloblishvili	Grigol Mgaloblishvili
Jin Chengyong	Kim SongYong
Roberto Carlos	Roberto Carlos
Māori	Māori language
Rolling Stones	The Rolling Stones
Lucas Biglia	Lucas Biglia
Bohemian Rhapsody	Bohemian Rhapsody
Mark Rutte	Mark Rutte
cody	Cody Wyoming
Oromo	Oromo language
Li Yapeng	Li Yapeng
Jetro Williams	Jetro Willems
borneo	Borneo
IU	IU
Qantas flight 32 accident	Qantas Flight 32
Airbus A330	Airbus A330
ChuHan War	ChuHan Contention
Uzbekistan	Uzbekistan
Lauda Airlines	Lauda Air
Keiko Hirono	Mazie Hirono
paraguay	Paraguay
David Perdue	David Perdue
ML language	ML
Victor Cavendish 9th Duke of Devonshire	Victor Cavendish 9th Duke of Devonshire
Mozilla Corporation	Mozilla Corporation
Chen Yuzong	Trần Dụ Tông
Ukrainian Premier League	Ukrainian Premier League
Maria Vladimirovna	Maria Vladimirovna Grand Duchess of Russia
John Barrasso	John Barrasso
Shenzhou IX	Shenzhou 9
Order of the Garter	Order of the Garter
Brigitte Lin	Brigitte Lin
Huajiabao Football Club	Workable FC
William Gladstone	William Ewart Gladstone
Kawagenecho	Kawanehon
SeeSaw	SeeSaw
Ministry of Industry and Information Technology of the Peoples Republic of China	Ministry of Industry and Information Technology
Hippolyto II Este	Ippolito II dEste
Windows Server 2003	Windows Server 2003
Emperor Entertainment	Emperor Entertainment Group
Nish	Niš
Li Yizhen	Ailee
Singapore Airlines	Singapore Airlines
Drums and Bass	Drum and bass
Huang Jingyi	Xiao Xun
Medlin	Medellín Spain
Bulgarian	Bulgarian language
Laramie	Laramie Wyoming
Joseph Desha	Joseph Desha
Adnan Januzaj	Adnan Januzaj
Big Infinity	Do As Infinity
Southern Alps	MinamiAlps Yamanashi
Je tangerine unfinished	Mikan
Tang Shaoyi	Tang Shaoyi
Aurelio	Aurelius of Asturias
Abdullah Sani	Abdullah alThani
Los Angeles International Airport	Los Angeles International Airport
Su Yu	Su Yu
Colin Trevorrow	Colin Trevorrow
Nicholas of Kusa	Nicholas of Cusa
Amad Zahid	Ahmad Zahid Hamidi
Leiden	Leiden
Grand Alliance War	Nine Years War
Belgium national under21 football team	Belgium national under21 football team
Philips Stadium	Philips Stadion
Love Dream	Dream of Love
Na Quotations	Confessions on a Dance Floor
Durham	Durham North Carolina
Delft	Delft
Lavrenti Pavlovich Beria	Lavrentiy Beria
Austrian German	Austrian German
Carol II	Carol II of Romania
Beep Sunshine Sunshine	Beep
Emanuel Levinas	Emmanuel Levinas
Mr Taxi Run Devil Run	Mr Taxi
Central Mountains	Sistema Central
Paul Simon	Paul Simon
Genz Arpad	Árpád Göncz
Croatian Football League	Croatian First Football League
Ateneo de Manila University	Ateneo de Manila University
Crisis Core Final Fantasy VII	Crisis Core
Pope Ho Mi	Pope Hormisdas
Gijón	Gijón
Sven Bender	Sven Bender
Russia under21 national football team	Russia national under21 football team
Dragon Ash	Dragon Ash
2PM	2PM
dawn	Leon Lai
Medinacelli	Medinaceli
Airbus A300	Airbus A300
Cebuano	Cebuano language
Eddie Francis	Eddy Francis
Dundee United Football Club	Dundee United FC
Toyota City	Toyota Aichi
Fang Datong	Khalil Fong
Jin	Jin Chinese
Dish Network	Dish Network
HTC One Max	HTC One Max
Victoria Sports Association	Vitória SC
Bulent Ecevit	Bülent Ecevit
Chivas USA	Chivas USA
Cao Huan	Cao Huan
Working Peoples Progressive Party	Progressive Party of Working People
cali	Cali
Maltese	Maltese language
Iran Professional Football League	Persian Gulf Pro League
UVERworld	Uverworld
Ich tu dir weh	Ich tu dir weh
Samsung Galaxy S4	Samsung Galaxy S4
Malta	Malta
Audi RSQ	Audi RSQ
William I	William I of the Netherlands
Tony Bosta	Toni Polster
Russian Soviet Federal Socialist Republic	Russian Soviet Federative Socialist Republic
Tony Blair	Tony Blair
Gulf of Mexico	Gulf of Mexico
Roadshow Movies	Village Roadshow Pictures
So Into You	So into You
Steven Spielberg	Steven Spielberg
Moments	Moments
The Who	The Who
ITunes Store	ITunes Store
Flaming Team Thunderer	Engine Sentai Goonger
French Second Empire	Second French Empire
Elliott Spitzer	Eliot Spitzer
Queen Tai	Tiye
Sizo	Sizzo Prince of Schwarzburg
Yang Jing	Yang Jing
Jeremy Corbyn	Jeremy Corbyn
Royal Victorian Medal	Royal Victorian Order
Foshan	Foshan
Tianjin Tuanbo Football Stadium	Tianjin Tuanbo Football Stadium
Takanashi Yasuji	Yasuharu Takanashi
Jigme Singh Wangchuck	Jigme Singye Wangchuck
Cao Kun	Cao Kun
Maggie Gyllenhaal	Maggie Gyllenhaal
Mao Anqing	Mao Anqing
Logic Pro	Logic Pro
My Savage Granny	Wars of Inlaws
Des Voeux	William Des Vœux
Florida Administrative Divisions	List of counties in Florida
Zheng Xiujing	Krystal Jung
Emma Thompson	Emma Thompson
buckinghamshire	Buckinghamshire
Hiranuma Kiichiro	Hiranuma Kiichirō
The beginning of the end	The Beginning of the End
Socialist	Parti Socialiste
Lin Zhenyi	Lin Chenyi
MusashiKosugi Station	MusashiKosugi Station
Zheng Jing	Zheng Jing
Coalition Interim Administration in Iraq	Coalition Provisional Authority
Queer III Arena	Quake III Arena
Tocharian	Tocharian languages
Ashikaga Yoshimitsu	Ashikaga Yoshimitsu
MeeGo	MeeGo
lublin	Lublin
Sauley Niinisto	Sauli Niinistö
monarchs of Canada	Monarchy of Canada
Ramiz Alia	Ramiz Alia
Qiu Yuming	Chiu Yu Ming
Deus Ex	Deus Ex
Hun Sen	Hun Sen
Ren Rongxuan	Lorene Ren
Chile	Chile
Sagamihara Sports Association	SC Sagamihara
Nezid Sultanate	Sultanate of Nejd
ChachaiChunhawang	Chatichai Choonhavan
Frank O Horton	Frank O Horton
Nabataean Alphabet	Nabataean alphabet
Tu Xingzhe	Twu Shiingjer
Tokugawa Keirai	Tokugawa Yoshiyori
Cai Peixuan	Wayne Chua
Didier Drogba	Didier Drogba
Steppe Mali	Meadow Mari language
WindsorMaidenhead	Royal Borough of Windsor and Maidenhead
Jetstar	Jetstar Airways
Sultan Tuanku Abdul Halim	Abdul Halim of Kedah
La Palma Island	La Palma
Joetsu Shinkansen	Jōetsu Shinkansen
University of Chicago	University of Chicago
Reading Football Club	Reading FC
Rais Yading	Rais Yatim
Tomiya Nagase	Tomoya Nagase
Archduke Franz Karl	Archduke Franz Karl of Austria
JewishMoroccan	JudeoMoroccan Arabic
The Great Divide	Great Dividing Range
Wen Jiabao	Wen Jiabao
The Long River	River of No Return
Jersey City	Jersey City New Jersey
Shen Zuyao	Joseph Sung
Kanji	Kanji
Apache Software Foundation	Apache Software Foundation
OweniRhôneAlpes	AuvergneRhôneAlpes
Mischievous Kiss	Playful Kiss
Delaware	Delaware
Bernay	Bernex Switzerland
Leland Stanford	Leland Stanford
Subrati Bell	Subrata Pal
