BBC Radio 1	BBC One
American Life	American Life
SS501	SS501
Reza Ghoochannejhad	Reza Ghoochannejhad
Sean Connery	Sean Connery
Fight Fever J	Battle Fever J
Simon Kjær	Simon Kjær
Abdul Rahman of Negeri Sembilan	Abdul Rahman of Negeri Sembilan
Ranieri Mazli	Pascoal Ranieri Mazzilli
Sweden National Football Team	Sweden national football team
Ainu languages	Ainu languages
Ulanf	Ulanhu
Disneyland	Disneyland
Nemzeti Bajnokság I	Nemzeti Bajnokság I
Jonathan Spector	Jonathan Spector
Queen Xiaogongren	Empress Xiaogongren
Kingdom of Italy	Kingdom of Italy
The Cribs	The Cribs
Tatsuya Sakai	Tatsuya Sakai
Cape Canaveral Air Force Station Space Launch Complex 40	Cape Canaveral Air Force Station Space Launch Complex 40
Aleksey Kudrin	Alexei Kudrin
Nintendo Entertainment System	Nintendo Entertainment System
Jimmy Bullard	Jimmy Bullard
University of Florence	University of Florence
bow	Bow Wow
Tetum	Tetum language
soft rock	Soft rock
Love Dream	Dream of Love
Portia SimpsonMiller	Portia SimpsonMiller
Love across the ocean	Love Across the Ocean
California State Senate	California State Senate
Belgrade	Belgrade
Kara	Kara
Botswana	Botswana
JeanPaul Sartre	JeanPaul Sartre
Warner Bros	Warner Bros
Michele Alboreto	Michele Alboreto
Louisiana Administrative Divisions	List of parishes in Louisiana
Empress Myeongseong	Empress Myeongseong
LollipopF	Lollipop F
Jiujiang Yangtze River Bridge	Jiujiang Yangtze River Bridge
Celeron	Celeron
Meine	Meinier
Ministry of State Security	Ministry of State Security
LibreOffice	LibreOffice
Stefan Effenberg	Stefan Effenberg
Yuan Shanshan	Yuan Shanshan
Glen Murray	Glen Murray
Jet Evans	Ched Evans
Andres Herzog	Andi Herzog
Tulsa Oklahoma	Tulsa Oklahoma
William Rehnquist	William Rehnquist
Ram Chiang	Ram Chiang
mauritius	Mauritius
Friends	Friends
The Kushan Empire	Kushan Empire
Walloon Behrami	Valon Behrami
National Health and Family Planning Commission	National Health and Family Planning Commission
Kohei Kawata	Kohei Kawata
Marton Fulop	Márton Fülöp
Kim Youngkwang	Kim Youngkwang
west Virginia	West Virginia
SC Olhanense	SC Olhanense
China Television	China Television
Syrian Armed Forces	Syrian Armed Forces
Secretary of the Central Commission for Discipline Inspection	Secretary of the Central Commission for Discipline Inspection
Asamoah Gian	Asamoah Gyan
Patty Murray	Patty Murray
Ken Mattingly	Ken Mattingly
EXID	EXID
Northern Han	Northern Han
Pedro I	Pedro I of Brazil
China National Youth Football Team	China national under20 football team
Jahangir	Jahangir
Todor Bulmov	Todor Burmov
Hong Yongjo	Hong Yongjo
Riccardo Montolivo	Riccardo Montolivo
Heechul	Kim Heechul
Foxborough	Foxborough Massachusetts
RC Lens	RC Lens
Takasaki	Takasaki Gunma
Sugasa Dasa Stadium	Sugathadasa Stadium
ShanghaiKunming Line	ShanghaiKunming Railway
Thomas Vermaelen	Thomas Vermaelen
Luton Town FC	Luton Town FC
UtahAztec	UtoAztecan languages
Marcos Rojo	Marcos Rojo
Raúl Albiol	Raúl Albiol
Morocco National Football Team	Morocco national football team
Keine Lust	Keine Lust
Kingone Wang	Kingone Wang
Sulli	Sulli
Republic of Korea Armed Forces	Republic of Korea Armed Forces
Bosnian	Bosnian language
Jessica Jung	Jessica Jung
hardcore punk	Hardcore punk
Cleo	Cléo
FUSE OF LOVE	Fuse of Love
jiaozhe	Jiao Zhe
Ada	Ada
Arabic Alphabet	Arabic alphabet
Inha University	Inha University
Michael Sheen	Michael Sheen
Abd Raab Mansour Hadi	Abd Rabbuh Mansur Hadi
Bill Nelson	Bill Nelson
Al Qaeda	AlQaeda
National League Nort	National League North
Lingya District	Lingya District
Philip II	Philip II of Macedon
OGC Nice	OGC Nice
JeanBaptiste Lamarck	JeanBaptiste Lamarck
Western Yugur	Western Yugur language
Albert II	Albert II of Belgium
Guy de Maupassant	Guy de Maupassant
Swiss Federal Council	Swiss Federal Council
Takuya Terada	Takuya Terada
Friends	Friends
Joe Cole	Joe Cole
Hong Kong Fourth Division League	Hong Kong Fourth Division League
Indian Premier League	Indian Super League
Taipa	Taipa
Tropical Storm Hannah	Tropical Storm Hanna
Royal Australian Air Force	Royal Australian Air Force
Fabio Capello	Fabio Capello
Omonia Sports	AC Omonia
Russian Soviet Federal Socialist Republic	Russian Soviet Federative Socialist Republic
Subin Park	Subin Bak
Shō Shin	Shō Shin
Club Atlético Boca Juniors	Boca Juniors
Juken Sentai Gekiranger	Juken Sentai Gekiranger
FC Basel	FC Basel
Nu metal	Nu metal
Phoenix Sky Harbor International Airport	Phoenix Sky Harbor International Airport
Callixter III	Pope Callixtus III
Paris	Paris
Queen Noor	Queen Noor of Jordan
Marianne Raven	Marion Raven
Carson	Carson California
Muhammad Ali of Egypt	Muhammad Ali of Egypt
University of Alabama	University of Alabama
Hachinohe	Hachinohe Aomori
Sistus V	Pope Sixtus V
Ronan Keating	Ronan Keating
Kingdom of Yugoslavia	Kingdom of Yugoslavia
Ptolemy I Soter	Ptolemy I Soter
Ernie Merrick	Ernie Merrick
PepGuardiola	Pep Guardiola
ATTACK	Attack
Phil Jagielka	Phil Jagielka
Lithuanian	Lithuanians
Yuri Mikhailovich Luzhkov	Yury Luzhkov
Wii U	Super Smash Bros for Nintendo 3DS and Wii U
Joinville Athletic Club	Joinville Esporte Clube
Giorgio Chiellini	Giorgio Chiellini
Cyrus the Great	Cyrus the Great
Run Devil Run	Mr Taxi
Prague University of Economics	University of Economics Prague
Belgium Football League	Belgian Pro League
Ingrid Bergman	Ingrid Bergman
University of Jena	University of Jena
Drake McInnes	Derek McInnes
Windows Phone	Windows Phone
Des Voeux	William Des Vœux
Simon Yam	Simon Yam
Liquivea Sports	Lekhwiya SC
One of the Boys	One of the Boys
Sanmin District	Sanmin District
Nukry Levishvili	Nukri Revishvili
Michael Miu	Michael Miu
Shunkan Sentimental	Shunkan Sentimental
Frederick Low	Frederick Low
Amazuppai Haru ni Sakura Saku	Amazuppai Haru ni Sakura Saku
Ashkan Dejaga	Ashkan Dejagah
José Bosingwa	José Bosingwa
Drake	Drake
Katowice	Katowice
Gujō	Gujō
Angelino Alfano	Angelino Alfano
Renaldo Elias da Costa	Reinaldo Elias da Costa
Chris Brown	Chris Brown
Hins Cheung	Hins Cheung
Jose Luis Rodriguez Zapatero	José Luis Rodríguez Zapatero
Yoyo Chen	Yoyo Chen
Lee Jungshin	Lee Jungshin
Kansha Kangeki Ame Arashi	Kansha Kangeki Ame Arashi
Chiyoda Ward	Chiyoda Tokyo
Francesco Corsiga	Francesco Cossiga
Anton Ropp	Anton Rop
Seth Harris	Seth Harris
Egyptian Football League	Egyptian Premier League
Radoslav Kovacs	Radoslav Kováč
Thomas Bach	Thomas Bach
Microsoft Word	Microsoft Word
Province of Ciudad Real	Province of Ciudad Real
Marty Ahtisaari	Martti Ahtisaari
Ken Chu	Ken Chu
Czech National Football Team	Czech Republic national football team
First Minister of Scotland	First Minister of Scotland
Heze	Heze
Tokugawa Yoshiyori	Tokugawa Yoshiyori
Ashikaga Yoshimitsu	Ashikaga Yoshimitsu
Alan GarciaPerez	Alan García
Haarlem	Haarlem
Daur	Daur language
Flora Chan	Flora Chan
Fuchu City	Fuchū Tokyo
cat shit mom	Coffee Cat Mama
Gossip Candy	Gossip Candy
IOS	IOS
Universal Orlando Resort	Universal Orlando
Paul Hamilton	Paul Hamilton
Choi Kyuhah	Choi Kyuhah
Empress Renxiaowen	Empress Xu
Deng Yingchao	Deng Yingchao
Tim BernersLee	Tim BernersLee
Lai Shinyuan	Lai Shinyuan
Mamadou Shagao	Mamadou Sakho
California State University Sacramento	California State University Sacramento
Tongzhi Emperor	Tongzhi Emperor
Nazu Monlier	Nacho Monreal
Limbu	Limbu language
Queen Xiaoshurui	Empress Xiaoshurui
Wintonshire Government	Shire of Winton
Chavacano	Chavacano
Vasily Kolarov	Vasil Kolarov
Semeria	Sammir
Brandon Santalab	Brendon Šantalab
P W Botha	P W Botha
Aldous Huxley	Aldous Huxley
Austria	Austria
Emperor Saga	Emperor Saga
Hakan Yakin	Hakan Yakin
java	Java
County Kilkenny	County Kilkenny
Das Erste	Das Erste
Hausa	Hausa language
Kedah	Kedah
Yokosuka City	Yokosuka Kanagawa
Eddie Murphy	Eddie Murphy
Mazda Cosmo	Mazda Cosmo
Antonio Lopez	Antonio López
pravia	Pravia
Lhasa Gonggar Airport	Lhasa Gonggar Airport
Giorjos Chavelas	Georgios Tzavellas
Uffe Elbæk	Uffe Elbæk
derry	Delhi
Camellia japonica	Camellia japonica
Danny Vukovic	Danny Vukovic
October Revolution	October Revolution
Nyingchi	Nyingchi
Benjamin Disraeli	Benjamin Disraeli
belize	Belize
Takatsuki	Takatsuki Osaka
Clement Attlee	Clement Attlee
Alan Thompson	Alan Thompson
Atlantic Records	Atlantic Records
H	H
Lin Chenyi	Lin Chenyi
John Paul Stevens	John Paul Stevens
palencia	Palencia
North Sea	North Sea
Brazil womens national football team	Brazil womens national football team
Princess Louis	Louise Princess Royal
Blur	Blur
Nationalist Party	Nationalist Party
Santa Fe Springs	Santa Fe Springs California
Mary Todd	Mary Todd Lincoln
Shirley Yeung	Shirley Yeung
Ninja Gaiden Series	Ninja Gaiden
Republic of Genoa	Republic of Genoa
Senard Lulich	Senad Lulić
Swift	Swift
Yurico Gaspar Dutra	Eurico Gaspar Dutra
Paraná	Paraná
Bulgarian	Bulgarian language
German Chancellor	Chancellor of Germany
utah	Utah
Jurgen Klopp	Jürgen Klopp
Daniel Faraday	Daniel Faraday
Monaghanshire	County Monaghan
Southampton Football Club	Southampton FC
Finnish	Finnish language
Çandarlı Ibrahim Pasha the Younger	Çandarlı Ibrahim Pasha the Younger
Heerenveen Sports	SC Heerenveen
Mark Weber	Mark Webber
South America Libertadores Cup	Copa Libertadores
Hull City Football Club	Hull City AFC
Loveven Cabinet	Löfven Cabinet
The Fast And The Furious	The Fast and the Furious
MeeGo	MeeGo
Hu Jintao	Hu Jintao
Joachim Loew	Joachim Löw
Haji Ali Razmara	Haj Ali Razmara
Nintendo2DS	Nintendo 2DS
Criciúma Esporte Clube	Criciúma Esporte Clube
Alexander Boto	Alexandre Pato
Lao Peoples Revolutionary Party	Lao Peoples Revolutionary Party
Armintore Van Fanniere	Amintore Fanfani
none	Mikan
Carlos Santana	Carlos Santana
Kristján Eldjárn	Kristján Eldjárn
Supercell	Supercell
Fyodor Mikhailovich Dostoevsky	Fyodor Dostoyevsky
Fabio Aurelio	Fábio Aurélio
Pat Riley	Pat Riley
PAS Tehran FC	PAS Tehran FC
Russian Provisional Government	Russian Provisional Government
Someday	Someday
Shueisha	Shueisha
David Albelda	David Albelda
Malappuram	Malappuram
Mali National Football Team	Mali national football team
France Football Federation	French Football Federation
Paul Hauser	Paul Hausser
Montesquieu	Montesquieu
Left Party	Left Party
Lucrezia Borgia	Lucrezia Borgia
Swiss Premier League	Swiss Super League
Charlie and the Chocolate Factory	Charlie and the Chocolate Factory
Roberto Carlos	Roberto Carlos
Kabayama Sukenori	Kabayama Sukenori
Hitoshi Ashida	Hitoshi Ashida
Once Upon a Time	Once Upon a Time
Tochigi Prefecture	Tochigi Prefecture
Norodom Monile	Norodom Monineath
Paris SaintGermain Football Club	Paris SaintGermain FC
Pope Sergius IV	Pope Sergius IV
Saint Barthelemy	Saint Barthélemy
Like a virgin	Like a Virgin
Beastie Boys	Beastie Boys
Ramón Núñez	Ramón Núñez
AC Chievo Verona	AC Chievo Verona
Tai Nüa language	Tai Nüa language
Emirate of Abu Dhabi	Emirate of Abu Dhabi
The Knights of Malta	Sovereign Military Order of Malta
Shandong Airlines	Shandong Airlines
Riyad Farid Hijab	Riyad Farid Hijab
Angels Fall First	Angels Fall First
Sergei Shoigu	Sergey Shoygu
ICAC Investigators 2009	ICAC Investigators 2009
Kazuki Ganaha	Kazuki Ganaha
SocialDemocracy	Social Democratic Party
French invasion of Russia	French invasion of Russia
Pope Sylvester II	Pope Sylvester II
Zafarullah Khan Jamali	Zafarullah Khan Jamali
Henry Cornelius Burnett	Henry Cornelius Burnett
Xi County Henan	Xi County Henan
Bernard Mandeville	Bernard Mandeville
Paraguayan Primera División	Paraguayan Primera División
Nivkh	Nivkh language
Marcel Mauss	Marcel Mauss
Charles Evans Hughes	Charles Evans Hughes
Lamborghini Gallardo	Lamborghini Gallardo
Tocharian	Tocharian languages
Roma	Romani language
University of Zurich	University of Zurich
Medhi Lacen	Medhi Lacen
Uttarakhand	Uttarakhand
Du riechst so gut	Du riechst so gut
Flora Finch	Flora Finch
Massachusetts	Massachusetts
Gerald Ford	Gerald Ford
Pope Paul III	Pope Paul III
James Hetfield	James Hetfield
FrancoProvencal	FrancoProvençal language
Ernst Kummer	Ernst Kummer
Shijiazhuang Yongchang Football Club	Shijiazhuang Ever Bright FC
Diane Feinstein	Dianne Feinstein
Hughes West Airlines Flight 706 crash	Hughes Airwest Flight 706
Chinese Television System	Chinese Television System
Luigi Inodi	Luigi Einaudi
Yuto Sasaki	Hayato Sasaki
Mohammad Hatta	Mohammad Hatta
Abraham Baldwin	Abraham Baldwin
trabzonsport	Trabzonspor
Equatorial Guinea	Equatorial Guinea
Camellia	Camellia
Barnes Railway Bridge	Barnes Railway Bridge
Robbie Keane	Robbie Keane
Marcel Desailly	Marcel Desailly
Yeon Soo Jung	Andrew Yeom Soojung
Valdemar Pavlac	Waldemar Pawlak
Athabaskan languages	Athabaskan languages
Szeto Wah	Szeto Wah
Nayef Khazazi	Naif Hazazi
Communist Party of the Republic of Moldova	Party of Communists of the Republic of Moldova
Baby One More Time	Baby One More Time
Ninpuu Sentai Hurricaneger	Ninpuu Sentai Hurricaneger
Mario Gomez	Mario Gómez
Jay Chou	Jay
Zhang Yesui	Zhang Yesui
Maanshan	Maanshan
Pasadena	Pasadena California
Justus von Liebig	Justus von Liebig
1979  UEFA Champions League 80	197980 European Cup
Narwee New South Wales	Narwee New South Wales
Mutou Yuki	Yuki Muto
Ubisoft Paris	Ubisoft Paris
Republic of China Army	Republic of China Army
John B Weller	John B Weller
Xavier Chen	Xavier Chen
Viratko Glodanoski	Vlatko Grozdanoski
Hulk	Hulk
United States Treasury Secretary	United States Secretary of the Treasury
Gelderland	Gelderland
Chin Kalok	Chin Kalok
AH64 Apache Helicopter	Boeing AH64 Apache
Gran Telescopio Canarias	Gran Telescopio Canarias
NIFL Premiership	NIFL Premiership
Dalian Shide Football Club	Dalian Shide FC
ProBeijing camp	ProBeijing camp
Spanish Navy	Spanish Navy
General Secretary of the Central Committee of the Communist Party of Vietnam	General Secretary of the Communist Party of Vietnam
Ivan Sutherland	Ivan Sutherland
Cristiano Cordeiro	Cristiano Cordeiro
Prudente de Morais	Prudente de Morais
CSX Shipping	CSX Transportation
Queen Dowager Cian	Empress Dowager Cian
John Sherman	John Sherman
Elvis Presley	Elvis Presley
Maze	Maze
Assembly of the Union	Assembly of the Union
Gagauzia	Gagauzia
Malcolm Fraser	Malcolm Fraser
Chen Tao	Chen Tao
In the Zone	In the Zone
Airbus A330	Airbus A330
Gerald Gurani	Gerald Guralnik
Royal Espanyol Sports Club	RCD Espanyol
Gamla Ullevi	Gamla Ullevi
Cao Cao	Cao Cao
Paula Tsui	Paula Tsui
Suwa City	Suwa Nagano
List of Prime Ministers of Slovenia	Prime Minister of Slovenia
Mui Siuching	Mui Siuching
Democratic Party	Democratic Party
Semstin Gunartay	Şemsettin Günaltay
Herbert Blumer	Herbert Blumer
Lee Jaeryong	Lee Jaeryong
Tekoshi Yuya	Yuya Tegoshi
Gary Cahill	Gary Cahill
Fuzao	Fuzao
Iovanni Arechea	Yovanny Arrechea
CAROLS	Carols
President of the Legislative Council of Hong Kong	President of the Legislative Council of Hong Kong
Republic of Crimea	Republic of Crimea
Nightwish	Nightwish
Anytime	Anytime
Norihisa Tamura	Norihisa Tamura
Emma Goldman	Emma Goldman
Mario Fernandis	Mário Figueira Fernandes
I M Pei	I M Pei
Kim Changsoo	Kim Changsoo
Loukas Vyntra	Loukas Vyntra
U Win Na Maung Lun	Wunna Maung Lwin
South African Airways	South African Airways
Rudi Völler	Rudi Völler
Bastian Schweinsteiger	Bastian Schweinsteiger
Allied Military Occupation of Japan	Occupation of Japan
Parliament of the United Kingdom	Parliament of the United Kingdom
Niels Bohr	Niels Bohr
Nanzih District	Nanzih District
Yicong	Yicong
Tanzan Ishibashi	Tanzan Ishibashi
Georg Schwarzenbeck	HansGeorg Schwarzenbeck
Labour Party	Labour Party
Kurt Alder	Kurt Alder
Jose Rodriguez	José Rodríguez Martínez
Ricardo Quaresma	Ricardo Quaresma
Berlin	Berlin
Boeing Commercial Airplanes	Boeing Commercial Airplanes
Stephen	Stephen King of England
Qing Dynasty	Qing dynasty
Carloman of Bavaria	Carloman of Bavaria
bohemia	Bohemia
P3 Orion Maritime Patrol	Lockheed P3 Orion
Annapolis	Annapolis Maryland
Martin Brian Mulroney	Brian Mulroney
Shinkai	Shinkai
Ludvik Swoboda	Ludvík Svoboda
Changping District	Changping District
madrid	Madrid
Aymara	Aymara language
Leon Jessen	Leon Jessen
North Brabant	North Brabant
Agatha Barbara	Agatha Barbara
NVIDIA GeForce 700	GeForce 700 series
HTC First	HTC First
Kevin Feige	Kevin Feige
Chromecast	Chromecast
Technische Universität München	Technische Universität München
Robert Kunz	Robert Coontz
Kamakura Shogunate	Kamakura shogunate
Nordic Green Left	European United LeftNordic Green Left
Ntv7	NTV7
James Viscount Severn	James Viscount Severn
Chen Yeongkang	Chen Yeongkang
Labour	Labour Party
Helen Chang	Helen Chang
Pope Paschal II	Pope Paschal II
Saint Paul	Saint Paul Minnesota
University of Liverpool	University of Liverpool
Diego Forlán	Diego Forlán
Oregon	Oregon
Molde FK	Molde FK
Kim Jungwoo	Kim Jungwoo
Ricardo Ezzati Andrello	Ricardo Ezzati Andrello
Terminal	Terminal
Dara	Daraa Governorate
Taiwanese	Taiwanese people
Rivers Cuomo	Rivers Cuomo
Nancy Sports	AS Nancy
Blackburn	Blackburn
2014 AFC Champions League	2014 AFC Champions League
Roger Wick	Roger Wicker
Korea National Assembly	National Assembly
Auckland Airport	Auckland Airport
HEART	Heart
stalbans	St Albans
Princess Marina of Greece	Princess Marina of Greece and Denmark
Brooklyn	Brooklyn
Jap Stam	Jaap Stam
SaxonyWeimarEisenach	Grand Duchy of SaxeWeimarEisenach
Hi no Tori	Hi no Tori
city of gothenburg	Gothenburg Municipality
shropshire	Shropshire
HalfLife	HalfLife
ABBA	ABBA
Francis II Holy Roman Emperor	Francis II Holy Roman Emperor
Valencian	Valencian
East Kalimantan	East Kalimantan
John Major	John Major
Hong Kong Pegasus Football Club	Hong Kong Pegasus FC
Brown Eyed Girls	Brown Eyed Girls
Flemish Region	Flemish Region
Quartzsite	Quartzsite Arizona
Berber	Berbers
Rainie Yang	Rainie Yang
Yao	Yao people
Chris Foy	Chris Foy
Grand Dauphin	Louis Grand Dauphin
CTS Main Channel	CTS Main Channel
Duangu Mijan ZainerAbidin	Mizan Zainal Abidin of Terengganu
Scottish Gaelic	Scottish Gaelic
Luo Yingshay	Luo Yingshay
The Last Samurai	The Last Samurai
Veel Nader Khaliji	Wael Nader alHalqi
Baise	Baise
Singapore national football team	Singapore national football team
Shandong Sports Center Stadium	Shandong Provincial Stadium
Metz Football Club	FC Metz
Dordrecht	Dordrecht
Hans Geiger	Hans Geiger
Chairman of the Central Committee of the Communist Party of China	Chairman of the Communist Party of China
Soraya IvandialiBhaktiari	Soraya EsfandiaryBakhtiari
Rick Perry	Rick Perry
Christopher Metzelder	Christoph Metzelder
Charles II Duke of Parma	Charles II Duke of Parma
Swedish	Swedish language
Bannan Line	Taipei Metro Line 5
Wilber Pan	Wilber Pan
Tim Krell	Tim Krul
Ulla Schmidt	Ulla Schmidt
Wild Charlotte	Good Charlotte
University of Michigan Wolverines	Michigan Wolverines
Kawasaki Kanagawa	Kawasaki Kanagawa
Sunny Hill	Sunny Hill
Phraya Manopakorn Nititada	Phraya Manopakorn Nititada
Vandœuvres	Vandœuvres
Coptic alphabet	Coptic alphabet
Ichihara	Ichihara Chiba
Heurelho Gomes	Heurelho Gomes
Chandler Ibrahim Pasha the Elder	Çandarlı Ibrahim Pasha the Elder
Plaid Cymru	Plaid Cymru
Matsushima Nanako	Nanako Matsushima
Naha City	Naha
Madhya Pradesh	Madhya Pradesh
Clark University	Clark University
Say Chhum	Say Chhum
SaxonyMeiningen	Duchy of SaxeMeiningen
Çandarlı Ali Pasha	Çandarlı Ali Pasha
Just Lov	Just Love
northern california	Northern California
Seven Years War	Seven Years War
Maebashi City	Maebashi
Lee Jungsoo	Lee Jungsoo
AbdulAziz Bouteflika	Abdelaziz Bouteflika
KEIKO	Keiko
Samsung Galaxy Note 4	Samsung Galaxy Note 4
University of Turin	University of Turin
United States Secretary of Transportation	United States Secretary of Transportation
Melbourne City Football Club	Melbourne City FC
Minutes To Midnight	Minutes to Midnight
WIND	Wind
Atlas Football Club	Club Atlas
Saudi Professional Football League	Saudi Professional League
Vasily Vasilyevich Kuznetsov	Vasili Kuznetsov
Japan Air Lines Flight 351	Japan Airlines Flight 351
United States Secretary of Labor	United States Secretary of Labor
Mari	Mari language
Chiba Kazuhiko	Kazuhiko Chiba
Chen Jianbin	Chen Jianbin
Kitanagoya	Kitanagoya
Huang Hsinchieh	Huang Shinchieh
Empress Elisabeth of Austria	Empress Elisabeth of Austria
ECMAScript	ECMAScript
Ron Wyden	Ron Wyden
Gilan	Gilan Province
Sugiman Virjosanzoyo	Soekiman Wirjosandjojo
Philips Stadium	Philips Stadion
Phil Spector	Phil Spector
Ibaraki	Ibaraki Osaka
Su24 fighterbomber	Sukhoi Su24
NintendoDSi	Nintendo DSi
Depend on you	Depend on You
William Golding	William Golding
Robert W Floyd	Robert W Floyd
Balázs Dzsudzsák	Balázs Dzsudzsák
Dmitry Stepanovich Polyansky	Dmitry Polyansky
AV8 Falcon II attack aircraft	McDonnell Douglas AV8B Harrier II
Friendship Arena	Friends Arena
Dong Thap Province	Đồng Tháp Province
Timon Wellenreuth	Timon Wellenreuther
Vyacheslav Menzhinsky	Vyacheslav Menzhinsky
The Return of Sherlock Holmes	The Return of Sherlock Holmes
Rose Bowl	Rose Bowl Game
Jules de Polignac	Jules de Polignac
Empress Kōken	Empress Kōken
The Siren	The Siren
Nankai University	Nankai University
Wu Xinghan	Wu Xinghan
Kingdom of England	Kingdom of England
UNI Air	Uni Air
Show Me the Happy	Show Me the Happy
States and Territories of India	States and union territories of India
AntonovAn24	Antonov An24
Red Bull Racing	Red Bull Racing
IPhone 6	IPhone 6
Sports Club of Rome	AS Roma
Liu Yuzhang	Liu Yuzhang
Order of Australia	Order of Australia
SourceEngine	Source
Leo Tolstoy	Leo Tolstoy
Hungarian Peoples Republic	Hungarian Peoples Republic
Gary Peters	Gary Peters
Merrimack River	Merrimack River
Animax Asia	Animax Asia
Rgyalrong languages	Rgyalrong languages
split	Split Croatia
Sandra Day OConnor	Sandra Day OConnor
Angus Young	Angus Young
Esporte Clube Bahia	Esporte Clube Bahia
Elaine Yiu	Elaine Yiu
Korea Baseball Committee	Korea Baseball Organization
A Day at the Races	A Day at the Races
States General of the Netherlands	States General of the Netherlands
Zhang Wentian	Zhang Wentian
Sun Yatsen	Sun Yatsen
HD 108874 c	HD 108874 c
New York	New York City
Plutarch	Plutarch
Yokohama Station	Yokohama Station
