BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,BBC One
Iwate	Naha,Quito,Kaká,Goa,Metz,Clang,IOS,Odawara,Busan,Hebei,Nampo,Delhi,Yanan,EXID,Bird,Croatia,Nevada,Monaco,SDN48,Lyon,Xiaomi,AWK,Astana,H EP,Ovid,Haarlem,SS501,Yemen,MeeGo,TVBS,Belize,NTV7,VIXX,ABBA,Linux,McLaren,Socrates,Maxis,Qantas,BASIC,GNU,Sendai,Yugawara,Suzhou,Hitachi,Paris,Brazil,Inuyasha,Jining,Iwate Prefecture
Herman van Rompuy	Bert T Combs,Brian Mulroney,Sean Connery,Haruna Kojima,Hungarian forint,Huangchuan County,Arjen Robben,Bernard Mandeville,Marc Janko,Gerald Ford,Jeremy Bentham,Sergey Shoygu,Armen Sargsyan,Roman Sharonov,Haj Ali Razmara,Brian Wilson,Hakan Yakin,Nereu Ramos,Hausa language,Mariah Carey,Penguin Books,Belgian Pro League,Carson California,Hachinohe Aomori,Alianza Lima,American Samoa,Iron Man,Henri Brisson,William Windom,Jacques Demy,Ernst Kummer,Herbert Blumer,Harold Urey,Bertrand Delanoë,Haarlem,HansJürgen Stumpff,Kurt Vonnegut,Nedum Onuoha,Jerry Moran,Hans Geiger,Levi Woodbury,Brendon Šantalab,Conan OBrien,Hu Jintao,Mari Kiviniemi,Senad Lulić,Zara Phillips,Leiden University,Heath Ledger,Herman Van Rompuy
Sony Animation	Fool Again,Will Champion,Rise of Nations,Conan OBrien,Donnie Yen,Ronan Keating,Tong Liya,Confignon,John Curtin,Gold Typhoon,Sunny Hill,SimCity,So Girls,Sendai,Yokohama Station,Mongol Empire,Split Croatia,Yunnan,Ruhrstadion,Suwa Nagano,Sakhalin,St Albans,Dont Wanna Cry,Monaco,Socrates,Hakan Yakin,Iron Man,Samuel Alito,Liu Jian,County Monaghan,Park Jungmin,Gary Cahill,John Sherman,Chen Jianbin,Henri Brisson,Yan Xishan,Dai Jiaoqian,Zhang Wentian,Ron Wyden,Shanghai,Sun Zhengcai,Akhenaten,Hu Jintao,Cinemax,TVBSAsia,Hulk comics,Rolling Star,Yokohama,DC Comics,Sony Pictures Animation
Chris Weitz	Chris Brown,Carl Levin,Wally West,CurtissWright,Ordos City,Chicken,Corsier,Mario Gómez,Chromecast,Chrome OS,FC Metz,Ched Evans,Phil Spector,Hans Geiger,KisMyFt2,Zhu Xi,Adam Smith,Liu Jian,North Sea,SimCity,Zhang Yesui,Luís Figo,Cinemax,Ruhrstadion,Zhang Wentian,Shropshire,Metz,Croatia,Thuringia,Paris,David Stern,Tim Krul,Conan OBrien,Kurt Alder,Ich will,Marc Janko,Thomas Pledl,Donnie Yen,Carl Valeri,Marion Raven,Gary Locke,Andi Herzog,Tomer Hemed,Brian Wilson,Sunny Hill,Ron Wyden,Maxis,Nightwish,Angus Young,Chris Weitz
MALICE MIZER	Moon EP,FC Metz,BASIC,EXID,Marion Raven,Ich will,Xiaomi Mi 2,Avex Trax,Milan Susak,Mazda Cosmo,Matěj Vydra,Miloš Zeman,Angus Young,Mohamed Morsi,H EP,AC Omonia,AS Nancy,Marc Janko,Adam Smith,Nicki Minaj,HTC One V,Anwar Sadat,McLaren,Jerry Moran,FC Goa,Pope Mark,Iron Man,Mao Fumei,Apple A9,Luo Gan,Apple Watch,Mariah Carey,Liu Jian,HTC First,Mario Gómez,Manuel Valls,Luís Figo,Lu Xun,BBC One,AS Roma,KisMyFt2,TRAX band,Gossip Candy,FC Seoul,Lollipop F,Sunny Hill,Donnie Yen,Leessang,Fool Again,Malice Mizer
IPhone 5s	Chrome OS,Moon EP,Iron Man,Apple A9,HTC One V,Illinois,Chromecast,Cinemax,Pauleta,Qantas,Zhongshan,Ich will,Punjabis,Monaco,Berbers,Pope Mark,Zhu Xi,Jahangir,Yang Xu,Lyon,Akhenaten,Pyongyang,Nexus 6P,IOS,Cantonese,Modula2,Shanghai,Ranger 2,MeeGo,Celeron,Xiaomi,Ranger 6,Paris,Boeing 747,Maxis,Clojure,Linux,BBC One,So Girls,H EP,OpenJDK,Voyager 2,McLaren,Egirls,Clang,Bashkirs,Chicken,Budapest,Corsier,IPhone 5S
STAR Mika Nakajima album	Music Madonna album,One Arashi album,First Love Utada Hikaru album,Bon Voyage Kumi Koda album,Force Superfly album,Sugathadasa Stadium,Jay album,Luzhniki Stadium,Dejavu Kumi Koda album,Takasaki Gunma,Yokosuka Kanagawa,Mong Kok Stadium,Toumba Stadium,Tajimi Gifu,The Bourne Ultimatum,Alianza Lima,Yōko Kamikawa,Haruna Kojima,Daisuke Sakata,Ashikaga Yoshimitsu,Haj Ali Razmara,Kazuma Watanabe,Ashkan Dejagah,Fujisawa Kanagawa,Atsugi Kanagawa,Ahmad Shah Bahadur,Nokia Lumia 800,Yashio Saitama,Karaiskakis Stadium,Rose Bowl stadium,Takatsuki Osaka,AC Sparta Prague,City of Canada Bay,Suwa Nagano,Arabic alphabet,Tianhe Stadium,Split Croatia,Georgios Samaras,Agatha Barbara,Air Canada,American Samoa,Like a Virgin song,Starcamp EP,Takuya Terada,Avril Lavigne,Mikaël Silvestre,Takashi Sorimachi,Kuniaki Koiso,Takeaki Matsumoto,Star Mika Nakashima album
The Chronicles of Narnia	The Siren song,Republic of Genoa,Carlos Duke of Parma,The Republicans France,The Magicians Nephew,House of Vasa,Electronic Arts,The Rolling Stones,Pedro I of Brazil,Prime Minister of Slovenia,University of Turin,University of Jena,New Caledonia,Francesco Cossiga,Republic of Crimea,Carlos Santana,Carson California,Francesco Totti,The Pretenders,The Flash 2014 TV series,The Bourne Ultimatum,Rise of Nations,Shire of Winton,Queen Noor of Jordan,Tom Hiddleston,Emperor Ruizong of Tang,Central Academy of Drama,Chancellor of Germany,Prime Minister of Yemen,Blue English band,Notre Dame de Paris,University of Alabama,Georgios Samaras,Gerald Guralnik,American Samoa,University of Zurich,Northern California,Khabarovsk Krai,Chris Brown,Francesco Toldo,Seven Years War,Philip II of Macedon,DC Comics,Kourtney Kardashian,Love Across the Ocean,Occupation of Japan,Haj Ali Razmara,Order of Australia,First Minister of Scotland,The Chronicles of Narnia
Kuniaki Koiso	Blake Ross,Punjabis,Haruna Kojima,Kazuhiko Chiba,Tajimi Gifu,Henri Brisson,Fuchū Tokyo,Suzuki Escudo,Ibaraki Osaka,Benjamin Bristow,Nicki Minaj,Edogawa Tokyo,Xiaomi Mi 2,Mazda Cosmo,Sunny Hill,Karakoram,Animax Asia,Luís Figo,Kushan Empire,Hungarian forint,Hulk comics,Brian Wilson,Rensuke Isogai,Yuya Tegoshi,Takasaki Gunma,Ichihara Chiba,Kim Ryeowook,Suwa Nagano,Kashiwa,Marco Di Vaio,Conan OBrien,Marc Janko,Andi Herzog,Chris Weitz,Samuel Alito,Deng Yingchao,Lin Fengjiao,Liu Jian,Luzhniki Stadium,Gary Locke,Kaká,Tim Krul,Illinois,Dai Jiaoqian,Guo Jinlong,Sendai,Hu Jintao,Run Run Shaw,Nightwish,Kuniaki Koiso
Daisuke Sakata	Yashio Saitama,Rensuke Isogai,Takuya Terada,Takatsuki Osaka,Naif Hazazi,Mamadou Sakho,Anwar Sadat,Rainie Yang,Pauleta,Carlos Santana,Drake rapper,Air Canada,Hayato Ikeda,Haruna Kojima,Kazuma Watanabe,Yōko Kamikawa,Kawaguchi Saitama,Takasaki Gunma,Hakan Yakin,Moshe Katsav,Milan Susak,Setagaya,Victor Ponta,Atsugi Kanagawa,Yugawara,Ezequiel Garay,Haj Ali Razmara,Suwa Nagano,Liu Jian,Manuel Valls,Yokosuka Kanagawa,Samuel Alito,Ibaraki Osaka,House of Vasa,Dai Jiaoqian,David Stern,Nicki Minaj,Tianhe Stadium,Piedra Spain,Daur language,Taylor Swift,West Java,Paraná state,Basque language,Gujarat,Kazuhiko Chiba,Shueisha,Kashiwa,Inuyasha,Daisuke Sakata
Tomo Hemed	Mao Fumei,Tuo Zhen,Tomb Raider,Thomas Pledl,Tim Krul,Todor Burmov,Miloš Zeman,Tong Liya,Ron Wyden,TRAX band,Thomas Hobbes,Mario Gómez,Hebei,The Hague,Yokohama,Game Center,Yemen,Andi Herzog,Sven Bender,Sammir,Kurt Alder,Fool Again,John Bercow,Bob Corker,Hans Geiger,Luo Gan,North Sea,Pedro Pires,Kim Heechul,Moon EP,Bob Carr,Donnie Yen,Clojure,Corsier,Carl Levin,Over Load,Pope Mark,So Girls,Cinemax,Katowice,John Sherman,Dordrecht,Xiaomi,Toyota Aichi,Socrates,Wang Zhen,BBC One,Soft rock,Haarlem,Tomer Hemed
County Durham	County Monaghan,Patty Murray,Coquitlam,Conan OBrien,John Curtin,North Sea,Chandigarh,Jeremy Bentham,Club Atlas,Sunny Hill,Toyota Aichi,John Bercow,Soft rock,Inuyasha,Tong Liya,Katy Perry,Montesquieu,Jerry Moran,Run Run Shaw,John Sherman,Naughty Dog,Todor Burmov,Yan Xishan,Yury Luzhkov,Sorry Sorry,Liu Yuzhang,Gujarat,Croatia,Yunnan,Botswana,North Brabant,West Java,Yokohama,Bulgaria,Southern Tang,Yugawara,Corsier,Pope Mark,CurtissWright,House of Vasa,Confignon,Coptic alphabet,Karakoram,Alan Sheehan,Cao Cao,John Roberts,Nedum Onuoha,Clojure,Milan Susak,County Durham
Egirls	So Girls,Bird,Tigris,Epicurus,Paris,EXID,Maxis,Linux,Quito,Qantas,Ovid,Haarlem,Madrid,Berlin,H EP,SS501,VIXX,SDN48,Kaká,TVBS,MeeGo,ABBA,Ranger 2,Esbjerg,Xiaomi,Zenica,FC Goa,AWK,Chicken,Americas,McLaren,Nampo,Clang,Modula2,Ranger 6,Sammir,Yanan,Jining,Celeron,Astana,Goa,Bashkirs,Naha,IOS,Belize,NTV7,Berbers,Metz,Oregon,Egirls
Hebei	Delhi,Yemen,Sendai,Berbers,Metz,H EP,MeeGo,Berlin,Busan,Yanan,Nampo,Sammir,Naha,Tigris,Quito,Mestizo,Oregon,Armenia,Maebashi,Zenica,Zhu Xi,Nevada,Lyon,Celeron,Haarlem,Goa,Kaká,Ovid,Hitachi,Xiaomi,Esbjerg,EXID,Bird,Belize,AWK,ABBA,Linux,TVBS,SDN48,NTV7,Maxis,VIXX,Clang,SS501,IOS,BASIC,GNU,Suzhou,Guangxi,Hebei
Indonesian	Zhongshan,Iron Man,Valencian,IPhone 5S,Inuyasha,Cantonese,Pakistan,Armenia,Croatia,Madagascar,Yunnan,Busan,Budapest,Botswana,Palencia,Yanan,Leessang,Ordos City,Corsier,Luo Gan,Cinemax,TVBSAsia,Pyongyang,Liu Jian,Yan Xishan,Illinois,Bulgaria,Mestizo,Cameroon,Oregon,Hebei,Li Keqiang,Monaco,Yemen,Zenica,Goa,Americas,Chicken,Brooklyn,Yokohama,Camellia,AlQaeda,Belize,Katowice,Guangxi,Gelderland,Astana,Animax Asia,Modula2,Indonesian language
President of the European Council	President of Germany 191945,Swiss Federal Council,Prudente de Morais,Even If Ken Hirai song,President of the Legislative Council of Hong Kong,George IV of the United Kingdom,Order of Australia,Monarchy of the United Kingdom,List of Portuguese monarchs,Pedro I of Brazil,Kara South Korean band,Pasadena California,Huangchuan County,Prime Minister of Slovenia,House of Hohenzollern,Party of Labour of Albania,Amintore Fanfani,List of parishes in Louisiana,Kingdom of Yugoslavia,Latvian Higher League,201415 UEFA Europa League,Rise of Nations,Philip II of Macedon,Republic of Korea Navy,Like a Virgin song,Shire of Winton,The Siren song,University of Texas at Austin,Western Yugur language,Manco Inca Yupanqui,Dream of Love Adventure Time,Pier Luigi Bersani,Northern California,Pietro Badoglio,Peter Crouch,Hachinohe Aomori,Deportivo de La Coruña,Viktor Chernomyrdin,Friends season 7,Carlos Adriano de Sousa Cruz,Vlatko Grozdanoski,Prime Minister of Yemen,Mayor of New Taipei,201213 UEFA Europa League,Party of Regions,The Republicans France,List of counties in Arizona,Republic of Crimea,Kingdom of England,President of the European Council
Golden Gale	Gelderland,Wilber Pan,Palencia,Pope Mark,Valencian,Rolling Star,Gossip Candy,So Girls,Moon EP,Marion Raven,Tomer Hemed,Luo Gan,Southern Tang,Goa,Zenica,Modula2,Gerd Müller,Manuel Valls,Yao people,Armenia,Bob Carr,Belgrade,Sendai,The Hague,Monaco,Gordon Sprigg,Robbie Keane,Ron Wyden,Iron Man,Akhenaten,Sunny Hill,Wind song,Leessang,TRAX band,Over Load,Fool Again,Cinemax,Good Charlotte,Ich will,Tong Liya,Setagaya,Yanan,Lollipop F,Ledley King,Pauleta,Michael Bay,FC Goa,MeeGo,Camellia,Gold Typhoon
Grand Duke Guillaume Luxembourg	Luis Guillermo Solís,Luke P Blackburn,University of Freiburg,Carlos Duke of Parma,Prince Nikolai of Denmark,Lord William Bentinck,Grand Duchy of SaxeWeimarEisenach,Shaquille ONeal,Drake rapper,Prince Fushimi Hiroyasu,Takeaki Matsumoto,Sandra Day OConnor,Red Hot Chili Peppers,Gwangju World Cup Stadium,Star Mika Nakashima album,Fukui Prefecture,Indian Super League,San Jose State University,Bertrand Delanoë,Notre Dame de Paris,Alexandre Millerand,JeanBaptiste Lamarck,Gerd Müller,Ernst Kummer,Stefan Effenberg,Banastre Tarleton,Andi Herzog,George Papandreou,John Archibald Wheeler,Timon Wellenreuther,Andrew Yeom Soojung,Hans Geiger,Leandro Guaita,Ivan Silayev,Perfume Japanese band,Michael Bloomberg,Imangali Tasmagambetov,Ali Abdullah Saleh,John B Weller,Lhasa Gonggar Airport,Adiel de Oliveira Amorim,Scuderia Ferrari,Samuel L Southard,Klaus Augenthaler,Gerald Guralnik,Manco Inca Yupanqui,Stadium Australia,Latvian Higher League,Guo Jinlong,Guillaume Hereditary Grand Duke of Luxembourg
Aramaic	Armenia,Sammir,Alkmaar,Brazil,Croatia,Naha,Yanan,Nampo,Astana,AS Nancy,Sendai,Maxis,Odawara,Xiaomi,Madrid,Paris,Bulgaria,Punjabis,Gujarat,Yunnan,Hebei,Tigris,Delhi,Camellia,Oregon,AlQaeda,AWK,Zenica,Nevada,Monaco,Ovid,Adam Smith,Kaká,Yemen,Busan,Belfast,AC Omonia,Yugawara,Goa,Katowice,ABBA,Guangxi,Americas,Jahangir,Hitachi,Sakhalin,Cinemax,Clang,Bradford,Aramaic alphabet
Donnie Yen	Rainie Yang,Robbie Keane,Ron Wyden,Confignon,David Stern,Conan OBrien,Iron Man,Moon EP,Chicken,Wang Zhen,North Sea,Yemen,Yunnan,Dordrecht,Corsier,Angus Young,Emilia Fox,Joachim Löw,Liu Jian,Wilber Pan,Ronan Keating,Zhang Yesui,Pope Mark,McLaren,Sunny Hill,Fool Again,Sven Bender,Lollipop F,Yang Xu,Yanan,Qin Sheng,Lu Xun,Gossip Candy,Tuo Zhen,John Sherman,Tong Liya,Luo Gan,Socrates,Hans Geiger,Yan Xishan,Ranger 2,So Girls,Wind song,Zhongshan,Oregon,Bob Corker,Cinemax,Jining,John Curtin,Donnie Yen
Okayama Prefecture	Nagano Prefecture,Iwate Prefecture,Shimane Prefecture,Fukui Prefecture,Tochigi Prefecture,Yamaguchi Prefecture,Kim Heechul,Indiana Pacers,The Pretenders,Game Center,Mikaël Silvestre,Tajimi Gifu,Gilan Province,Daraa Governorate,Kazuma Watanabe,Hayato Ikeda,Paraná state,Madagascar,Yokohama Station,Belgian Pro League,AC Sparta Prague,Stefan Effenberg,Katy Perry,Taylor Swift,Phil Spector,Odawara,Toyota Aichi,Hausa language,Mana Iwabuchi,Staffordshire,Kushan Empire,Takuya Terada,Yuya Tegoshi,Taiwanese people,Aymara language,Haarlem,Maya Yoshida,Love So Sweet,Yao people,Battle Fever J,JeanPaul Sartre,Zhang Wentian,Haha entertainer,Khmer Empire,Alan Sheehan,Zhang Yesui,AlNusra Front,Jack Kerouac,Adam Smith,Okayama Prefecture
Prince Takahito Mikasa	Prince Fushimi Hiroyasu,Prince Nikolai of Denmark,Nicki Minaj,Daisuke Sakata,Hayato Ikeda,Yashio Saitama,Perfume Japanese band,Francesco Cossiga,Pasadena California,Takashi Sorimachi,Takuya Terada,Kuniaki Koiso,Takasaki Gunma,Yōko Kamikawa,Takatsuki Osaka,Kazuhiko Chiba,One Arashi album,Princess Iman bint Hussein,Ibaraki Osaka,Dai Jiaoqian,Angelino Alfano,Prudente de Morais,House of Vasa,Francesco Totti,Angels Fall First,Eurico Gaspar Dutra,Francesco Toldo,Pedro Pires,San Antonio Spurs,Xiaomi Mi 2,Pratt  Whitney JT9D,Vincenzo Montella,Piedra Spain,Rise of Nations,Saint Paul Minnesota,Northwest Territories,Philadelphia 76ers,French Navy,Carson California,French Polynesia,Northern California,Ichihara Chiba,Maya Yoshida,Tajimi Gifu,Haruna Kojima,Kawaguchi Saitama,Moshe Katsav,Atsugi Kanagawa,Tang Shaoyi,Takahito Prince Mikasa
Nikola Petkovic	Nilo Peçanha,Gilan Province,Slobodan Rajković,Niklaus Wirth,Niels Bohr,Bill Nelson,Carl Levin,Angela Merkel,New Caledonia,Radoslav Kováč,Miloš Zeman,Victor Ponta,ND Gorica,Hakan Yakin,Todor Burmov,John Bercow,Croatia,Yuya Tegoshi,Qinghai Senke FC,Katowice,Jack Kerouac,Anton Chekhov,Napoleon III,Takuya Terada,Vegalta Sendai,Cathay Pacific,Gold Typhoon,Blake Ross,Lingya District,Fool Again,Piedra Spain,Xiaomi,Yūko Obuchi,Toyota Aichi,Pope Leo IX,Yao people,Altai Republic,Nintendo DS,Lost season 3,Windows Phone,Hulk comics,Savo Milošević,Thomas Pledl,Marc Janko,Virgin Records,Roman Sharonov,Milan Susak,Carl Valeri,Villarreal CF,Nikola Petković
