Abdullah Gul	Abdullah Gül
Jamal Abdul-Nasser	Gamal Abdel Nasser
Mabuya Institute of Technology	Mapúa Institute of Technology
Ogiwa Station	Ogikubo Station
Kevin Phillips	Kevin Phillips (footballer)
Homs (Syria)	Homs
Shu Chang (Actor)	Shu Chang (actress)
MY SUGAR CAT	My Sugar Cat
Pujie	Pujie
Marlon Jingzhi	Marlon King
Austro-Hungary	Austria-Hungary
2014 Asian Games	2014 Asian Games
Samuel Osgood	Samuel Osgood
Uyghur	Uyghurs
Makino Tomoaki	Tomoaki Makino
Macau Radio and Television Corporation	TDM (Macau)
Kuibyshev Reservoir	Kuybyshev Reservoir
Orhan I	Orhan of the Ottoman Empire
heavy metal	Heavy metal music
University of Toronto	University of Toronto
Gunnar Thorodesen	Gunnar Thoroddsen
Li Jiawei (Singer)	Jess Lee (Malaysian singer)
Premier of the State Council of the People's Republic of China	Premier of the People's Republic of China
Bangkok	Bangkok
Wang Zhaoguo	Wang Zhaoguo
wyoming	Wyoming
UnrealEngine	Unreal Engine
The Pet Girl of Sakurasou	The Pet Girl of Sakurasou
Duran Duran	Duran Duran
Luis Adriano	Luiz Adriano
nor	Nord (French department)
Emperor Wei Xiaowen	Emperor Xiaowen of Northern Wei
Pope Felix I	Pope Felix I
China Women's National Football Team	China women's national football team
Real Mallorca Athletic	RCD Mallorca
KAT-TUN	KAT-TUN
Trey Cool	Tré Cool
Judy Costa	Jodie Foster
Amerika	Amerika (song)
F4 (men's team)	F4 (band)
Fort Pierce (Florida)	Fort Pierce, Florida
Benhua Mandelbrot	Benoit Mandelbrot
Lyman Spitzer	Lyman Spitzer
Elva Hsiao	Elva Hsiao
Li Fangzi	Yi Bangja
CSKA Moscow	PFC CSKA Moscow
Miyazawa Sae	Sae Miyazawa
Qingpu Kuiwu	Kiyoura Keigo
T-50 Fighter	Sukhoi PAK FA
IPad (2nd generation)	IPad (2nd generation)
Kingdom of Bulgaria	Kingdom of Bulgaria
Micronesian	Micronesian languages
Jaya Bakhan	Jaya Bachchan
Edition Lima	Ildefons Lima
HTC One Mini 2	HTC One Mini 2
John Corning	John Cornyn
Junkie XL	Junkie XL
Hurricane Gordon (1994)	Hurricane Gordon (1994)
Roman Pavlyuchenko	Roman Pavlyuchenko
Louis Saint Laurent	Louis St. Laurent
Mauritz of Nassau	Maurice, Prince of Orange
Horace Lamb	Horace Lamb
Liu Jiahao (Producer)	Lau Kar-ho
Xu Xiangqian	Xu Xiangqian
Fennis Morley	Ramiro Funes Mori
Administrative Divisions of Tennessee	List of counties in Tennessee
Bi Shujin	Bii (singer)
Latin-Falih	Latino-Faliscan languages
Felipe II (Spain)	Philip II of Spain
Doug Rivers	Doc Rivers
TIME (TVXQ album)	Time (TVXQ album)
Lee Teng-hui	Lee Teng-hui
Li Ka Shing Faculty of Medicine, The University of Hong Kong	Li Ka Shing Faculty of Medicine
Zilina Football Club	MŠK Žilina
Ranger 8	Ranger 8
Minangkabau	Minangkabau language
Benevolent Decoding	A Great Way to Care
Numerian	Numerian
Leto-Romansian	Rhaeto-Romance languages
Esbjerg United Football Club	Esbjerg fB
Wales	Wales
HTC First	HTC First
Jiang Bingkun	Chiang Pin-kung
Wang Guoming (football player)	Wang Guoming
Fujisawa City	Fujisawa, Kanagawa
British Virgin Islands	British Virgin Islands
Wing Train	Tsubasa (train)
Grant County (Washington State)	Grant County, Washington
Sham Shui Po Sports Association Football Team	Sham Shui Po SA
Beihan	Northern Han
Battle of Bunker Hill	Battle of Bunker Hill
Zhang Jizhong	Zhang Jizhong
missouri	Missouri
Yu Zhengsheng	Yu Zhengsheng
Lotus (Lan)	Lotus (Arashi song)
City of Willoughby	City of Willoughby
Mohenbagan Athletic Club	Mohun Bagan A.C.
Park Ye-jin	Park Ye-jin
Ranger 5	Ranger 5
University of Westminster	University of Westminster
Olusegun Obasanjo	Olusegun Obasanjo
Republic of China (Mainland Period)	Republic of China (1912–49)
Ma Guoming	Kenneth Ma
Erich Honecker	Erich Honecker
Sun Mingyang	Michael Suen
Hu Xia	Hu Xia
France Perkins	Frances Perkins
University of Science and Technology of China	University of Science and Technology of China
San Stephen Lutu	Shane Stefanutto
XNA Game Studio Express	Microsoft XNA
Fire Ambition 3	Burning Flame III
Lauren Gosney	Laurent Koscielny
Akira Yamaoka	Akira Yamaoka
Nayef bin Abdul-Aziz al-Saud	Nayef bin Abdul-Aziz Al Saud
Louis-Elisabeth (France)	Louise Élisabeth of France
shuley	Choulex
Khmer	Khmer alphabet
Mansi	Mansi language
Benito Mussolini	Benito Mussolini
Supernova Flashman	Choushinsei Flashman
Stay by my side	Stay by My Side
Juan Manuel Santos	Juan Manuel Santos
Prince Michael	Prince Michael of Kent
Richard Burton	Richard Burton
Nicolas IV	Pope Nicholas IV
German Chancellor	Chancellor of Germany
Hunan University	Hunan University
Ryoichi Maeda	Ryoichi Maeda
Nguyen Minh Chay	Nguyễn Minh Triết
Nicholas Fissgrat	Nick Fitzgerald
William Howe , 5th Viscount Howe	William Howe, 5th Viscount Howe
Victor Moses	Victor Moses
Media Go	Media Go
Pashtun	Pashtuns
Blood Devourer	Strike the Blood
Zhong Jinghui	Chung King-fai
Ergun	Argun River (Asia)
I am a comedy maniac (Season 2)	30 Rock (season 2)
Marek Matejowski	Marek Matějovský
Kofu City	Kōfu
William John Duane	William J. Duane
Henrik Ibsen	Henrik Ibsen
Victor Zubkov	Viktor Zubkov
Marina County (Duchess of Grundig)	Princess Marina of Greece and Denmark
Nuri Maliki	Nouri al-Maliki
Daniel Forlander	Daniel Vorländer
Meng Jianzhu	Meng Jianzhu
X-Men	X-Men
Air Transat Flight 236 Accident	Air Transat Flight 236
Ranger 4	Ranger 4
Catholic Diocese of Hexham & Newcastle	Roman Catholic Diocese of Hexham and Newcastle
University of Padova	University of Padua
vampire detective	Vampire Detective
Sicilian	Sicilian language
Alvaro Uribe Velez	Álvaro Uribe
Korea Baseball Committee	Korea Baseball Organization
vatican	Vatican City
Fettlee Sullenson	Frederik Sørensen
Braveheart	Braveheart
Piedmont	Piedmont
Love the world	Love the World
Changshou Yangtze River Bridge	Changshou Yangtze River Bridge
Carlos Coimbra-Dalus	Carlos Luz
Don't Don	Don't Don
Aleppo Governorate	Aleppo Governorate
George V	George V
Minangjiabaoren	Minangkabau people
Carloman (King of Bavaria)	Carloman of Bavaria
Ozzie Osborne	Ozzy Osbourne
Jin Junsu	Kim Junsu
Windsor (Berkshire)	Windsor, Berkshire
Liang Zijun	Leung Tsz Chun
Basabawen	'Phags-pa script
nairobi	Nairobi
Jacques Chirac	Jacques Chirac
Haryana	Haryana
Wilhelm-Alexander (Netherlands)	Willem-Alexander of the Netherlands
Superman	Superman
Hong Kong Group C (A) Football League	Hong Kong Third A Division League
Roman Empire	Roman Empire
Atahualpa	Atahualpa
Masselu Karuska	Marcelo Carrusca
tennessee	Tennessee
Timothy Pickering	Timothy Pickering
Mikhail Mikhailovich Kasyanov	Mikhail Kasyanov
Cesar Azpilicueta	César Azpilicueta
Zhang Jianfeng	Cheung Kin Fung
Jaime (Count Baldi)	Prince Jaime, Count of Bardi
Suwa City	Suwa, Nagano
Oakland Airport	Auckland Airport
Guo Keying	Kenix Kwok
IPod touch 5	IPod Touch (5th generation)
Bronx	The Bronx
Hina Rabbani Hale	Hina Rabbani Khar
Brooklyn	Brooklyn
Queens University (Canada)	Queen's University
Grigor Mgaloblishvili	Grigol Mgaloblishvili
Jin Chengyong	Kim Song-Yong
Roberto Carlos	Roberto Carlos (footballer)
Māori	Māori language
Rolling Stones	The Rolling Stones
Lucas Biglia	Lucas Biglia
Bohemian Rhapsody	Bohemian Rhapsody
Mark Rutte	Mark Rutte
cody (Wyoming)	Cody, Wyoming
Oromo	Oromo language
Li Yapeng	Li Yapeng
Jetro Williams	Jetro Willems
borneo	Borneo
IU (Singer)	IU (singer)
Qantas flight 32 accident	Qantas Flight 32
Airbus A330	Airbus A330
Chu-Han War	Chu–Han Contention
Uzbekistan	Uzbekistan
Lauda Airlines	Lauda Air
Keiko Hirono	Mazie Hirono
paraguay	Paraguay
David Perdue	David Perdue
ML language	ML (programming language)
Victor Cavendish, 9th Duke of Devonshire	Victor Cavendish, 9th Duke of Devonshire
Mozilla Corporation	Mozilla Corporation
Chen Yuzong	Trần Dụ Tông
Ukrainian Premier League	Ukrainian Premier League
Maria Vladimirovna	Maria Vladimirovna, Grand Duchess of Russia
John Barrasso	John Barrasso
Shenzhou IX	Shenzhou 9
Order of the Garter	Order of the Garter
Brigitte Lin	Brigitte Lin
Huajiabao Football Club	Workable FC
William Gladstone	William Ewart Gladstone
Kawagenecho	Kawanehon
See-Saw	See-Saw
Ministry of Industry and Information Technology of the People's Republic of China	Ministry of Industry and Information Technology
Hippolyto II Este	Ippolito II d'Este
Windows Server 2003	Windows Server 2003
Emperor Entertainment	Emperor Entertainment Group
Nish	Niš
Li Yizhen	Ailee
Singapore Airlines	Singapore Airlines
Drums and Bass	Drum and bass
Huang Jingyi	Xiao Xun
Medlin	Medellín, Spain
Bulgarian	Bulgarian language
Laramie (Wyoming)	Laramie, Wyoming
Joseph Desha	Joseph Desha
Adnan Januzaj	Adnan Januzaj
Big Infinity	Do As Infinity
Southern Alps	Minami-Alps, Yamanashi
Je tangerine unfinished	Mikan (song)
Tang Shaoyi	Tang Shaoyi
Aurelio (Asturias)	Aurelius of Asturias
Abdullah Sani	Abdullah al-Thani
Los Angeles International Airport	Los Angeles International Airport
Su Yu	Su Yu
Colin Trevorrow	Colin Trevorrow
Nicholas of Kusa	Nicholas of Cusa
Amad Zahid	Ahmad Zahid Hamidi
Leiden	Leiden
Grand Alliance War	Nine Years' War
Belgium national under-21 football team	Belgium national under-21 football team
Philips Stadium	Philips Stadion
Love Dream	Dream of Love (Adventure Time)
Na Quotations	Confessions on a Dance Floor
Durham (North Carolina)	Durham, North Carolina
Delft	Delft
Lavrenti Pavlovich Beria	Lavrentiy Beria
Austrian German	Austrian German
Carol II	Carol II of Romania
Beep!! Sunshine Sunshine	Beep!! (Superfly song)
Emanuel Levinas	Emmanuel Levinas
Mr. Taxi Run Devil Run	Mr. Taxi
Central Mountains (Iberian Peninsula)	Sistema Central
Paul Simon	Paul Simon
Genz Arpad	Árpád Göncz
Croatian Football League	Croatian First Football League
Ateneo de Manila University	Ateneo de Manila University
Crisis Core -Final Fantasy VII-	Crisis Core
Pope Ho Mi	Pope Hormisdas
Gijón	Gijón
Sven Bender	Sven Bender
Russia under-21 national football team	Russia national under-21 football team
Dragon Ash	Dragon Ash
2PM	2PM
dawn	Leon Lai
Medinacelli	Medinaceli
Airbus A300	Airbus A300
Cebuano	Cebuano language
Eddie Francis	Eddy Francis
Dundee United Football Club	Dundee United F.C.
Toyota City	Toyota, Aichi
Fang Datong	Khalil Fong
Jin	Jin Chinese
Dish Network	Dish Network
HTC One Max	HTC One Max
Victoria Sports Association	Vitória S.C.
Bulent Ecevit	Bülent Ecevit
Chivas USA	Chivas USA
Cao Huan	Cao Huan
Working People's Progressive Party	Progressive Party of Working People
cali	Cali
Maltese	Maltese language
Iran Professional Football League	Persian Gulf Pro League
UVERworld	Uverworld
Ich tu dir weh	Ich tu dir weh
Samsung Galaxy S4	Samsung Galaxy S4
Malta	Malta
Audi RSQ	Audi RSQ
William I (Netherlands)	William I of the Netherlands
Tony Bosta	Toni Polster
Russian Soviet Federal Socialist Republic	Russian Soviet Federative Socialist Republic
Tony Blair	Tony Blair
Gulf of Mexico	Gulf of Mexico
Roadshow Movies	Village Roadshow Pictures
So Into You	So into You (Kumi Koda song)
Steven Spielberg	Steven Spielberg
Moments (Ayumi Hamasaki single)	Moments (Ayumi Hamasaki song)
The Who	The Who
ITunes Store	ITunes Store
Flaming Team Thunderer	Engine Sentai Go-onger
French Second Empire	Second French Empire
Elliott Spitzer	Eliot Spitzer
Queen Tai	Tiye
Sizo (Prince of Schwarzburg)	Sizzo, Prince of Schwarzburg
Yang Jing	Yang Jing
Jeremy Corbyn	Jeremy Corbyn
Royal Victorian Medal	Royal Victorian Order
Foshan	Foshan
Tianjin Tuanbo Football Stadium	Tianjin Tuanbo Football Stadium
Takanashi Yasuji	Yasuharu Takanashi
Jigme Singh Wangchuck	Jigme Singye Wangchuck
Cao Kun	Cao Kun
Maggie Gyllenhaal	Maggie Gyllenhaal
Mao Anqing	Mao Anqing
Logic Pro	Logic Pro
My Savage Granny	Wars of In-laws
Des Voeux	William Des Vœux
Florida Administrative Divisions	List of counties in Florida
Zheng Xiujing	Krystal Jung
Emma Thompson	Emma Thompson
buckinghamshire	Buckinghamshire
Hiranuma Kiichiro	Hiranuma Kiichirō
The beginning of the end	The Beginning of the End (Lost)
Socialist (Walloon)	Parti Socialiste (Belgium)
Lin Zhenyi	Lin Chen-yi
Musashi-Kosugi Station	Musashi-Kosugi Station
Zheng Jing	Zheng Jing
Coalition Interim Administration in Iraq	Coalition Provisional Authority
Queer III Arena	Quake III Arena
Tocharian	Tocharian languages
Ashikaga Yoshimitsu	Ashikaga Yoshimitsu
MeeGo	MeeGo
lublin	Lublin
Sauley Niinisto	Sauli Niinistö
monarchs of Canada	Monarchy of Canada
Ramiz Alia	Ramiz Alia
Qiu Yuming	Chiu Yu Ming
Deus Ex	Deus Ex
Hun Sen	Hun Sen
Ren Rongxuan	Lorene Ren
Chile	Chile
Sagamihara Sports Association	SC Sagamihara
Nezid Sultanate	Sultanate of Nejd
Chachai·Chunhawang	Chatichai Choonhavan
Frank O. Horton	Frank O. Horton
Nabataean Alphabet	Nabataean alphabet
Tu Xingzhe	Twu Shiing-jer
Tokugawa Keirai	Tokugawa Yoshiyori
Cai Peixuan	Wayne Chua
Didier Drogba	Didier Drogba
Steppe Mali	Meadow Mari language
Windsor-Maidenhead	Royal Borough of Windsor and Maidenhead
Jetstar	Jetstar Airways
Sultan Tuanku Abdul Halim	Abdul Halim of Kedah
La Palma Island	La Palma
Joetsu Shinkansen	Jōetsu Shinkansen
University of Chicago	University of Chicago
Reading Football Club	Reading F.C.
Rais Yading	Rais Yatim
Tomiya Nagase	Tomoya Nagase
Archduke Franz Karl	Archduke Franz Karl of Austria
Jewish-Moroccan	Judeo-Moroccan Arabic
The Great Divide	Great Dividing Range
Wen Jiabao	Wen Jiabao
The Long River	River of No Return (song)
Jersey City	Jersey City, New Jersey
Shen Zuyao	Joseph Sung
Kanji	Kanji
Apache Software Foundation	Apache Software Foundation
Oweni-Rhône-Alpes	Auvergne-Rhône-Alpes
Mischievous Kiss (Korean drama)	Playful Kiss
Delaware	Delaware
Bernay	Bernex, Switzerland
