BBC Radio 1	BBC One
Ainu languages	Ainu languages
Kamchatka Krai	Kamchatka Krai
Samuel L Southard	Samuel L Southard
Nemzeti Bajnokság I	Nemzeti Bajnokság I
Catholic Archdiocese of Bangkok	Roman Catholic Archdiocese of Bangkok
Loveven Cabinet	Löfven Cabinet
Kingdom of Italy	Kingdom of Italy
Guo Jinlong	Guo Jinlong
Tatsuya Sakai	Tatsuya Sakai
Michael Moore	Mike Moore
Windows Photo Gallery	Windows Photo Gallery
Nintendo Entertainment System	Nintendo Entertainment System
Jimmy Bullard	Jimmy Bullard
Democratic Party of Japan	Democratic Party of Japan
University of Florence	University of Florence
Florida	Orlando Florida
Mary Kiviniemi	Mari Kiviniemi
soft rock	Soft rock
Love Dream	Dream of Love
Portia SimpsonMiller	Portia SimpsonMiller
Love across the ocean	Love Across the Ocean
California State Senate	California State Senate
Belgrade	Belgrade
Kara	Kara
Botswana	Botswana
JeanPaul Sartre	JeanPaul Sartre
Mariah Carey	Mariah Carey
Michele Alboreto	Michele Alboreto
Louisiana Administrative Divisions	List of parishes in Louisiana
Rgyalrongic languages	Rgyalrongic languages
LollipopF	Lollipop F
Jiujiang Yangtze River Bridge	Jiujiang Yangtze River Bridge
Celeron	Celeron
Guangzhou Evergrande Taobao Football Club	Guangzhou Evergrande Taobao FC
Ministry of State Security	Ministry of State Security
LibreOffice	LibreOffice
Stefan Effenberg	Stefan Effenberg
Yuan Shanshan	Yuan Shanshan
Glen Murray	Glen Murray
Jet Evans	Ched Evans
Andres Herzog	Andi Herzog
HTC One V	HTC One V
William Rehnquist	William Rehnquist
alkmaar	Alkmaar
mauritius	Mauritius
Jules de Polignac	Jules de Polignac
The Kushan Empire	Kushan Empire
David Weir	David Weir
National Health and Family Planning Commission	National Health and Family Planning Commission
Kohei Kawata	Kohei Kawata
Emirate of Jebel Shamar	Emirate of Jabal Shammar
west Virginia	West Virginia
SC Olhanense	SC Olhanense
China Television	China Television
Syrian Armed Forces	Syrian Armed Forces
Secretary of the Central Commission for Discipline Inspection	Secretary of the Central Commission for Discipline Inspection
Asamoah Gian	Asamoah Gyan
Patty Murray	Patty Murray
The Wallflower	The Wallflower
EXID	EXID
Northern Han	Northern Han
Pedro I	Pedro I of Brazil
Zushi Kanagawa	Zushi Kanagawa
Jahangir	Jahangir
Todor Bulmov	Todor Burmov
Hong Yongjo	Hong Yongjo
Riccardo Montolivo	Riccardo Montolivo
Heechul	Kim Heechul
Foxborough	Foxborough Massachusetts
RC Lens	RC Lens
Takasaki	Takasaki Gunma
Sugasa Dasa Stadium	Sugathadasa Stadium
ShanghaiKunming Line	ShanghaiKunming Railway
Thomas Vermaelen	Thomas Vermaelen
Luton Town FC	Luton Town FC
Hurricane Ike	Hurricane Ike
Peoples Life Party	Peoples Life Party
Raúl Albiol	Raúl Albiol
Morocco National Football Team	Morocco national football team
David NGog	David NGog
Tīnn Sîngkong	Koxinga
Notre Dame	Notre Dame de Paris
Republic of Korea Armed Forces	Republic of Korea Armed Forces
Bosnian	Bosnian language
Wuhan University	Wuhan University
Sunny Hill	Sunny Hill
Americas	Americas
Jim Ji won	Kim Jiwon
Ri Kwangchon	Ri Kwangchon
ArabIsraeli conflict	ArabIsraeli conflict
Ada	Ada
Arabic Alphabet	Arabic alphabet
Inha University	Inha University
Michael Sheen	Michael Sheen
Abd Raab Mansour Hadi	Abd Rabbuh Mansur Hadi
Bill Nelson	Bill Nelson
Al Qaeda	AlQaeda
National League Nort	National League North
Lingya District	Lingya District
Philip II	Philip II of Macedon
OGC Nice	OGC Nice
JeanBaptiste Lamarck	JeanBaptiste Lamarck
Western Yugur	Western Yugur language
Albert II	Albert II of Belgium
Guy de Maupassant	Guy de Maupassant
Swiss Federal Council	Swiss Federal Council
Takuya Terada	Takuya Terada
Friends	Friends
Joe Cole	Joe Cole
Hong Kong Fourth Division League	Hong Kong Fourth Division League
Indian Premier League	Indian Super League
Madagascar	Madagascar
Tropical Storm Hannah	Tropical Storm Hanna
Royal Australian Air Force	Royal Australian Air Force
Fabio Capello	Fabio Capello
Omonia Sports	AC Omonia
Russian Soviet Federal Socialist Republic	Russian Soviet Federative Socialist Republic
Subin Park	Subin Bak
Sergio Cirio	Sergio Cirio
Club Atlético Boca Juniors	Boca Juniors
Juken Sentai Gekiranger	Juken Sentai Gekiranger
FC Basel	FC Basel
Nu metal	Nu metal
Phoenix Sky Harbor International Airport	Phoenix Sky Harbor International Airport
Callixter III	Pope Callixtus III
Paris	Paris
Queen Noor	Queen Noor of Jordan
Marianne Raven	Marion Raven
Carson	Carson California
Villarreal Football Club	Villarreal CF
University of Alabama	University of Alabama
Hachinohe	Hachinohe Aomori
Sistus V	Pope Sixtus V
Ronan Keating	Ronan Keating
Kingdom of Yugoslavia	Kingdom of Yugoslavia
Ptolemy I Soter	Ptolemy I Soter
Ernie Merrick	Ernie Merrick
PepGuardiola	Pep Guardiola
University of Portland	University of Portland
Phil Jagielka	Phil Jagielka
Alan Shihan	Alan Sheehan
Yuri Mikhailovich Luzhkov	Yury Luzhkov
Wii U	Super Smash Bros for Nintendo 3DS and Wii U
bird	Bird
Olaf II of Denmark	Olaf II of Denmark
Giorgio Chiellini	Giorgio Chiellini
Cyrus the Great	Cyrus the Great
Prague University of Economics	University of Economics Prague
Belgium Football League	Belgian Pro League
Ingrid Bergman	Ingrid Bergman
University of Jena	University of Jena
Adam Smith	Adam Smith
Windows Phone	Windows Phone
Des Voeux	William Des Vœux
Embolo	Breel Embolo
Liquivea Sports	Lekhwiya SC
One of the Boys	One of the Boys
Hitori	Hitori
pakistan	Pakistan
Michael Miu	Michael Miu
Nintendo WiFi Connection	Nintendo WiFi Connection
Northeastern University	Northeastern University
Amazuppai Haru ni Sakura Saku	Amazuppai Haru ni Sakura Saku
Ashkan Dejaga	Ashkan Dejagah
José Bosingwa	José Bosingwa
Drake	Drake
Katowice	Katowice
MOON	Moon
Gujō	Gujō
Angelino Alfano	Angelino Alfano
Renaldo Elias da Costa	Reinaldo Elias da Costa
GNU	GNU
Chris Brown	Chris Brown
Hins Cheung	Hins Cheung
Jose Luis Rodriguez Zapatero	José Luis Rodríguez Zapatero
Yoyo Chen	Yoyo Chen
Lee Jungshin	Lee Jungshin
William Wyndham	William Windom
Universal Parks  Resorts	Universal Parks  Resorts
Yoo Jitae	Yoo Jitae
The Government of Li Keqiang	Li Keqiang Government
Seth Harris	Seth Harris
Michael David Thomas	Michael David Thomas
Radoslav Kovacs	Radoslav Kováč
Jess Sum	Jess Sum
Microsoft Word	Microsoft Word
David Willetts	David Willetts
Malayan Union	Malayan Union
Ken Chu	Ken Chu
Czech National Football Team	Czech Republic national football team
First Minister of Scotland	First Minister of Scotland
Mongol Empire	Mongol Empire
Tokugawa Yoshiyori	Tokugawa Yoshiyori
Ashikaga Yoshimitsu	Ashikaga Yoshimitsu
Leuwarden	Leeuwarden
Haarlem	Haarlem
Daur	Daur language
Flora Chan	Flora Chan
Fuchu City	Fuchū Tokyo
Jining	Jining
Gossip Candy	Gossip Candy
IOS	IOS
Universal Orlando Resort	Universal Orlando
Aung San Suu Kyi	Aung San Suu Kyi
Paul Doumer	Paul Doumer
Choi Kyuhah	Choi Kyuhah
Empress Renxiaowen	Empress Xu
Deng Yingchao	Deng Yingchao
Tim BernersLee	Tim BernersLee
Lai Shinyuan	Lai Shinyuan
Mamadou Shagao	Mamadou Sakho
California State University Sacramento	California State University Sacramento
Tongzhi Emperor	Tongzhi Emperor
Nazu Monlier	Nacho Monreal
Limbu	Limbu language
Queen Xiaoshurui	Empress Xiaoshurui
Wintonshire Government	Shire of Winton
Chavacano	Chavacano
Chinas Got Talent	Chinas Got Talent
Semeria	Sammir
Brandon Santalab	Brendon Šantalab
Axel VJohnson	Aksel V Johannesen
Aldous Huxley	Aldous Huxley
Shō Nei	Shō Nei
Campus Utopia Xuemei rush forward	Gakuen Utopia Manabi Straight
Hakan Yakin	Hakan Yakin
Zenica	Zenica
North Brabant	North Brabant
Das Erste	Das Erste
Hausa	Hausa language
ChristenDemocratisch en Vlaams	ChristenDemocratisch en Vlaams
The Pretenders	The Pretenders
Mazda Cosmo	Mazda Cosmo
Antonio Lopez	Antonio López
Flash	Flash
Lhasa Gonggar Airport	Lhasa Gonggar Airport
Giorjos Chavelas	Georgios Tzavellas
Luis Figo	Luís Figo
derry	Delhi
Camellia japonica	Camellia japonica
Danny Vukovic	Danny Vukovic
OcRoman languages	OccitanoRomance languages
Epiccurus	Epicurus
Benjamin Disraeli	Benjamin Disraeli
belize	Belize
Takatsuki	Takatsuki Osaka
Marina Stoddard Eccles	Marriner Stoddard Eccles
Clement Attlee	Clement Attlee
Jeonbuk Hyundai Motor Football Club	Jeonbuk Hyundai Motors FC
Alan Thompson	Alan Thompson
Atlantic Records	Atlantic Records
H	H
Lin Chenyi	Lin Chenyi
John Paul Stevens	John Paul Stevens
palencia	Palencia
North Sea	North Sea
Walter H Schottky	Walter H Schottky
Han Kookyoung	Han Kookyoung
Blur	Blur
Nationalist Party	Nationalist Party
Shō En	Shō En
Mary Todd	Mary Todd Lincoln
Shirley Yeung	Shirley Yeung
Loukas Vyntra	Loukas Vyntra
Republic of Genoa	Republic of Genoa
Senard Lulich	Senad Lulić
Swift	Swift
Yurico Gaspar Dutra	Eurico Gaspar Dutra
Paraná	Paraná
Bulgarian	Bulgarian language
German Chancellor	Chancellor of Germany
OS X Mountain Lion	OS X Mountain Lion
Mestizo	Mestizo
Taiwan under Japanese rule	Taiwan under Japanese rule
Monaghanshire	County Monaghan
Southampton Football Club	Southampton FC
Fairmount Township	Fairmount Township Butler County Kansas
Çandarlı Ibrahim Pasha the Younger	Çandarlı Ibrahim Pasha the Younger
Heerenveen Sports	SC Heerenveen
Wilhelm Pieck	Wilhelm Pieck
South America Libertadores Cup	Copa Libertadores
Conan OBrien	Conan OBrien
Punjabi	Punjabis
The Fast And The Furious	The Fast and the Furious
MeeGo	MeeGo
Hu Jintao	Hu Jintao
Joachim Loew	Joachim Löw
Haji Ali Razmara	Haj Ali Razmara
Nintendo2DS	Nintendo 2DS
Criciúma Esporte Clube	Criciúma Esporte Clube
Yokosuka City	Yokosuka Kanagawa
Lao Peoples Revolutionary Party	Lao Peoples Revolutionary Party
Armintore Van Fanniere	Amintore Fanfani
none	Mikan
Carlos Santana	Carlos Santana
Kristján Eldjárn	Kristján Eldjárn
Phạm Văn Trà	Phạm Văn Trà
Fyodor Mikhailovich Dostoevsky	Fyodor Dostoyevsky
Fabio Aurelio	Fábio Aurélio
Tomb Raider series	Tomb Raider
PAS Tehran FC	PAS Tehran FC
Russian Provisional Government	Russian Provisional Government
Victor Ponta	Victor Ponta
Shueisha	Shueisha
Clojure	Clojure
Malappuram	Malappuram
Mali National Football Team	Mali national football team
Tiffany Hwang	Tiffany Hwang
University of California Santa Cruz	University of California Santa Cruz
Montesquieu	Montesquieu
Left Party	Left Party
Lucrezia Borgia	Lucrezia Borgia
Swiss Premier League	Swiss Super League
Charlie and the Chocolate Factory	Charlie and the Chocolate Factory
Roberto Carlos	Roberto Carlos
Love Around	Love Around
Hitoshi Ashida	Hitoshi Ashida
Mohammad Morsi	Mohamed Morsi
Tochigi Prefecture	Tochigi Prefecture
Norodom Monile	Norodom Monineath
Susanna Kwan	Susanna Kwan
Breem Dzemaeli	Blerim Džemaili
Saint Barthelemy	Saint Barthélemy
Like a virgin	Like a Virgin
Beastie Boys	Beastie Boys
Ramón Núñez	Ramón Núñez
AC Chievo Verona	AC Chievo Verona
Central Academy of Drama	Central Academy of Drama
Emirate of Abu Dhabi	Emirate of Abu Dhabi
The Knights of Malta	Sovereign Military Order of Malta
Shandong Airlines	Shandong Airlines
Maxis	Maxis
Angels Fall First	Angels Fall First
Sergei Shoigu	Sergey Shoygu
ICAC Investigators 2009	ICAC Investigators 2009
Kazuki Ganaha	Kazuki Ganaha
Kitty Perry	Katy Perry
Pope Sylvester II	Pope Sylvester II
Cape Colony	Cape Colony
Zara Phillips	Zara Phillips
Xi County Henan	Xi County Henan
Bernard Mandeville	Bernard Mandeville
Paraguayan Primera División	Paraguayan Primera División
Nivkh	Nivkh language
Lee Seung Gi	Lee Seunggi
Charles Evans Hughes	Charles Evans Hughes
Lamborghini Gallardo	Lamborghini Gallardo
Tocharian	Tocharian languages
Hitachi	Hitachi
University of Zurich	University of Zurich
Medhi Lacen	Medhi Lacen
Uttarakhand	Uttarakhand
Du riechst so gut	Du riechst so gut
Flora Finch	Flora Finch
Massachusetts	Massachusetts
Gerald Ford	Gerald Ford
Pope Paul III	Pope Paul III
Duke of Brittany	Arthur I Duke of Brittany
FrancoProvencal	FrancoProvençal language
Ernst Kummer	Ernst Kummer
Shijiazhuang Yongchang Football Club	Shijiazhuang Ever Bright FC
Diane Feinstein	Dianne Feinstein
Carlos Adriano Sosa Cruz	Carlos Adriano de Sousa Cruz
Chinese Television System	Chinese Television System
Luigi Inodi	Luigi Einaudi
Budapest	Budapest
Mohammad Hatta	Mohammad Hatta
VIXX	VIXX
Qin Sheng	Qin Sheng
trabzonsport	Trabzonspor
Equatorial Guinea	Equatorial Guinea
Camellia	Camellia
Herbert A Simon	Herbert A Simon
Robbie Keane	Robbie Keane
Marcel Desailly	Marcel Desailly
Yeon Soo Jung	Andrew Yeom Soojung
Valdemar Pavlac	Waldemar Pawlak
Debbie Stabyner	Debbie Stabenow
Szeto Wah	Szeto Wah
Nayef Khazazi	Naif Hazazi
Communist Party of the Republic of Moldova	Party of Communists of the Republic of Moldova
Lu Zhangong	Lu Zhangong
Ninpuu Sentai Hurricaneger	Ninpuu Sentai Hurricaneger
Mario Gomez	Mario Gómez
Jay Chou	Jay
Zhang Yesui	Zhang Yesui
John Glover Roberts	John Roberts
Pasadena	Pasadena California
EA	Electronic Arts
Kitchen Nightmares	Kitchen Nightmares
Narwee New South Wales	Narwee New South Wales
Dont wanna cry	Dont Wanna Cry
China CNR Corporation	China CNR Corporation
Abdullah bin Khalifa Stadium	Abdullah bin Khalifa Stadium
John B Weller	John B Weller
Xavier Chen	Xavier Chen
Viratko Glodanoski	Vlatko Grozdanoski
Hulk	Hulk
United States Treasury Secretary	United States Secretary of the Treasury
Gelderland	Gelderland
Worcestershire	Worcestershire
Lost	Lost
Gran Telescopio Canarias	Gran Telescopio Canarias
NIFL Premiership	NIFL Premiership
Dalian Shide Football Club	Dalian Shide FC
Qantas	Qantas
AMC	AMC
General Secretary of the Central Committee of the Communist Party of Vietnam	General Secretary of the Communist Party of Vietnam
Prince Kitashirakawa Yoshihisa	Prince Kitashirakawa Yoshihisa
Evergreen Group	Evergreen Group
Prudente de Morais	Prudente de Morais
CSX Shipping	CSX Transportation
Queen Dowager Cian	Empress Dowager Cian
John Sherman	John Sherman
Elvis Presley	Elvis Presley
Maze	Maze
Assembly of the Union	Assembly of the Union
Gagauzia	Gagauzia
Malcolm Fraser	Malcolm Fraser
Napoleon III	Napoleon III
In the Zone	In the Zone
Airbus A330	Airbus A330
Gerald Gurani	Gerald Guralnik
Royal Espanyol Sports Club	RCD Espanyol
Gamla Ullevi	Gamla Ullevi
Cao Cao	Cao Cao
Canada Bay	City of Canada Bay
Suwa City	Suwa Nagano
List of Prime Ministers of Slovenia	Prime Minister of Slovenia
Mui Siuching	Mui Siuching
Democratic Party	Democratic Party
Semstin Gunartay	Şemsettin Günaltay
Herbert Blumer	Herbert Blumer
Lee Jaeryong	Lee Jaeryong
Tekoshi Yuya	Yuya Tegoshi
Gary Cahill	Gary Cahill
Australian Stadium	Stadium Australia
Fuzao	Fuzao
Vasa Dynasty	House of Vasa
CAROLS	Carols
President of the Legislative Council of Hong Kong	President of the Legislative Council of Hong Kong
Republic of Crimea	Republic of Crimea
Nightwish	Nightwish
Atsugi	Atsugi Kanagawa
Norihisa Tamura	Norihisa Tamura
Emma Goldman	Emma Goldman
Bon Voyage	Bon Voyage
I M Pei	I M Pei
Japan National Railway	Japanese National Railways
Life Made Simple	Life Made Simple
Mikael Sylvester	Mikaël Silvestre
Uffe Elbæk	Uffe Elbæk
Rudi Völler	Rudi Völler
Bastian Schweinsteiger	Bastian Schweinsteiger
Allied Military Occupation of Japan	Occupation of Japan
Franklin Charles Gimson	Franklin Charles Gimson
Parliament of the United Kingdom	Parliament of the United Kingdom
Niels Bohr	Niels Bohr
Nanzih District	Nanzih District
Tanzan Ishibashi	Tanzan Ishibashi
Georg Schwarzenbeck	HansGeorg Schwarzenbeck
Labour Party	Labour Party
Kurt Alder	Kurt Alder
Penguin Publishing Group	Penguin Books
C ♯	C Sharp
Berlin	Berlin
Boeing Commercial Airplanes	Boeing Commercial Airplanes
cameroon	Cameroon
Qing Dynasty	Qing dynasty
Carloman of Bavaria	Carloman of Bavaria
Veikkausliiga	Veikkausliiga
P3 Orion Maritime Patrol	Lockheed P3 Orion
Palm Desert	Palm Desert California
Martin Brian Mulroney	Brian Mulroney
Shinkai	Shinkai
Ludvik Swoboda	Ludvík Svoboda
Patrick Leahy	Patrick Leahy
madrid	Madrid
Aymara	Aymara language
Leon Jessen	Leon Jessen
Basque	Basque language
Agatha Barbara	Agatha Barbara
NVIDIA GeForce 700	GeForce 700 series
HTC First	HTC First
King Fushimi Miyahiro Kyou	Prince Fushimi Hiroyasu
Chromecast	Chromecast
Technische Universität München	Technische Universität München
Robert Kunz	Robert Coontz
Kamakura Shogunate	Kamakura shogunate
Ntv7	NTV7
Pat Roberts	Pat Roberts
Chen Yeongkang	Chen Yeongkang
Labour	Labour Party
Emperor of Austria	Emperor of Austria
Pope Paschal II	Pope Paschal II
Saint Paul	Saint Paul Minnesota
University of Liverpool	University of Liverpool
Diego Forlán	Diego Forlán
Oregon	Oregon
Molde FK	Molde FK
Kim Jungwoo	Kim Jungwoo
Ricardo Ezzati Andrello	Ricardo Ezzati Andrello
Dennis Zvesdic	Denis Zvizdić
Dara	Daraa Governorate
Taiwanese	Taiwanese people
Rivers Cuomo	Rivers Cuomo
Nancy Sports	AS Nancy
2014 AFC Champions League	2014 AFC Champions League
Roger Wick	Roger Wicker
Levy Woodbury	Levi Woodbury
City Football Group	City Football Group
Auckland Airport	Auckland Airport
stalbans	St Albans
Princess Marina of Greece	Princess Marina of Greece and Denmark
Brooklyn	Brooklyn
Masato	Masato
SaxonyWeimarEisenach	Grand Duchy of SaxeWeimarEisenach
city of gothenburg	Gothenburg Municipality
shropshire	Shropshire
HalfLife	HalfLife
ABBA	ABBA
Francis II Holy Roman Emperor	Francis II Holy Roman Emperor
Valencian	Valencian
Chen Show Mao	Chen Show Mao
Benjamin Bristow	Benjamin Bristow
Wang Yuchi	Wang Yuchi
Brown Eyed Girls	Brown Eyed Girls
Nilo Pesania	Nilo Peçanha
Quartzsite	Quartzsite Arizona
Berber	Berbers
Mayonaka no Shadow Boy	Mayonaka no Shadow Boy
Rainie Yang	Rainie Yang
Yao	Yao people
Chris Foy	Chris Foy
Perfume	Perfume
CTS Main Channel	CTS Main Channel
Duangu Mijan ZainerAbidin	Mizan Zainal Abidin of Terengganu
Scottish Gaelic	Scottish Gaelic
Luo Yingshay	Luo Yingshay
King of the Romanians	King of the Romanians
Mao Fumei	Mao Fumei
Vincenzo Montella	Vincenzo Montella
Singapore national football team	Singapore national football team
Shandong Sports Center Stadium	Shandong Provincial Stadium
Metz Football Club	FC Metz
Dordrecht	Dordrecht
Hans Geiger	Hans Geiger
Ivan Stepanovich Silaev	Ivan Silayev
Soraya IvandialiBhaktiari	Soraya EsfandiaryBakhtiari
Kashiwa	Kashiwa
Christopher Metzelder	Christoph Metzelder
Charles II Duke of Parma	Charles II Duke of Parma
Lafayette	Lafayette Louisiana
Bannan Line	Taipei Metro Line 5
Wilber Pan	Wilber Pan
Tim Krell	Tim Krul
Ulla Schmidt	Ulla Schmidt
Wild Charlotte	Good Charlotte
illinois	Illinois
Angela Chang	Angela Chang
Phraya Manopakorn Nititada	Phraya Manopakorn Nititada
Wang Dongxing	Wang Dongxing
Hull City Football Club	Hull City AFC
Coptic alphabet	Coptic alphabet
Ichihara	Ichihara Chiba
Arjan Robben	Arjen Robben
Chandler Ibrahim Pasha the Elder	Çandarlı Ibrahim Pasha the Elder
Plaid Cymru	Plaid Cymru
Matsushima Nanako	Nanako Matsushima
Naha City	Naha
Madhya Pradesh	Madhya Pradesh
Clark University	Clark University
Say Chhum	Say Chhum
SaxonyMeiningen	Duchy of SaxeMeiningen
Wang Zhen	Wang Zhen
Just Lov	Just Love
northern california	Northern California
Seven Years War	Seven Years War
Maebashi City	Maebashi
Lee Jungsoo	Lee Jungsoo
AbdulAziz Bouteflika	Abdelaziz Bouteflika
KEIKO	Keiko
Warsaw Uprising	Warsaw Uprising
University of Turin	University of Turin
United States Secretary of Transportation	United States Secretary of Transportation
Melbourne City Football Club	Melbourne City FC
Minutes To Midnight	Minutes to Midnight
WIND	Wind
Atlas Football Club	Club Atlas
Vasily Vasilyevich Kuznetsov	Vasili Kuznetsov
Japan Air Lines Flight 351	Japan Airlines Flight 351
McLaren Racing	McLaren
Mari	Mari language
Chiba Kazuhiko	Kazuhiko Chiba
Chen Jianbin	Chen Jianbin
Princess Leonore Duchess of Gotland	Princess Leonore Duchess of Gotland
Huang Hsinchieh	Huang Shinchieh
Empress Elisabeth of Austria	Empress Elisabeth of Austria
ECMAScript	ECMAScript
Ron Wyden	Ron Wyden
Gilan	Gilan Province
Sugiman Virjosanzoyo	Soekiman Wirjosandjojo
Philips Stadium	Philips Stadion
Phil Spector	Phil Spector
Ibaraki	Ibaraki Osaka
Su24 fighterbomber	Sukhoi Su24
NintendoDSi	Nintendo DSi
French invasion of Russia	French invasion of Russia
William Golding	William Golding
Oreille River	Pend Oreille River
Dmitry Stepanovich Polyansky	Dmitry Polyansky
Carry That Weight	Carry That Weight
Milan Susak	Milan Susak
Yugawaramachi	Yugawara
Timon Wellenreuth	Timon Wellenreuther
Vyacheslav Menzhinsky	Vyacheslav Menzhinsky
Warner Bros Television	Warner Bros Television
Rose Bowl	Rose Bowl Game
Empress Kōken	Empress Kōken
The Siren	The Siren
Nankai University	Nankai University
Itami Hyōgo	Itami Hyōgo
Kingdom of England	Kingdom of England
2014 Chinese Football Association Cup	2014 Chinese FA Cup
Show Me the Happy	Show Me the Happy
States and Territories of India	States and union territories of India
Michael Bloomberg	Michael Bloomberg
Pratt  Whitney JT9D	Pratt  Whitney JT9D
Sports Club of Rome	AS Roma
Liu Yuzhang	Liu Yuzhang
Order of Australia	Order of Australia
Liu Jian	Liu Jian
Japan Airlines Flight 123 crash	Japan Airlines Flight 123
Imagali Nulgalievich Tasmagambetov	Imangali Tasmagambetov
Urbano III	Pope Urban III
Merrimack River	Merrimack River
Animax Asia	Animax Asia
BASIC	BASIC
split	Split Croatia
Sandra Day OConnor	Sandra Day OConnor
Armenia	Armenia
Maximilian Kolbe	Maximilian Kolbe
Ged Mueller	Gerd Müller
Korea Baseball Committee	Korea Baseball Organization
Brown University	Brown University
NintendoDS	Nintendo DS
Zhang Wentian	Zhang Wentian
Cornell University	Cornell University
Jeff Merkley	Jeff Merkley
borough of Strathfield	Municipality of Strathfield
Sparta Prague Football Club	AC Sparta Prague
Vegatech Sendai	Vegalta Sendai
Shinagawa	Shinagawa
Lakhdar Brahimi	Lakhdar Brahimi
DC Comics	DC Comics
Lady Abahai	Lady Abahai
Yellow	Yellow
Lu Xinshe	Lu Xinshe
Padmé Amidala	Padmé Amidala
The Academy	The Academy
