BBC Radio 1	Bradford,HTC One V,Ruhrstadion,HTC First,DC Comics,FC Goa,Belgrade,Bob Carr,Bulgaria,Croatia,Pep Guardiola,Tomb Raider,Cao Cao,AS Roma,Brazil,FC Basel,FC Seoul,Air Canada,Maxis,Voyager 2,AC Omonia,ND Gorica,New Horizons,Belfast,So Girls,Xiaomi,Ich will,AS Nancy,The Hague,GDragon,Celeron,Ranger 2,Corsier,Bird,Belize,Clang,Nampo,Jay album,FC Metz,Nintendo DS,Ranger 6,Sendai,Busan,Budapest,Nevada,Bob Corker,Emilia Fox,Botswana,Monaco,Punjabis,RCD Mallorca,Luo Gan,Cameroon,Ron Wyden,Zhu Xi,Bill Nelson,Al Ain FC,Chandigarh,Sakhalin,Bashkirs,Gary Cahill,Pat Roberts,Nereu Ramos,Kim Ryeowook,Blake Ross,Marc Janko,Li Ruihuan,Lu Zhangong,Liu Jian,Guo Jinlong,Madrid,Berlin,Paris,TVBSAsia,Cinemax,Li Keqiang,St Albans,SS501,Fool Again,Qantas,Modula2,Xiaomi Mi 2,Cape Colony,ABBA,TRAX band,Lost season 3,Shropshire,Wind song,SimCity,H EP,Nicki Minaj,Sunny Hill,Soft rock,Americas,Alkmaar,Hitachi,Yokohama,Will Champion,Egirls,BBC One
Punjabi	Yunnan,Sendai,Gujarat,Yanan,Bulgaria,Monaco,Busan,Guangxi,Qantas,Paris,Goa,Delhi,Clang,Naha,Zenica,Croatia,Palencia,Jining,Kaká,Nevada,Suzhou,Astana,Belfast,Hebei,Yugawara,Clojure,Esbjerg,Hitachi,Cinemax,Xiaomi,Pauleta,Linux,Maebashi,Quito,Alkmaar,Sakhalin,Luo Gan,Maxis,Odawara,Zhu Xi,Shanghai,Yang Xu,Brazil,Lu Xun,Pyongyang,Berbers,Nampo,Chicken,Pakistan,Botswana,Jay album,AlQaeda,Yemen,Tigris,AWK,Tong Liya,BASIC,Armenia,Mestizo,Bird,Metz,Belize,Belgrade,Corsier,Sammir,Oregon,Lyon,McLaren,Sunny Hill,Yokohama,TVBS,AS Nancy,GNU,FC Goa,Budapest,Modula2,EXID,OpenJDK,TVBSAsia,Jahangir,WatchOS,GDragon,Camellia,VIXX,Leessang,MeeGo,Moon EP,SS501,BBC One,H EP,OneDrive,Celeron,ABBA,SimCity,Setagaya,Liu Jian,Egirls,Ranger 2,AS Roma,Punjabis
MeeGo	Metz,Maxis,Celeron,Nampo,Mestizo,FC Goa,Goa,Oregon,Delhi,Monaco,Yemen,Quito,Hebei,Clang,BASIC,GNU,AWK,Linux,Kaká,EXID,VIXX,SS501,Bird,H EP,Yanan,IOS,NTV7,Zenica,Naha,Berbers,TVBS,Sendai,Suzhou,Belize,Nevada,ABBA,SDN48,Lyon,Busan,Ovid,Madrid,Paris,Berlin,Modula2,OpenJDK,Xiaomi,Pauleta,GDragon,Egirls,Cinemax,AlQaeda,Leessang,Moon EP,McLaren,Jining,Sammir,Maebashi,Tigris,Esbjerg,Luo Gan,Zhu Xi,Armenia,Astana,Cameroon,Belfast,Yunnan,Lu Xun,FC Metz,Cao Cao,Qantas,AS Roma,Brazil,OneDrive,WatchOS,Clojure,Hitachi,SimCity,KisMyFt2,Over Load,Ranger 2,Apple A9,Nexus 6P,Heartful,Ranger 6,Chicken,Palencia,So Girls,Corsier,Americas,Setagaya,Camellia,ND Gorica,Alkmaar,Gujarat,Yang Xu,Odawara,Kashiwa,Shueisha,Bradford,MeeGo
Hu Jintao	Liu Jian,Quito,Jining,Guo Jinlong,Lu Xun,Yunnan,Pakistan,Al Ain FC,AS Roma,Qantas,Berlin,Illinois,Li Keqiang,Yanan,Luo Gan,Zhu Xi,Pauleta,Luís Figo,Hebei,Yan Xishan,Xu Xiangqian,Cao Cao,Hitachi,Marc Janko,Li Ruihuan,Zenica,Americas,H EP,So Girls,AS Nancy,Astana,Sendai,Yugawara,FC Goa,Busan,Gujarat,Armenia,AC Omonia,HTC One V,Kashiwa,Linux,SimCity,Monaco,Cinemax,Bulgaria,Shueisha,HTC First,FC Metz,Coquitlam,Shanghai,Guangxi,Mestizo,Thuringia,Hard rock,Brazil,Cantonese,Paris,Madrid,FC Seoul,Tong Liya,FC Basel,Chen Jianbin,Lu Zhangong,Nampo,Chicken,Bird,Lin Fengjiao,Run Run Shaw,AlQaeda,Sun Zhengcai,Emilia Fox,Setagaya,Socrates,Tuo Zhen,Ich will,Goa,Suzhou,Deng Yingchao,Sammir,Dai Jiaoqian,Metz,Corsier,Botswana,Yokohama,Xiaomi,Jahangir,Liu Yuzhang,Naha,Moon EP,Rolling Star,Lyon,Clang,Mauritius,Heartful,Yemen,Belize,Inuyasha,Chavacano,Air Canada,Hu Jintao
Joachim Loew	John Bercow,Donnie Yen,North Sea,Tim Krul,Harold Urey,David Stern,Jacques Demy,Ich will,Nacho Monreal,John Roberts,Mario Gómez,Corsier,Gary Locke,Tong Liya,Heath Ledger,Wang Zhen,Jack Kerouac,Chicken,Emilia Fox,Blake Ross,Rainie Yang,Socrates,Yokohama,Together When,Jahangir,Nampo,Confignon,Kashiwa,Hitachi,Over Load,Fuchū Tokyo,Xiaomi Mi 2,Soft rock,Monaco,Cameroon,Naughty Dog,Tajimi Gifu,Hans Geiger,Hard rock,José Bosingwa,Roger Wicker,Émile Borel,Niels Bohr,Victor Ponta,William Chan,Tomer Hemed,Marc Janko,Ivan Silayev,John Curtin,Patrick Leahy,Bob Corker,Jeff Merkley,Adam Smith,John B Weller,Conan OBrien,Asamoah Gyan,Qin Sheng,Ron Wyden,Rahm Emanuel,Marion Raven,Lollipop F,Tang Shaoyi,Michael Bay,Robbie Keane,Mohamed Morsi,Sammir,Bob Carr,Mao Fumei,Hu Jintao,McLaren,Cosmin Contra,John Sherman,Carl Levin,Liu Jian,FC Goa,Al Ain FC,Malcolm Fraser,Camellia,Wind song,Tuo Zhen,Katowice,Chris Brown,Yang Xu,Drake rapper,Jimmy Carter,Alianza Lima,Gold Typhoon,Guo Jinlong,Wally West,Lethbridge,Jerry Moran,Zhu Xi,Yao people,Malice Mizer,Starcamp EP,Pope Mark,Montesquieu,Forensic Heroes,Hayato Ikeda,Joachim Löw
Haji Ali Razmara	Naif Hazazi,Daisuke Sakata,Carl Valeri,Georgios Samaras,Tajimi Gifu,Padmé Amidala,Fujisawa Kanagawa,Agatha Barbara,UD Las Palmas,Alkmaar,Takasaki Gunma,Hans Geiger,Malice Mizer,Carlos Santana,Yashio Saitama,Hachinohe Aomori,Kawaguchi Saitama,Marion Raven,Dai Jiaoqian,Air Canada,Matěj Vydra,Beji Caid Essebsi,Hakan Yakin,AlQaeda,Waldemar Pawlak,AS Roma,Hayato Ikeda,Hausa language,Miloš Zeman,Marco Di Vaio,Nereu Ramos,House of Vasa,Manuel Valls,Hu Jintao,Fabien Barthez,Malcolm Fraser,Mari Kiviniemi,Fabio Capello,Haruna Kojima,Kashmiri language,Nicki Minaj,Camellia,Takuya Terada,Herbert Blumer,Nilo Peçanha,Avril Lavigne,Daur language,Mariah Carey,Yan Xishan,Harold Urey,Niels Bohr,Mario Gómez,Li Ruihuan,Jimmy Carter,David Stern,William Chan,Jimmy Bullard,Kurt Alder,Rainie Yang,Alianza Lima,Haha entertainer,Tomb Raider,Yugawara,Indiana Pacers,Odawara,Atsugi Kanagawa,Haarlem,St Albans,Liu Yuzhang,Takatsuki Osaka,Ibaraki Osaka,American Samoa,UD Salamanca,Jay album,Emilia Fox,Mini DisplayPort,Rolling Star,Eagle Airways,Hulk comics,Madagascar,Fahri Korutürk,Jahangir,Moshe Katsav,Rahm Emanuel,Andi Herzog,Ezequiel Garay,Sammir,Ivan Silayev,Milan Susak,Levi Woodbury,Denis Zvizdić,Victor Ponta,Giannis Maniatis,Samuel Alito,Anwar Sadat,Al Ain FC,Luigi Einaudi,JeanPaul Sartre,Patrick Leahy,Haj Ali Razmara
Nintendo2DS	Nintendo DS,Nintendo DSi,Cinemax,OpenJDK,Ranger 2,Wind song,Sendai,Jining,Montesquieu,Niels Bohr,Lin Fengjiao,KisMyFt2,OneDrive,Xiaomi,WatchOS,Cantonese,MeeGo,IPhone 5S,Nexus 6P,LibreOffice,Hitachi,Linux,Celeron,Nightwish,Ranger 6,AlQaeda,Qin Sheng,Nicki Minaj,Wilber Pan,North Sea,Zenica,Soft rock,Sven Bender,Nampo,Chicken,Yanan,Oregon,Bird,Qantas,Victor Ponta,Nevada,Astana,Émile Borel,Blake Ross,Confignon,Armenia,Ron Wyden,Palencia,Monaco,Yunnan,Yemen,Cameroon,Rainie Yang,Mestizo,Valencian,Quito,Akhenaten,SimCity,Xiaomi Mi 2,Nexus 7 2012,FC Seoul,TVBS,Modula2,Mazda Cosmo,Illinois,HTC One V,IOS,Apple A9,EXID,Apple Watch,NTV7,Chrome OS,Li Keqiang,Sunny Hill,Clang,Moon EP,FC Goa,Naughty Dog,Lollipop F,Over Load,Fuchū Tokyo,GDragon,McLaren,Leessang,Heartful,Shueisha,ND Gorica,Camellia,BBC One,Lost season 3,Penguin Books,Donnie Yen,Pauleta,Voyager 2,Santander Spain,Americas,Boeing 747,Inuyasha,Goa,Nintendo 2DS
Yokosuka City	Ordos City,Yokohama,Salt Lake City,Toyota Aichi,Yūko Obuchi,Yokohama Station,SimCity,Gossip Candy,Niklaus Wirth,Edogawa Tokyo,Yugawara,Takasaki Gunma,Takatsuki Osaka,Ichihara Chiba,Yōko Kamikawa,Ho Chi Minh City,Stoke City FC,Daisuke Sakata,Kazuhiko Chiba,Sakhalin,Gujarat,Budapest,Ruhrstadion,Quito,Worcester City FC,Lekhwiya SC,Croatia,Liu Jian,Corsier,Hakan Yakin,Alianza Lima,Cosmin Contra,Xiaomi Mi 2,Pakistan,Bashkirs,Tong Liya,Zhu Xi,Modula2,Fool Again,Botswana,Samuel Alito,Cao Cao,Chris Weitz,Flora Finch,Moon EP,Harold Urey,Luís Figo,Jacques Demy,Bob Carr,Dont Wanna Cry,Chromecast,Yashio Saitama,Kashiwa,Sendai,Tajimi Gifu,Maebashi,Busan,Inuyasha,Hitachi,Leessang,Haruna Kojima,Sammir,Rensuke Isogai,Katowice,Brooklyn,Takuya Terada,Astana,Kuniaki Koiso,Luo Gan,Yanan,Mongol Empire,West Java,Sunny Hill,Mazda Cosmo,Dordrecht,Pyongyang,North Sea,Zhongshan,Colorado Rapids,Belfast,AS Nancy,Good Charlotte,Worcestershire,Ledley King,Pauleta,Ronan Keating,Coquitlam,Alkmaar,Yunnan,North Carolina,Goa,Warwickshire,Southern Tang,Monaco,So Girls,Conan OBrien,Clojure,French Navy,Rolling Star,Yokosuka Kanagawa
Lao Peoples Revolutionary Party	National Revolutionary Army,New Zealand Labour Party,Lafayette Louisiana,Nationalist Party Malta,Lu Wei politician,Japanese National Railways,Los Angeles Clippers,Seven Years War,Cape Colony,Samuel L Southard,Carlos Duke of Parma,Party of Regions,Yao people,Ho Chi Minh City,An Lushan Rebellion,Yellow Coldplay song,Şemsettin Günaltay,Norodom Monineath,Little Rock Arkansas,Taipei Metro Line 5,Haj Ali Razmara,Notre Dame de Paris,Angels Fall First,Leiden University,Fyodor Dostoyevsky,Battle Fever J,Electronic Arts,Pope John XXI,Cornell University,San Jose State University,Prince Nikolai of Denmark,Pope Callixtus III,Pope Innocent VII,Out Works  Collaboration Best,Windows Photo Gallery,Adiel de Oliveira Amorim,Pope Leo IX,Adobe Flash Player,Labour Party Hong Kong,Party of Labour of Albania,National Front France,The Republicans France,Republic of Korea Navy,Collectivity of Saint Martin,Li Keqiang Government,Kara South Korean band,Occupation of Japan,John Eaton politician,Kamakura shogunate,Emperor Ruizong of Tang,Chancellor of Germany,The Rolling Stones,Georges Pompidou,Warner Bros Television,Napoleon III,Nacho Monreal,Lamborghini Gallardo,Lee Seunggi,Daraa Governorate,Pep Guardiola,Dont Wanna Cry,Lockheed P3 Orion,Banastre Tarleton,University of Notre Dame,The Bourne Ultimatum,Timon Wellenreuther,Split Croatia,City of Canada Bay,Georgios Samaras,Northwest Territories,Levi Woodbury,Rolling Star,Northrop Corporation,Waldemar Pawlak,Marcel Desailly,Sony Pictures Animation,Guy de Maupassant,Vyacheslav Menzhinsky,Philadelphia 76ers,Robert Coontz,Pascoal Ranieri Mazzilli,Pope Pius IX,Maria GoeppertMayer,The Chronicles of Narnia,Carl Levin,Brandeis University,Prudente de Morais,Madonna entertainer,North Carolina,Tokyo Disneyland,Salt Lake City,Katy Perry,Pope Sixtus V,Ledley King,Worcester City FC,LaurentDésiré Kabila,Pope Stephen I,Pope Mark,Palm Desert California,Lao Peoples Revolutionary Party
Armintore Van Fanniere	Indonesian language,Sean Connery,Aymara language,Victor Ponta,Aksel V Johannesen,Herman Van Rompuy,Brendon Šantalab,Air Canada,Stefan Effenberg,Bernard Mandeville,Dmitry Polyansky,George Papandreou,Sandra Day OConnor,Dont Wanna Cry,Cristiano Zanetti,FrancoProvençal language,Armen Sargsyan,Tigrinya language,TibetoBurman languages,Romansh language,Akkadian language,Bulgarian language,Bosnian language,Equatorial Guinea,American Samoa,Stanford University,UtoAztecan languages,Cantonese,JeanPaul Sartre,Marion Raven,Clement Attlee,Agatha Barbara,Sven Bender,Flora Finch,Montgomery Blair,Ander Herrera,AlNusra Front,Carl Valeri,Conan OBrien,Drake rapper,Otto Weininger,Carlos Santana,Rainie Yang,Avril Lavigne,Madonna entertainer,Anton Chekhov,Banastre Tarleton,Saint Paul Minnesota,Stephen Hawking,Angels Fall First,GNU Core Utilities,Khmer Empire,Southern Tang,Armenia,Hungarian forint,Windows Photo Gallery,AMC TV channel,Basque language,Alianza Lima,Ahmad Shah Bahadur,Limbu language,Prudente de Morais,Ali Abdullah Saleh,Anwar Sadat,Windows Phone,Stefan Löfven,Christoph Metzelder,Fabien Barthez,Kushan Empire,Game Center,Saint Barthélemy,Pietro Badoglio,Azerbaijanis,Giannis Maniatis,Mongol Empire,George Grenville,Angela Merkel,Arabic alphabet,Celtic languages,Arjen Robben,Daur language,Giordano Bruno,Iron Man,Gilan Province,Adobe Flash Player,Tocharian languages,Aramaic alphabet,Qiangic languages,Dutch East Indies,Indiana Pacers,Rise of Nations,Timon Wellenreuther,Nivkh language,Kashmiri language,GeForce 700 series,Nintendo DSi,GeForce 400 series,Atromitos FC,Tibetic languages,Amintore Fanfani
Carlos Santana	Yashio Saitama,Carl Valeri,Marion Raven,Carl Levin,Croatia,Air Canada,Chris Brown,Taylor Swift,Victor Ponta,Chris Weitz,Marc Janko,Cosmin Contra,Brendon Šantalab,Carson California,Miloš Zeman,Paraná state,Nilo Peçanha,Daisuke Sakata,Cao Cao,Marco Di Vaio,Ordos City,Pakistan,Astana,Georgios Samaras,Kazuma Watanabe,Iron Man,Chromecast,Dave Mustaine,Mario Gómez,Pauleta,Club Atlas,David Stern,Jerry Moran,Nacho Monreal,Gary Cahill,Rolling Star,Chavacano,Ched Evans,Fabio Capello,UD Salamanca,Jules Bianchi,Angelo Ogbonna,Anwar Sadat,Hakan Yakin,Naif Hazazi,Haruna Kojima,Basque language,Park Jungmin,Rainie Yang,Agatha Barbara,Alan Sheehan,Hausa language,Takuya Terada,Milan Susak,Avril Lavigne,Jeremy Bentham,Cathay Pacific,Philips Stadion,Giannis Maniatis,Fabien Barthez,North Sea,Mariah Carey,Cape Colony,Padmé Amidala,Daur language,Yōko Kamikawa,Palencia,UD Las Palmas,Botswana,Yuan Shanshan,Yanan,Valencian,Luo Gan,Vegalta Sendai,Mamadou Sakho,Apple Watch,Zhang Wentian,Wally West,Gordon Sprigg,Yan Xishan,Eagle Airways,Confignon,Haj Ali Razmara,Clang,Game Center,Chen Jianbin,Guo Jinlong,North Brabant,Hu Jintao,Armen Sargsyan,Qantas,North Carolina,Kawaguchi Saitama,Atsugi Kanagawa,Suwa Nagano,Amintore Fanfani,Shire of Winton,Ibaraki Osaka,English language,Carlos Santana
Fyodor Mikhailovich Dostoevsky	Ho Chi Minh City,Mikaël Silvestre,Forensic Heroes,Good Charlotte,Vyacheslav Menzhinsky,Prince Nikolai of Denmark,Lord William Bentinck,Savo Milošević,John Paul Stevens,Red Hot Chili Peppers,Roberto Carlos footballer,Syrian Armed Forces,French Polynesia,Solar Dynamics Observatory,Foxborough Massachusetts,Todor Burmov,Gonchigiin Bumtsend,Radoslav Kováč,Anders Fogh Rasmussen,Francesco Cossiga,Abdelaziz Bouteflika,Mariah Carey,Prince Fushimi Hiroyasu,Norodom Monineath,Beji Caid Essebsi,The Rolling Stones,Tom Hiddleston,Edward Livingston,Christoph Metzelder,Electronic Arts,Roman Sharonov,Prime Minister of Yemen,Star Mika Nakashima album,The Magicians Nephew,Michael Bloomberg,Francesco Totti,Order of Australia,Francesco Toldo,Malice Mizer,Michael Bay,Colorado Rapids,Michael Sheen,Kim Jiwon actress,Windows Photo Gallery,Anton Chekhov,GNU Core Utilities,Dmitry Polyansky,French Navy,Giordano Bruno,Georgios Tzavellas,Slobodan Rajković,Benjamin Disraeli,Emperor Ruizong of Tang,Thomas Hobbes,Andrew Yeom Soojung,Ashikaga Yoshimitsu,Bernard Mandeville,John Archibald Wheeler,Deportivo de La Coruña,Patrick Leahy,Édith Cresson,Pope Callixtus III,Soekiman Wirjosandjojo,Bastian Schweinsteiger,Marcel Desailly,Pier Luigi Bersani,Fahri Korutürk,Nikola Petković,Carlos Adriano de Sousa Cruz,Kuniaki Koiso,William Des Vœux,RCD Mallorca,Du riechst so gut,Los Angeles Clippers,Marco Di Vaio,Georgios Samaras,Portia SimpsonMiller,Patrick Kisnorbo,Karaiskakis Stadium,Robert Trivers,Lamborghini Gallardo,Miloš Zeman,Luis Guillermo Solís,Mari Kiviniemi,Mohamed Morsi,Brian Mulroney,Levi Woodbury,Warner Bros Television,John Eaton politician,Rose Bowl stadium,Fabien Barthez,William Adams Richardson,Fábio Aurélio,Hachinohe Aomori,Pedro Pires,Atlantic Records,Vincenzo Montella,Roger Wicker,Merrimack River,Fyodor Dostoyevsky
Fabio Aurelio	Fabio Capello,Mao Fumei,Marco Di Vaio,Mario Gómez,Fabien Barthez,Carl Valeri,Pedro Pires,Elvis Presley,Samuel Alito,Tim Krul,Émile Borel,Nacho Monreal,Carl Levin,John Curtin,Naif Hazazi,Senad Lulić,Cao Cao,David Stern,Clojure,Marion Raven,Patty Murray,Stadium Australia,Mariah Carey,Park Jungmin,Fool Again,Eagle Airways,So Girls,Yao people,Ricardo Carvalho,Todor Burmov,Bob Corker,Andi Herzog,Gary Cahill,Pietro Badoglio,Bob Carr,Phil Spector,FC Basel,Marc Janko,Ahmed Ouyahia,Will Arnett,Jack Kerouac,Dave Mustaine,Bill Nelson,Pauleta,Harold Urey,Kurt Alder,Robbie Keane,Casey Affleck,Savo Milošević,Gerald Guralnik,Katy Perry,Fahri Korutürk,Jeff Merkley,Chris Brown,Denis Zvizdić,Qin Sheng,Édith Cresson,Yūko Obuchi,Pat Roberts,Hayato Ikeda,Flea musician,Chris Weitz,Hakan Yakin,Tang Shaoyi,Liu Yuzhang,Padmé Amidala,Camellia,Zara Phillips,Club Atlas,Yang Xu,Dai Jiaoqian,Li Ruihuan,Malice Mizer,Tigris,Tuo Zhen,Lin Fengjiao,Mazda Cosmo,Epicurus,Kim Hyungil,Seth Harris,Wang Zhen,FC Metz,Egirls,Coquitlam,Split Croatia,Túpac Huallpa,Modula2,North Carolina,Hebei,Dordrecht,Armenia,Fuchū Tokyo,Wally West,Katowice,Haarlem,Yashio Saitama,Sakhalin,Mauritius,Leandro Guaita,Fábio Aurélio
Tomb Raider series	Tomer Hemed,Forensic Heroes,GeForce 700 series,GeForce 400 series,Copa Libertadores,Tim BernersLee,Tom Hiddleston,Robbie Keane,The Pretenders,The Siren song,Todor Burmov,Conan OBrien,Bob Carr,Bob Corker,Colorado Rapids,Santander Spain,Robert Trivers,Ander Herrera,Notre Dame de Paris,Together When,Seth Harris,John Roberts,Beji Caid Essebsi,Émile Borel,Inha University,Thomas Vermaelen,Brown University,Thomas Hobbes,Star Wars,Game Center,Ranger 2,Khmer Empire,Ranger 6,Brown Eyed Girls,Dont Wanna Cry,The Rolling Stones,Donnie Yen,Toumba Stadium,Voyager 2,So Girls,Takuya Terada,Taylor Swift,Tigris,Carl Valeri,Mohamed Morsi,Tongzhi Emperor,Gordon Sprigg,Fabien Barthez,Kim Jiwon actress,Berbers,Dutch East Indies,Jimmy Carter,Wuhan University,Pat Roberts,John B Weller,Roger Wicker,Corsier,Montesquieu,Salt Lake City,Pedro Pires,Angela Merkel,John Paul Stevens,Clark University,Worcestershire,Tulane University,Newark New Jersey,Lost season 3,Surface Pro 2,Malice Mizer,The Magicians Nephew,TRAX band,Rose Bowl Game,Heath Ledger,Drake rapper,Syrian Armed Forces,Good Charlotte,Rose Bowl stadium,Montgomery Blair,HTC First,Swiss Super League,China Railways CRH3,Tocharian languages,Love So Sweet,Blake Ross,PFC Litex Lovech,Bashkirs,Scuderia Ferrari,Indiana Pacers,David Stern,Lima footballer,Toyota Aichi,Body Feels Exit,Hungarian forint,Tianhe Stadium,Robert Coontz,Katy Perry,Rainie Yang,Wilber Pan,Lockheed P3 Orion,Tomb Raider
Russian Provisional Government	Li Keqiang Government,Daraa Governorate,Hungarian forint,Belgian Pro League,Shandong Provincial Stadium,Gilan Province,Syrian Armed Forces,Prime Minister of Yemen,Chancellor of Germany,Rose Bowl Game,FrancoProvençal language,Queen Noor of Jordan,Equatorial Guinea,Bastian Schweinsteiger,Marion Raven,Albanian Armed Forces,Latvian Higher League,Japanese National Railways,Kushan Empire,Prince Nikolai of Denmark,Roman Sharonov,Music Madonna album,University of Jena,Alexandre Millerand,John Paul Stevens,Pier Luigi Bersani,Portia SimpsonMiller,Brian Mulroney,Redwood City California,Juan Antonio Samaranch,Lhasa Gonggar Airport,Wuhan University,Kim Jiwon actress,Brian Wilson,Radoslav Kováč,Mountain View California,Gustav Ludwig Hertz,Carson California,Brandeis University,Mini DisplayPort,Ingrid Bergman,Mario Gómez,Microsoft Word,John Archibald Wheeler,Serbia national football team,House of Hohenzollern,National Revolutionary Army,Occupation of Japan,Republic of Crimea,Warsaw Uprising,List of Portuguese monarchs,Swiss Federal Council,Republic of Genoa,Bulgarian language,Kara South Korean band,Bosnian language,Prime Minister of Slovenia,List of counties in Arizona,Indonesian language,An Lushan Rebellion,City Football Group,Labour Party Hong Kong,National Front France,San Antonio Spurs,Mali national football team,Rose Bowl stadium,Lima footballer,Lu Wei politician,University of Liverpool,William Windom,201314 Premier League,Henri Brisson,University of Florence,Aleksandr Kokorin,Boeing Commercial Airplanes,Forensic Heroes,University of Portland,Indian Super League,John Sherman,University of Turin,Indiana Pacers,Like a Virgin song,Emperor Ruizong of Tang,Gonchigiin Bumtsend,Herman Van Rompuy,Lamborghini Gallardo,Warner Bros Television,The Rolling Stones,Asamoah Gyan,Cristiano Zanetti,Gakuen Utopia Manabi Straight,Love So Sweet,Duchy of SaxeMeiningen,Cosmin Contra,Copa Libertadores,Nankai University,Madonna entertainer,Khabarovsk Krai,Fukui Prefecture,Russian Provisional Government
Victor Ponta	Wilber Pan,Nilo Peçanha,Cosmin Contra,Nacho Monreal,Wind song,Nicki Minaj,Air Canada,Windows Phone,Pedro Pires,Miloš Zeman,Matěj Vydra,Vincenzo Montella,Luo Gan,Bert T Combs,Robert Coontz,Carlos Santana,Hu Jintao,Niels Bohr,Hayato Ikeda,AC Omonia,Will Arnett,McLaren,Peter Crouch,Flora Finch,Taylor Swift,AlNusra Front,FC Goa,North Sea,ND Gorica,Armenia,GDragon,Ordos City,Cameroon,Celeron,Astana,Katy Perry,Soft rock,Croatia,West Java,Oregon,Iron Man,Over Load,New Horizons,Fuchū Tokyo,Botswana,Amintore Fanfani,Star Wars,Nintendo DS,AS Roma,Émile Borel,Leandro Guaita,Angelo Ogbonna,Marc Janko,Todor Burmov,Gary Locke,Rivers Cuomo,Bob Corker,Jerry Moran,Pauleta,Bill Nelson,Pat Roberts,Tim Krul,Donnie Yen,Mario Gómez,Thomas Pledl,Angus Young,Cao Cao,Bob Carr,Ledley King,Milan Susak,Gerald Ford,Anwar Sadat,Daisuke Sakata,Tomer Hemed,Samuel Alito,Zhang Wentian,Jeremy Bentham,Adam Smith,Mao Fumei,Niklaus Wirth,Jimmy Carter,Rainie Yang,Michael Bay,Chris Weitz,Kurt Alder,Jack Kerouac,Lu Zhangong,Liu Jian,AS Nancy,Tuo Zhen,Guo Jinlong,Vegalta Sendai,Haruna Kojima,Bird,Corsier,Socrates,Marion Raven,Blake Ross,Setagaya,Victor Ponta
Shueisha	Inuyasha,Zhongshan,Thuringia,Kashiwa,Maebashi,Shanghai,Setagaya,Sendai,Nightwish,Naha,Busan,SimCity,Camellia,Maxis,Yan Xishan,Sammir,Suzhou,So Girls,TVBSAsia,Pauleta,Hebei,Zenica,Zhu Xi,Pakistan,Quito,Delhi,Tigris,Nevada,Palencia,Armenia,Shropshire,Hitachi,Leessang,Odawara,Yugawara,Paris,Yokohama,AlQaeda,SDN48,Luo Gan,Egirls,SS501,FC Goa,Celeron,Cinemax,Tuo Zhen,Guangxi,Liu Jian,Corsier,Qantas,Hu Jintao,Sakhalin,Jining,Ich will,Astana,Ovid,Oregon,Mestizo,Lu Xun,MeeGo,Linux,Yunnan,Americas,Belfast,Coquitlam,Bulgaria,Bird,Chicken,Gujarat,Socrates,OpenJDK,Metz,Croatia,Goa,Yemen,Cameroon,Belize,Valencian,Botswana,Berbers,Mauritius,AS Roma,Berlin,Madrid,Brazil,EXID,TVBS,Avex Trax,BBC One,Li Ruihuan,Kaká,Heartful,Oppa Oppa,Xiaomi,KisMyFt2,FC Basel,Wang Zhen,Lethbridge,NTV7,Shueisha
Clojure	Clang,Corsier,Esbjerg,Croatia,Cao Cao,Modula2,Linux,Celeron,Bird,Cinemax,Epicurus,Alkmaar,AlQaeda,Sammir,Moon EP,Chicken,Luo Gan,McLaren,Berbers,Tuo Zhen,Belgrade,Gujarat,Katowice,Lyon,Goa,BBC One,Monaco,Mao Fumei,Odawara,Lu Xun,Belize,Cantonese,AWK,EXID,OpenJDK,MeeGo,WatchOS,BASIC,SimCity,VIXX,OneDrive,GNU,Kaká,Camellia,Nampo,Chrome OS,So Girls,Maxis,Mestizo,Xiaomi,NTV7,H EP,Egirls,Tim Krul,SS501,GDragon,Palencia,Coquitlam,Zenica,Pauleta,Bashkirs,FC Goa,IOS,Hitachi,Ovid,Dordrecht,Suzhou,Yugawara,TVBS,Ranger 2,Yanan,Armenia,Jining,Zhu Xi,Punjabis,Tigris,Quito,Oregon,Bulgaria,Yunnan,Delhi,Ranger 6,Metz,ABBA,Brooklyn,FC Metz,Shropshire,Hebei,Busan,SDN48,Astana,Nevada,Yokohama,Guangxi,Bob Carr,Socrates,Belfast,Sendai,Kashiwa,Clojure
