Abdullah Gul	Abdullah Gül
Marlon Jingzhi	Marlon King
AustroHungary	AustriaHungary
2014 Asian Games	2014 Asian Games
Samuel Osgood	Samuel Osgood
Uyghur	Uyghurs
Makino Tomoaki	Tomoaki Makino
Teledifusão de Macau S A	TDM
Kuibyshev Reservoir	Kuybyshev Reservoir
Orhan Ghazi	Orhan of the Ottoman Empire
heavy metal	Heavy metal music
University of Toronto	University of Toronto
Gunnar Thorodesen	Gunnar Thoroddsen
Jess Lee Kar Wei	Jess Lee
Premier of the State Council of the Peoples Republic of China	Premier of the Peoples Republic of China
Bangkok	Bangkok
Wang Zhaoguo	Wang Zhaoguo
wyoming	Wyoming
UnrealEngine	Unreal Engine
The Pet Girl of Sakurasou	The Pet Girl of Sakurasou
Duran Duran	Duran Duran
Luiz Adriano	Luiz Adriano
nor	Nord
Emperor Wei Xiaowen	Emperor Xiaowen of Northern Wei
Pope Felix I	Pope Felix I
China Womens National Football Team	China womens national football team
Real Mallorca Athletic	RCD Mallorca
KATTUN	KATTUN
Trey Cool	Tré Cool
Jodie Foster	Jodie Foster
Amerika	Amerika
F4	F4
Fort Pierce	Fort Pierce Florida
Benhua Mandelbrot	Benoit Mandelbrot
Lyman Spitzer	Lyman Spitzer
Elva Hsiao	Elva Hsiao
Yi Bangja	Yi Bangja
CSKA Moscow	PFC CSKA Moscow
Miyazawa Sae	Sae Miyazawa
Kiyoura Keigo	Kiyoura Keigo
KAI T50 Golden Eagle	Sukhoi PAK FA
IPad	IPad
Kingdom of Bulgaria	Kingdom of Bulgaria
Micronesian	Micronesian languages
Jaya Bakhan	Jaya Bachchan
Ildefons Lima	Ildefons Lima
HTC One Mini 2	HTC One Mini 2
John Corning	John Cornyn
Junkie XL	Junkie XL
Hurricane Gordon	Hurricane Gordon
Roman Pavlyuchenko	Roman Pavlyuchenko
Louis St Laurent	Louis St Laurent
Maurice of Nassau	Maurice Prince of Orange
Horace Lamb	Horace Lamb
Lau Gar Ho	Lau Karho
Xu Xiangqian	Xu Xiangqian
Ramiro Funes Mori	Ramiro Funes Mori
Administrative Divisions of Tennessee	List of counties in Tennessee
Bii	Bii
LatinoFaliscan languages	LatinoFaliscan languages
Philip II of Spain	Philip II of Spain
Doug Rivers	Doc Rivers
TIME	Time
Lee Tenghui	Lee Tenghui
Li Ka Shing Faculty of Medicine The University of Hong Kong	Li Ka Shing Faculty of Medicine
Zilina Football Club	MŠK Žilina
Ranger 8	Ranger 8
Baso Minangkabau	Minangkabau language
A Great Way to Care	A Great Way to Care
Numerian	Numerian
RhaetoRomance languages	RhaetoRomance languages
Esbjerg United Football Club	Esbjerg fB
Wales	Wales
HTC First	HTC First
Chiang Pinkung	Chiang Pinkung
Wang Guoming	Wang Guoming
Fujisawa City	Fujisawa Kanagawa
British Virgin Islands	British Virgin Islands
Tsubasa	Tsubasa
Grant County	Grant County Washington
Sham Shui Po SA	Sham Shui Po SA
Northern Han	Northern Han
Battle of Bunker Hill	Battle of Bunker Hill
Zhang Jizhong	Zhang Jizhong
missouri	Missouri
Yu Zhengsheng	Yu Zhengsheng
Lotus	Lotus
City of Willoughby	City of Willoughby
Mohun Bagan AC	Mohun Bagan AC
Park Yejin	Park Yejin
Ranger 5	Ranger 5
University of Westminster	University of Westminster
Olusegun Obasanjo	Olusegun Obasanjo
Republic of China	Republic of China
Kenneth Ma	Kenneth Ma
Erich Honecker	Erich Honecker
Michael Suen	Michael Suen
Hu Xia	Hu Xia
France Perkins	Frances Perkins
University of Science and Technology of China	University of Science and Technology of China
Shane Stefanutto	Shane Stefanutto
XNA Game Studio Express	Microsoft XNA
Fire Ambition 3	Burning Flame III
Laurent Koscielny	Laurent Koscielny
Akira Yamaoka	Akira Yamaoka
Nayef bin AbdulAziz alSaud	Nayef bin AbdulAziz Al Saud
LouisElisabeth	Louise Élisabeth of France
Choulex	Choulex
KhmerKhmer alphabet	Khmer alphabet
Mansi	Mansi language
Benito Mussolini	Benito Mussolini
Choushinsei Flashman	Choushinsei Flashman
Stay by my side	Stay by My Side
Juan Manuel Santos	Juan Manuel Santos
Prince Michael	Prince Michael of Kent
Richard Burton	Richard Burton
Nicolas IV	Pope Nicholas IV
German Chancellor	Chancellor of Germany
Hunan University	Hunan University
Ryoichi Maeda	Ryoichi Maeda
Nguyen Minh Chay	Nguyễn Minh Triết
Nicholas Fitzgerald	Nick Fitzgerald
William Howe  5th Viscount Howe	William Howe 5th Viscount Howe
Victor Moses	Victor Moses
Media Go	Media Go
Pashtun	Pashtuns
Blood Devourer	Strike the Blood
Chung Kingfai	Chung Kingfai
Ergun	Argun River
30 Rock	30 Rock
Marek Matejowski	Marek Matějovský
Kofu	Kōfu
William John Duane	William J Duane
Henrik Ibsen	Henrik Ibsen
Victor Zubkov	Viktor Zubkov
Princess Marina of Greece	Princess Marina of Greece and Denmark
Nouri alMaliki	Nouri alMaliki
Daniel Forlander	Daniel Vorländer
Meng Jianzhu	Meng Jianzhu
XMen	XMen
Air Transat Flight 236 Accident	Air Transat Flight 236
Ranger 4	Ranger 4
Catholic Diocese of Hexham  Newcastle	Roman Catholic Diocese of Hexham and Newcastle
University of Padova	University of Padua
vampire detective	Vampire Detective
Sicilian	Sicilian language
Alvaro Uribe Velez	Álvaro Uribe
Korea Baseball Committee	Korea Baseball Organization
vatican	Vatican City
Frederik Sørensen	Frederik Sørensen
Braveheart	Braveheart
Piedmont	Piedmont
Love the world	Love the World
Changshou Yangtze River Bridge	Changshou Yangtze River Bridge
Carlos Luz	Carlos Luz
Dont Don	Dont Don
Aleppo Governorate	Aleppo Governorate
George V	George V
Minangjiabaoren	Minangkabau people
Carloman of Bavaria	Carloman of Bavaria
Ozzie Osborne	Ozzy Osbourne
Jin Junsu	Kim Junsu
Windsor	Windsor Berkshire
Leung Tsz Chun	Leung Tsz Chun
Phagspa	Phagspa script
nairobi	Nairobi
Jacques Chirac	Jacques Chirac
Haryana	Haryana
WilhelmAlexander	WillemAlexander of the Netherlands
Superman	Superman
Hong Kong Group C	Hong Kong Third A Division League
Roman Empire	Roman Empire
Atahualpa	Atahualpa
Marcelo Carrusca	Marcelo Carrusca
tennessee	Tennessee
Timothy Pickering	Timothy Pickering
Mikhail Mikhailovich Kasyanov	Mikhail Kasyanov
Cesar Azpilicueta	César Azpilicueta
Cheung Kin Fung	Cheung Kin Fung
Prince Jaime Bernardo of BourbonParma	Prince Jaime Count of Bardi
Suwa City	Suwa Nagano
Auckland Airport	Auckland Airport
Kenix Kwok	Kenix Kwok
IPod touch 5	IPod Touch
Bronx	The Bronx
Hina Rabbani Hale	Hina Rabbani Khar
Brooklyn	Brooklyn
Queens University at Kingston	Queens University
Grigor Mgaloblishvili	Grigol Mgaloblishvili
Kim Songyong	Kim SongYong
Roberto Carlos	Roberto Carlos
Maori	Māori language
Rolling Stones	The Rolling Stones
Lucas Biglia	Lucas Biglia
Bohemian Rhapsody	Bohemian Rhapsody
Mark Rutte	Mark Rutte
Cody	Cody Wyoming
Oromo	Oromo language
Li Yapeng	Li Yapeng
Jetro Williams	Jetro Willems
borneo	Borneo
IU	IU
Qantas flight 32 accident	Qantas Flight 32
Airbus A330	Airbus A330
ChuHan War	ChuHan Contention
Uzbekistan	Uzbekistan
Lauda Airlines	Lauda Air
Keiko Hirono	Mazie Hirono
paraguay	Paraguay
David Perdue	David Perdue
ML language	ML
Victor Cavendish 9th Duke of Devonshire	Victor Cavendish 9th Duke of Devonshire
Mozilla Corporation	Mozilla Corporation
Trần Dụ Tông	Trần Dụ Tông
Ukrainian Premier League	Ukrainian Premier League
Maria Vladimirovna	Maria Vladimirovna Grand Duchess of Russia
John Barrasso	John Barrasso
Shenzhou IX	Shenzhou 9
Order of the Garter	Order of the Garter
Brigitte Lin	Brigitte Lin
Workable Football Club	Workable FC
William Gladstone	William Ewart Gladstone
Kawanehon	Kawanehon
SeeSaw	SeeSaw
Ministry of Industry and Information Technology	Ministry of Industry and Information Technology
Hippolyto II Este	Ippolito II dEste
Windows Server 2003	Windows Server 2003
Emperor Entertainment	Emperor Entertainment Group
Nish	Niš
Ailee	Ailee
Singapore Airlines	Singapore Airlines
Drums and Bass	Drum and bass
Xiao Xun	Xiao Xun
Medellín	Medellín Spain
Bulgarian	Bulgarian language
Laramie	Laramie Wyoming
Joseph Desha	Joseph Desha
Adnan Januzaj	Adnan Januzaj
Do As Infinity	Do As Infinity
MinamiAlps	MinamiAlps Yamanashi
none	Mikan
Tang Shaoyi	Tang Shaoyi
Aurelio	Aurelius of Asturias
Abdullah alThani	Abdullah alThani
Los Angeles International Airport	Los Angeles International Airport
Su Yu	Su Yu
Colin Trevorrow	Colin Trevorrow
Nicholas of Kusa	Nicholas of Cusa
Ahmad Zahid Hamidi	Ahmad Zahid Hamidi
Leiden	Leiden
Nine Years War	Nine Years War
Belgium national under21 football team	Belgium national under21 football team
Philips Stadium	Philips Stadion
Love Dream	Dream of Love
Confessions on a Dance Floor	Confessions on a Dance Floor
Durham	Durham North Carolina
Delft	Delft
Lavrenti Pavlovich Beria	Lavrentiy Beria
Austrian German	Austrian German
Carol II	Carol II of Romania
Beep Sunshine Sunshine	Beep
Emanuel Levinas	Emmanuel Levinas
Mr Taxi Run Devil Run	Mr Taxi
Sistema Central	Sistema Central
Paul Simon	Paul Simon
Genz Arpad	Árpád Göncz
Croatian Football League	Croatian First Football League
Ateneo de Manila University	Ateneo de Manila University
Crisis Core	Crisis Core
Pope Hormisdas	Pope Hormisdas
Gijón	Gijón
Sven Bender	Sven Bender
Russia national under‑21 football team	Russia national under21 football team
Dragon Ash	Dragon Ash
2PM	2PM
Leon Lai	Leon Lai
Medinacelli	Medinaceli
Airbus A300	Airbus A300
Cebuano	Cebuano language
Eddie Francis	Eddy Francis
Dundee United FC	Dundee United FC
Toyota City	Toyota Aichi
Khalil Fong	Khalil Fong
Jin	Jin Chinese
Dish Network	Dish Network
HTC One Max	HTC One Max
Vitória SC	Vitória SC
Bulent Ecevit	Bülent Ecevit
Chivas USA	Chivas USA
Cao Huan	Cao Huan
Working Peoples Progressive Party	Progressive Party of Working People
cali	Cali
Maltese	Maltese language
Persian Gulf Pro League	Persian Gulf Pro League
UVERworld	Uverworld
Ich tu dir weh	Ich tu dir weh
Samsung Galaxy S4	Samsung Galaxy S4
Malta	Malta
Audi RSQ	Audi RSQ
William I	William I of the Netherlands
Toni Polster	Toni Polster
Russian Soviet Federal Socialist Republic	Russian Soviet Federative Socialist Republic
Tony Blair	Tony Blair
Gulf of Mexico	Gulf of Mexico
Roadshow Movies	Village Roadshow Pictures
So Into You	So into You
Steven Spielberg	Steven Spielberg
Moments	Moments
The Who	The Who
ITunes Store	ITunes Store
Engine Sentai Goonger	Engine Sentai Goonger
French Second Empire	Second French Empire
Elliott Spitzer	Eliot Spitzer
Tiye	Tiye
Sizzo Prince of Schwarzburg	Sizzo Prince of Schwarzburg
Yang Jing	Yang Jing
Jeremy Corbyn	Jeremy Corbyn
Royal Victorian Medal	Royal Victorian Order
Foshan	Foshan
Tianjin Tuanbo Football Stadium	Tianjin Tuanbo Football Stadium
Takanashi Yasuji	Yasuharu Takanashi
Jigme Singh Wangchuck	Jigme Singye Wangchuck
Cao Kun	Cao Kun
Maggie Gyllenhaal	Maggie Gyllenhaal
Mao Anqing	Mao Anqing
Logic Pro	Logic Pro
Wars of Inlaws	Wars of Inlaws
Des Voeux	William Des Vœux
Florida Administrative Divisions	List of counties in Florida
Krystal Jung	Krystal Jung
Emma Thompson	Emma Thompson
buckinghamshire	Buckinghamshire
Hiranuma Kiichiro	Hiranuma Kiichirō
The beginning of the end	The Beginning of the End
Parti Socialiste	Parti Socialiste
Lin Chenyi	Lin Chenyi
MusashiKosugi Station	MusashiKosugi Station
Zheng Jing	Zheng Jing
Coalition Interim Administration in Iraq	Coalition Provisional Authority
Queer III Arena	Quake III Arena
Tocharian	Tocharian languages
Ashikaga Yoshimitsu	Ashikaga Yoshimitsu
MeeGo	MeeGo
lublin	Lublin
Sauley Niinisto	Sauli Niinistö
monarchs of Canada	Monarchy of Canada
Ramiz Alia	Ramiz Alia
Chiu Yu Ming	Chiu Yu Ming
Deus Ex	Deus Ex
Hun Sen	Hun Sen
Lorene Jen	Lorene Ren
Chile	Chile
Sagamihara Sports Association	SC Sagamihara
Nezid Sultanate	Sultanate of Nejd
Chatichai Choonhavan	Chatichai Choonhavan
Frank O Horton	Frank O Horton
Nabataean Alphabet	Nabataean alphabet
Twu Shiingjer	Twu Shiingjer
Tokugawa Yoshiyori	Tokugawa Yoshiyori
Wayne Chua	Wayne Chua
Didier Drogba	Didier Drogba
Meadow Mari language	Meadow Mari language
Royal Borough of Windsor and Maidenhead	Royal Borough of Windsor and Maidenhead
Jetstar	Jetstar Airways
Sultan Tuanku Abdul Halim	Abdul Halim of Kedah
La Palma Island	La Palma
Joetsu Shinkansen	Jōetsu Shinkansen
University of Chicago	University of Chicago
Reading Football Club	Reading FC
Rais Yading	Rais Yatim
Tomiya Nagase	Tomoya Nagase
Archduke Franz Karl	Archduke Franz Karl of Austria
JewishMoroccan	JudeoMoroccan Arabic
The Great Divide	Great Dividing Range
Wen Jiabao	Wen Jiabao
River of No Return	River of No Return
Jersey City	Jersey City New Jersey
Joseph Sung	Joseph Sung
Kanji	Kanji
Apache Software Foundation	Apache Software Foundation
AuvergneRhôneAlpes	AuvergneRhôneAlpes
Mischievous Kiss	Playful Kiss
Delaware	Delaware
Bernay	Bernex Switzerland
