Dimitris Sioufas	Dimitris Sioufas,Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Demetris Christofias,Dmitry Livanov,Antonis Samaras,Giannis Ragousis,Javier Solana,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,David Libai,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Margaritis Schinas,Dieter Althaus,Tzipi Livni,Microsoft,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,South Sudan,Marisa Matias,Doris Leuthard,Albio Sires,Siiri Oviir,Dmitry Mezentsev,Academia Sinica,Aamir Khan,Alastair Goodlad,M%C3%A1rio Soares,United Russia,United Nations,Lithuania,Tajikistan,Mauritania,Eiki Nestor,Antanas Mockus,Mike Simpson,Neritan Ceka,Tim Fischer
Gnassingbé Eyadéma	Gavin Newsom,Satsuki Eda,Gnassingb%C3%A9 Eyad%C3%A9ma,Saudi Arabia,Anson Chan,Nigel Evans,Edi Rama,Laurent Fabius,Gabriel Oprea,Joachim Gauck,Kevin Brady,Anand Satyanand,Nabil Elaraby,Alain Madelin,Javier Solana,Taslima Nasrin,Gaston Flosse,Makiko Tanaka,Gianni Letta,Jane Harman,Guyana,Hassan Rouhani,United Russia,Justin Trudeau,Gerrit Zalm,Hassanal Bolkiah,Burkina Faso,Mauritania,Russia,Arab League,Bill Bradley,Lawrence Cannon,Robin Hayes,Rein Lang,David Emerson,Emmanuel Macron,George Habash,Marion Barry,Nancy Pelosi,Sardinia,Abu Darda,Stephen Hadley,Sheikh Hasina,Raymond Barre,Paul Ryan,Joseph Estrada,Mansoura, Egypt,Santiago Creel,Harrison Ford,Rand Paul
Sheikh Hamad bin Khalifa al-Thani	Hamad bin Khalifa Al Thani,Tamim bin Hamad Al Thani,Sheikh Hasina,Khalid bin Sultan Al Saud,Turki bin Faisal Al Saud,Mohammad Hamid Ansari,Muhiuddin Khan Alamgir,Mikheil Saakashvili,Osama bin Laden,Alpha Kappa Alpha,Mohammad Reza Pahlavi,Sahabzada Yaqub Khan,Pier Ferdinando Casini,The Walt Disney Company,Eberhard van der Laan,Salman Khan,Mohammad-Ali Rajai,Muhammad Habibur Rahman,Shankar Dayal Sharma,Liaquat Ali Khan,Mikhail Gorbachev,Hamid Karzai,Chatichai Choonhavan,Mehdi Bazargan,Nandan Nilekani,Taha Yassin Ramadan,Jalaluddin Haqqani,Shintaro Ishihara,Reinhard Klimmt,Shulamit Aloni,Nikitas Kaklamanis,Saudi Arabia,Chiang Kai-shek,Edelgard Bulmahn,Ahmed Galal,Abdullah II of Jordan,J. Jayalalithaa,Michael Fallon,Ayaan Hirsi Ali,Prem Tinsulanonda,Amanullah Khan,Aamir Khan,Henri Emmanuelli,Mikhail Margelov,Ashraf Ghani,Syrian Social Nationalist Party,Thierry Mariani,Serikbolsyn Abdildin,Mohammad Beheshti,Hassan Rouhani
Justicialist Party	Justicialist Party,Ulster Unionist Party,Finns Party,Moderate Party,Brazilian Socialist Party,Dick Marty,Jussi Niinist%C3%B6,Democratic Unionist Party,New Democratic Party,Spanish Army,Spanish Navy,Associated Press,Israeli Labor Party,Gibraltar,R. Nicholas Burns,Marion Barry,Vitaliy Masol,Justin Trudeau,Burkina Faso,Tajikistan,Pakistan,Turkmenistan,Afghanistan,Joachim Gauck,Sicily,Bharatiya Janata Party,Patricia Scotland,Eiki Nestor,Canadian Army,Joseph Estrada,J. Jayalalithaa,Aosta Valley,African Union,Pascal Canfin,Duncan Kerr,Victor Ponta,Patrick Hillery,Council of Europe,Guido Carli,Luis Cruz,Jay Carney,Jair Bolsonaro,Joseph Muscat,Eliane Karp,Julie Bishop,Jes%C3%BAs Posada,Richard Ottaway,Jyoti Basu,Rebecca Harms,Monika Harms
Patrick M. Hughes	Patrick M. Hughes,Patrick Mayhew,Patrick Hillery,Patrick Ollier,Beverley Hughes,Rick Boucher,Patty Murray,Patricia Scotland,Marisa Matias,Eric Holder,Marco Maciel,Chris Huhne,Mark Rutte,Marek Jurek,Karel De Gucht,Candice Bergen,Marine Le Pen,Donald M. Payne,David L. Aaron,Martin McGuinness,Paul Reeves,Dick Celeste,David Ige,Dick Spring,Gabriel Oprea,Robin Hayes,Francis Maude,Chris Murphy,Carlos Menem,Pasqual Maragall,Jack Markell,Marilyn Musgrave,Devin Nunes,Bruce George,Dick Marty,Paulo Maluf,Steven Mnuchin,Mario Blejer,Claudio Huepe,Pedro Solbes,Mark Warner,Marcus Stephen,Jack Lew,Mauritius,Rick Larsen,Marie Bashir,Monika Harms,Paul Tsongas,Karim Massimov,Brian Mikkelsen
Isabel Carrasco	Isabel Carrasco,Mel Carnahan,Miguel Arraes,Nabil Elaraby,Mike Crapo,Jane Harman,Indrek Tarand,Fidel Castro,Ana Palacio,Jaume Matas,Jay Carney,Daniel Toribio,Michel Camdessus,Manuel Valls,Gabriel Oprea,Abu Darda,Andrew Card,James Florio,Michel Barnier,Paul Martin,Jean Charest,Ignazio Cassis,Ben Cardin,Patty Murray,Ivan Safronov,Alexei Mordashov,Pavel Astakhov,Pavel Grachev,Davit Bakradze,Tibor Navracsics,Pavel Tigrid,Hamid Karzai,Jacques Chirac,Elena Salgado,Pedro Carmona,Anne Hidalgo,Marisa Matias,Catherine Tasca,Susana Martinez,Sanna Marin,Juan Lozano,Marcelo Ebrard,Mario Barletta,Kate Brown,Robin Hayes,Omar Torrijos,Babacar Gaye,Beppe Grillo,Guido Carli,Eliane Karp
Tibor Navracsics	Tibor Navracsics,Viktor Basargin,Isabel Carrasco,Leo Varadkar,Giorgos Kaminis,Grigory Yavlinsky,Marisa Matias,Steve Bracks,Ron DeSantis,Tom Carper,Terry Branstad,Rick Larsen,Pio Laghi,Thierry Mariani,Guido Carli,Ana Palacio,Lib%C3%A9ration,Evo Morales,Kirk Fordice,Novartis,Pope Francis,Geoff Davis,Nigel Evans,Jim Prentice,Gibraltar,Tigran Torosyan,John Sarbanes,Victor Ciorbea,Albio Sires,Gerrit Braks,Robert Zoellick,Peter DeFazio,Bogdan Klich,Tulsi Gabbard,Jelko Kacin,George Radanovich,Jim Ramstad,Nabil Elaraby,Violeta Bulc,Jaume Matas,Michel Camdessus,Taslima Nasrin,Marju Lauristin,Dimitrios Grapsas,Davit Bakradze,Tommy Lapid,Eric Garcetti,Jim Risch,Giannis Ragousis,Ignazio Cassis
Paavo Lipponen	Paavo Lipponen,Urho Kekkonen,Paul Simon,Tzipi Livni,Peter Hintze,Hans Hillen,Dan Tichon,Taro Kono,Dan Boren,Matti Vanhanen,Pedro Carmona,Pat Buchanan,Jack Layton,Dave Weldon,Pablo Escobar,Napoleon,Paavo V%C3%A4yrynen,Arab League,Pakistan,Mauno Koivisto,Toivo Asmer,Frank Jensen,Lars Barfoed,Marcus Stephen,Lionel Bowen,Mike Simpson,Bram Peper,Rick Larsen,Puerto Rico,Mark Binskin,David Ige,Paul Reeves,Paul Ryan,Dan Burton,David Libai,Siv Jensen,Kate Brown,Paul Martin,Jack Lew,Paulo Maluf,David Vitter,David Dinkins,Gary Locke,Mark Warner,Jan Pronk,Marine Le Pen,Pedro Solbes,Ilkka Suominen,Nancy Pelosi,Paul Biya
David Lidington	David Lidington,David Johnston,David L. Aaron,David Emerson,David Dinkins,David Libai,David Vitter,David Ben-Gurion,David Ige,David Blunkett,David Dreier,Dan Burton,Dan Tichon,Mauno Koivisto,Jack Layton,Hage Geingob,Dave Weldon,Tajikistan,Peter Hintze,Mark Binskin,Rein Lang,Dick Spring,Gavin Newsom,Eric Cantor,Hillary Clinton,Paul Simon,Sam Johnson,Mark Dayton,Anne Hidalgo,James Langevin,Jim Saxton,Devin Nunes,Daniel Toribio,Tzipi Livni,Bernd Lange,Pavel Tigrid,Javier Solana,Dmitry Livanov,Yuval Steinitz,Yair Lapid,Davit Bakradze,Marju Lauristin,Paavo Lipponen,Dianne Feinstein,Marko Mihkelson,Sajid Javid,Madrid,Pakistan,African Union,Rob Nicholson
Jaroslaw Kaczynski	Jan Olszewski,Karolos Papoulias,Jelko Kacin,Jaros%C5%82aw Kalinowski,Marisa Matias,Barbara Mikulski,Jaros%C5%82aw Kaczy%C5%84ski,Lothar Bisky,Mark Binskin,Joseph Stalin,Carlos Santana,Carolyn McCarthy,Jadranka Kosor,Pascal Canfin,Taro Kono,Marat Tajin,Natascha Kampusch,John Dawkins,Lisa Murkowski,Hassan Rouhani,Ramzan Kadyrov,Nadiya Savchenko,Grigory Yavlinsky,Hamid Karzai,Theresa May,Kostas Karamanlis,Burkina Faso,Roland Koch,Herbert Kickl,John Warner,Allan Rock,Robin Hayes,Jan Pronk,Joachim Gauck,Paul Martin,Lars Barfoed,Mark Kirk,Daniel Scioli,Gary Locke,Harald Kujat,Marion Barry,Antonio Inoki,Boris Nemtsov,Babacar Gaye,Mark Warner,Moshe Arens,Marco Maciel,Andrus Ansip,Laurent Fabius,James Langevin
Jean-Pierre Soisson	Jean-Pierre Soisson,Jean-Pierre Raffarin,Jean-Claude Gaudin,Jean-Michel Baylet,Jean Charest,Jean-Louis Tauran,Jean Asselborn,Pierre Werner,Daniel Scioli,Daniel Toribio,Jerry Moran,Pete Peterson,Javier Solana,Mike Simpson,Julie Bishop,Jean-David Levitte,Vincent Peillon,Lionel Jospin,Anne-Marie Lizin,Jean Spautz,Juan Lozano,Jan Pronk,Robert Lepikson,Kenji Goto,%C3%89ric Besson,Umberto Bossi,Pedro Solbes,Alexander Lentsov,Denis Berezovsky,Leonid Gozman,Adrienne Clarkson,Jair Bolsonaro,Jean Schmidt,Vladimir Voronin,Werner Faymann,Werner Hoyer,Vladimir Kozhin,Paul Simon,David Emerson,Yasuhiro Nakasone,Jerry Lewis,Johnny Isakson,Juan Almeida Bosque,Jim Saxton,David Johnston,J%C3%B8rgen Kosmo,Jadranka Kosor,Dan Tichon,G%C3%B6ran Persson,Lawrence Cannon
Karel De Gucht	Karel De Gucht,Harald Kujat,Marek Jurek,Peter Welch,Karen Ellemann,Anke Fuchs,Pavel Grachev,Hannelore Kraft,Kiran Desai,Carla Del Ponte,Jan Kohout,Arab League,Cape Verde,Greece,Roland Koch,Joachim Gauck,Paul Reeves,Gary Locke,Jacques Delors,Jelko Kacin,Mark Rutte,Marine Le Pen,Karolos Papoulias,Kate Brown,Hanno Pevkur,Pavel Tigrid,Kenji Goto,Yves Cochet,Noel Davern,Laurent Fabius,Boris Nemtsov,Mark Dayton,Urho Kekkonen,Charlie Baker,Carlos Slim,Karim Massimov,Arne Duncan,Nancy Pelosi,Kirk Fordice,Joseph Muscat,Hage Geingob,Greg Abbott,George Weah,Pavel Astakhov,David Ben-Gurion,Peter DeFazio,Angela Merkel,Carlos Menem,Napoleon,Kevin Rudd
Abdurrahman Wahid	Abdurrahman Wahid,Abdus Samad Azad,Salman Khan,Adrian Smith,Andrew Card,Amr Waked,Andrus Ansip,African Union,Burkina Faso,Mauritania,Port Said,Ahmed Galal,Abu Darda,M. Karunanidhi,Marat Tajin,Abdullah II of Jordan,Yahya Khan,Redha Malek,Artur Rasizade,Sanna Marin,Harrison Ford,Anand Satyanand,Tommy Lapid,Aamir Khan,Amanullah Khan,Terry Branstad,Thierry Mariani,Andrew Lansley,Laurent Fabius,Ana Palacio,Indrek Tarand,Ashraf Ghani,Moderate Party,Yair Lapid,Andriy Sadovyi,Jadranka Kosor,Rumen Radev,Sajid Javid,Deutsche Bahn,Murtaza Rakhimov,Theresa May,Ed van Thijn,Srgjan Kerim,Aleksandar Vulin,Guyana,Turkmenistan,Madrid,Arab League,Argentina,The Bahamas
John Abizaid	John Abizaid,John Redwood,John Linder,John Tsang,John Warner,Port Said,John Key,John Kufuor,John Sarbanes,Tony Blair,John Brumby,Juan Lozano,John Dawkins,John Boehner,John R. Allen,John Danforth,Johannes Hahn,Todd Akin,Jean Schmidt,Roman Herzog,Joseph Stalin,Jon Tester,Rosa Aguilar,Mozambique,Honduras,Romania,John E. Sununu,Ken Starr,Rob Andrews,Rein Lang,David Libai,Joe Crowley,Don Young,Bob Taft,Dan Tichon,Ben Cardin,John F. Tierney,Bob Graham,Ali Abbasov,Nokia,Nokia,Jan Kohout,Joachim Gauck,Greg Abbott,Paul Biya,Jim Molan,Jean Spautz,Lazard,Tariq Aziz,Tzipi Livni
Jim Prentice	Jim Prentice,Jim Bunning,Jim Doyle,Jim Saxton,Jim Ramstad,Jim Risch,Jan Pronk,Greece,Argentina,Le Point,Jim Molan,Kirk Fordice,France,Jon Tester,Siv Jensen,Sam Brownback,Lithuania,Ukraine,Tom Steyer,Romania,Henrik,Vietnam,Tim Fischer,Dick Celeste,Al Green,Joe Crowley,Eiki Nestor,Tim Holden,Ted Poe,Burundi,Bram Peper,Jay Carney,Meretz,Smile,Benin,Gibraltar,Peter Hintze,Dan Boren,Emma Bonino,Brunei,Suriname,Sam Johnson,Eric Cantor,Lionsgate,Ron DeSantis,Kit Bond,Eric Garcetti,Peronism,Mauritius,Bob Menendez
Luciano Pavarotti	Luciano Pavarotti,Lucas Papademos,Giuliano Amato,Curtis Scaparrotti,Leon Panetta,Guido Carli,Irene Pivetti,Finns Party,Eric Garcetti,Roberta Pinotti,Mario Barletta,Vincenzo Scotti,Corina Casanova,Juan Lozano,Jean Charest,Susana Malcorra,Lucien Bouchard,Eliane Karp,Ivan Safronov,Richard Dannatt,Ramzan Kadyrov,Jan Pronk,Liese Prokop,Scott Garrett,Pio Laghi,Beniamino Andreatta,Gianni Letta,Pietro Lunardi,Leo Varadkar,Fulvio Rossi,Victor Ponta,Yasuhiro Nakasone,Iliana Iotova,Richard Caborn,Luis Cruz,Richard Bruton,Hamid Karzai,Ana Palacio,Morgan Tsvangirai,Hanno Pevkur,Viktor Basargin,Nicolae Timofti,Ian Paisley,Richard Holbrooke,Gresham Barrett,Anwar Sadat,Giannis Ragousis,Keiko Fujimori,Alain Berset,Michael Fallon
Nguyen Phu Trong	Jan Pronk,Nuon Chea,John Tsang,Steven Chu,Don Young,Pete Peterson,Dan Burton,Vincent Peillon,Fred Thompson,Noel Davern,Carles Puigdemont,French Army,Dawn Primarolo,Nancy Pelosi,Roman Herzog,Fidel Castro,Yury Luzhkov,Steven Mnuchin,Yevgeny Primakov,Narendra Modi,Reuven Rivlin,United Nations,Montenegro,Le Point,Anson Chan,Rein Lang,Lawrence Cannon,Peter Phillips,Renato Soru,Nigel Evans,V. P. Singh,Dan Tichon,R. P. Singh,Dick Spring,Ted Poe,Bill Young,Peter Cosgrove,Mike Simpson,Gwen Moore,Salman Khan,Kate Brown,Joyce Quin,Sierra Leone,Ken Starr,Dan Boren,Arne Duncan,Jerry Brown,David L. Aaron,Juan Lozano,Susan Collins
Brian Cowen	Brian Cowen,Dan Boren,Lionel Bowen,William Cohen,Bram Peper,Adrian Smith,African Union,Allan Rock,Anson Chan,Frank Jensen,Tim Holden,Robin Cook,Bill Young,Jim Molan,Eric Holder,Bill Gates,Susan Collins,Ben Cardin,Milan Uhde,France,Brunei,Bill Shorten,Neritan Ceka,Simon Coveney,Bob Dole,Erwin Huber,Juan Lozano,Nuon Chea,Brian Mikkelsen,Napoleon,Ron Wyden,Robin Hayes,Iran,Al Green,Norm Coleman,Dan Burton,Taiwan,Jim Doyle,Marion Barry,Jerry Moran,Rein Lang,Gwen Moore,Bruce George,Bill Ritter,Greg Walden,Joe Crowley,Roland Koch,Don Young,Ted Poe,Rick Larsen
Roland Koch	Roland Koch,Allan Rock,Rand Paul,Robin Cook,Bogdan Klich,Romania,Milan Uhde,John Key,Howard Coble,Renato Soru,Roman Herzog,Taro Kono,Salman Khan,Eliane Karp,Gerald Klug,Holy See,Iceland,Honduras,Duncan Kerr,Todd Akin,Mark Kirk,Raymond Kelly,Jan Kohout,Robin Hayes,Rein Lang,Rob Andrews,Ted Poe,Dan Tichon,Gary Locke,France,Don Young,Jan Pronk,South Korea,Harald Kujat,Edmund Szoka,Vlad Filat,Jelko Kacin,Al Gore,Dan Boren,Henk Kamp,Bob Dole,Hans Blix,Tony Blair,Wim Kok,Brian Cowen,Thad Cochran,Napoleon,Elon Musk,Ron Wyden,Guyana
Miguel Arraes	Miguel Arraes,Nigel Evans,Manuel Valls,Mike Crapo,Moshe Arens,Michel Mercier,Michel Barnier,Marcelo Ebrard,Paul Reeves,Willy Claes,Bill Gates,Dieter Althaus,Marek Jurek,Lionel Bowen,Michael Dukakis,Michael Howard,Fine Gael,Gabriel Oprea,Jaume Matas,Angela Merkel,Albio Sires,Bill Ritter,Michel Camdessus,Evo Morales,Isabel Carrasco,Rick Larsen,Michael Flynn,Al Green,Milan Uhde,Michael Fallon,Paul Martin,Paul Biya,Paul Ryan,Al Gore,Indrek Tarand,Lionel Jospin,Ilse Aigner,Steve Bracks,Ehud Barak,Pierre Werner,Bill Bradley,Steve Daines,Mel Carnahan,Monika Harms,Vince Cable,Pavel Grachev,Madeira,Shaul Mofaz,Gerrit Braks,Bill Shorten
Thad Cochran	Thad Cochran,Dan Tichon,Dan Boren,Yves Cochet,Ehud Barak,Norm Coleman,Pat Buchanan,Anson Chan,Yahya Khan,Ted Poe,Nuon Chea,Steve Rothman,Roland Koch,Vlad Filat,Sam Johnson,Jan Kohout,Vern Buchanan,Jim Molan,Richard Caborn,Jerry Moran,Todd Akin,Shaul Mofaz,Brian Cowen,Juan Lozano,Tim Holden,Aamir Khan,Tsai Ing-wen,Ehud Olmert,Madeira,Leonid Gozman,Yash Ghai,Ahmed Galal,Gwen Moore,Kadima,Zhu Rongji,Jean Schmidt,Fred Thompson,Leonid Kozhara,Tim Fischer,Taro Kono,Al Gore,Jay Carney,Rick Boucher,Yury Chaika,Khaleda Zia,Paul Ryan,Tajikistan,Chet Edwards,Theodor Stolojan,Ben Cardin
Cantabria	Cantabria,Catalonia,Chuvashia,Tatars,Latvia,Sanna Marin,Madeira,Bulgaria,Eritrea,Lazard,Khakassia,Dan Boren,Buryatia,Sardinia,Hans Blix,Henrik,Madrid,Slovakia,Palau,Mauritania,Estonia,Romania,Comoros,Chechnya,Gabon,Benin,Mart Laar,Libya,Kongsberg,Port Said,Gazprom,Ben Cardin,Nauru,Kadima,Abu Darda,Nokia,Nokia,Jan Pronk,Dan Burton,Ken Starr,Paul Biya,Novartis,Yahya Khan,Khaleda Zia,Ivan Rybkin,Jane Harman,Rand Paul,Spain,Wales,Dagestan
