Dimitris Sioufas	Dimitrios Droutsas,Dimitrios Grapsas,Dimitrij Rupel,Dmitry Livanov,Demetris Christofias,Mário Soares,Antonis Samaras,Giannis Ragousis,Javier Solana,Mümtaz Soysal,Karolos Papoulias,Victor Ponta,Andris Piebalgs,Pedro Solbes,Daniel Scioli,Hindi cinema,David Libai,François Loos,Éric Raoult,Valdis Birkavs,David Dinkins,Devin Nunes,Victor Ciorbea,Morris Iemma,Boris Nemtsov,Dieter Althaus,Tzipi Livni,Microsoft,Margaritis Schinas,Alexis Tsipras,Edmund Szoka,Mauritius,Jim Molan,Chris Huhne,Albio Sires,South Sudan,Marisa Matias,Doris Leuthard,François Zimeray,Siiri Oviir,Dmitry Mezentsev,François Goulard,Academia Sinica,Aamir Khan,Alastair Goodlad,United Russia,United Nations,Lithuania,Tajikistan,Dimitris Sioufas
Gnassingbé Eyadéma	Gavin Newsom,Satsuki Eda,Saudi Arabia,Hindi cinema,Anson Chan,Nigel Evans,Edi Rama,Laurent Fabius,Gabriel Oprea,Joachim Gauck,Kevin Brady,Anand Satyanand,Nabil Elaraby,Javier Solana,Taslima Nasrin,Alain Madelin,Gaston Flosse,Alain Juppé,Makiko Tanaka,Gianni Letta,Jane Harman,Guyana,Justin Trudeau,Hassan Rouhani,United Russia,Gerrit Zalm,Hassanal Bolkiah,Burkina Faso,Mauritania,Russia,Arab League,Lawrence Cannon,Robin Hayes,Rein Lang,David Emerson,George Habash,Marion Barry,Nancy Pelosi,Abu Darda,Stephen Hadley,Sheikh Hasina,Sardinia,Paul Ryan,Joseph Estrada,Gladys Marín,Raymond Barre,Hans Engell,Libération,Santiago Creel,Gnassingbé Eyadéma
Sheikh Hamad bin Khalifa al-Thani	Tamim bin Hamad Al Thani,Sheikh Hasina,Khalid bin Sultan Al Saud,Turki bin Faisal Al Saud,Mohammad Hamid Ansari,Muhiuddin Khan Alamgir,Mikheil Saakashvili,Osama bin Laden,Alpha Kappa Alpha,Mohammad Reza Pahlavi,Sahabzada Yaqub Khan,Pier Ferdinando Casini,The Walt Disney Company,Eberhard van der Laan,Salman Khan,Mohammad-Ali Rajai,John Karefa-Smart,Muhammad Habibur Rahman,Shankar Dayal Sharma,Liaquat Ali Khan,Mikhail Gorbachev,Hamid Karzai,Chatichai Choonhavan,Mehdi Bazargan,Nandan Nilekani,Jalaluddin Haqqani,Taha Yassin Ramadan,Shintaro Ishihara,Richard von Weizsäcker,Reinhard Klimmt,Soraya Sáenz de Santamaría,Shulamit Aloni,Nikitas Kaklamanis,José María Michavila,Saudi Arabia,Chiang Kai-shek,Edelgard Bulmahn,Ahmed Galal,Abdullah II of Jordan,J. Jayalalithaa,Michael Fallon,Ayaan Hirsi Ali,Recep Tayyip Erdoğan,Prem Tinsulanonda,Amanullah Khan,Aamir Khan,Mikhail Margelov,Henri Emmanuelli,Ashraf Ghani,Hamad bin Khalifa Al Thani
Justicialist Party	Ulster Unionist Party,Finns Party,Moderate Party,Brazilian Socialist Party,Dick Marty,Jussi Niinistö,Democratic Unionist Party,New Democratic Party,Spanish Army,Spanish Navy,Associated Press,Israeli Labor Party,Gibraltar,R. Nicholas Burns,Marion Barry,Vitaliy Masol,José Ramos-Horta,Justin Trudeau,Burkina Faso,Tajikistan,Pakistan,Turkmenistan,Afghanistan,Joachim Gauck,Sicily,Bharatiya Janata Party,Patricia Scotland,Canadian Army,Eiki Nestor,Aosta Valley,Joseph Estrada,J. Jayalalithaa,African Union,Pascal Canfin,Gladys Marín,Victor Ponta,Duncan Kerr,Nicolás Maduro,Council of Europe,Guido Carli,Patrick Hillery,Luis Cruz,Jay Carney,Jair Bolsonaro,Joseph Muscat,Eliane Karp,Julie Bishop,Richard Ottaway,Jyoti Basu,Justicialist Party
Patrick M. Hughes	Patrick Mayhew,Patrick Hillery,Patrick Ollier,Beverley Hughes,Rick Boucher,Patty Murray,Patricia Scotland,Marisa Matias,Eric Holder,Marco Maciel,Chris Huhne,Mark Rutte,Marek Jurek,Karel De Gucht,Candice Bergen,Marine Le Pen,Donald M. Payne,David L. Aaron,Dick Spring,David Ige,Martin McGuinness,Paul Reeves,Dick Celeste,Gabriel Oprea,Robin Hayes,Francis Maude,Chris Murphy,Carlos Menem,Pasqual Maragall,Paulo Maluf,Jack Markell,Marilyn Musgrave,Éric Raoult,Devin Nunes,Bruce George,Dick Marty,Steven Mnuchin,Mario Blejer,Claudio Huepe,Pedro Solbes,Mark Warner,Marcus Stephen,Jack Lew,Mauritius,Rick Larsen,Marie Bashir,Monika Harms,Paul Tsongas,Karim Massimov,Patrick M. Hughes
Isabel Carrasco	Mel Carnahan,Miguel Arraes,Nabil Elaraby,Mike Crapo,Jane Harman,Indrek Tarand,Fidel Castro,Ana Palacio,Jaume Matas,Jay Carney,Daniel Toribio,Michel Camdessus,Manuel Valls,Gabriel Oprea,Abu Darda,Andrew Card,James Florio,Michel Barnier,Paul Martin,Jean Charest,Ignazio Cassis,Ben Cardin,Patty Murray,Pavel Grachev,Ivan Safronov,Alexei Mordashov,Pavel Astakhov,Davit Bakradze,José E. Serrano,Tibor Navracsics,Pavel Tigrid,Hamid Karzai,José Manuel Barroso,Jacques Chirac,Elena Salgado,Pedro Carmona,Anne Hidalgo,Gladys Marín,Marisa Matias,Catherine Tasca,Susana Martinez,Ana Brnabić,Sanna Marin,Raúl Rivero,Juan Lozano,Marcelo Ebrard,Kate Brown,Mario Barletta,Robin Hayes,Isabel Carrasco
Tibor Navracsics	Viktor Basargin,Isabel Carrasco,Dobrica Ćosić,Gábor Vona,Leo Varadkar,Giorgos Kaminis,Grigory Yavlinsky,Marisa Matias,Steve Bracks,Ron DeSantis,Tom Carper,Terry Branstad,Rick Larsen,Pio Laghi,César Gaviria,Thierry Mariani,Guido Carli,Ana Palacio,Evo Morales,Kirk Fordice,Novartis,Pope Francis,Geoff Davis,Nigel Evans,Jim Prentice,Gibraltar,Libération,Tigran Torosyan,Radovan Karadžić,Radovan Karadžić,Petar Gračanin,John Sarbanes,Victor Ciorbea,Albio Sires,Gerrit Braks,Robert Zoellick,Peter DeFazio,Mihai Tănăsescu,Bogdan Klich,Tulsi Gabbard,Jelko Kacin,George Radanovich,Jim Ramstad,Nabil Elaraby,Violeta Bulc,Jaume Matas,Taslima Nasrin,Marju Lauristin,Michel Camdessus,Tibor Navracsics
Paavo Lipponen	Paavo Väyrynen,Urho Kekkonen,Paul Simon,Tzipi Livni,Peter Hintze,Hans Hillen,Matti Vanhanen,Dan Tichon,Taro Kono,Dan Boren,Pedro Carmona,Pat Buchanan,Jack Layton,Dave Weldon,Pablo Escobar,Napoleon,Arab League,Pakistan,Paul Otto,Mauno Koivisto,Toivo Asmer,Frank Jensen,Lars Barfoed,Marcus Stephen,Lionel Bowen,Mike Simpson,Bram Peper,Rick Larsen,Mark Binskin,David Ige,Paul Reeves,Paul Ryan,Dan Burton,David Libai,Siv Jensen,Paulo Maluf,Kate Brown,Paul Martin,Puerto Rico,Jack Lew,David Vitter,David Dinkins,Gary Locke,Mark Warner,Jan Pronk,Marine Le Pen,Pedro Solbes,Ilkka Suominen,Paul Biya,Paavo Lipponen
David Lidington	David Johnston,David L. Aaron,David Emerson,David Dinkins,David Libai,David Vitter,David Ben-Gurion,David Ige,David Blunkett,David Dreier,Dan Burton,Dan Tichon,Mauno Koivisto,Jack Layton,Hage Geingob,Dave Weldon,Tajikistan,Peter Hintze,Mark Binskin,Dick Spring,Rein Lang,Gavin Newsom,Eric Cantor,Hillary Clinton,Paul Simon,Sam Johnson,Mark Dayton,Anne Hidalgo,James Langevin,Jim Saxton,Devin Nunes,Daniel Toribio,Tzipi Livni,Pavel Tigrid,Bernd Lange,Javier Solana,Dmitry Livanov,Yuval Steinitz,Yair Lapid,Davit Bakradze,Marju Lauristin,Paavo Lipponen,Dianne Feinstein,Marko Mihkelson,Sajid Javid,Madrid,Paul Otto,Pakistan,African Union,David Lidington
Jaroslaw Kaczynski	Jarosław Kalinowski,Władysław Bartoszewski,Jan Olszewski,Karolos Papoulias,Jelko Kacin,Marisa Matias,Wiesław Chrzanowski,Barbara Mikulski,Lothar Bisky,Mark Binskin,Joseph Stalin,Carlos Santana,Pascal Canfin,Carolyn McCarthy,Jadranka Kosor,Taro Kono,Marat Tajin,Maciej Płażyński,Mieczysław Rakowski,Natascha Kampusch,John Dawkins,Lisa Murkowski,Radovan Karadžić,Radovan Karadžić,Hassan Rouhani,Baltasar Garzón,Ramzan Kadyrov,Nadiya Savchenko,Grigory Yavlinsky,Hamid Karzai,Theresa May,Kostas Karamanlis,Burkina Faso,Roland Koch,José Bono,Herbert Kickl,John Warner,Allan Rock,Robin Hayes,Jan Pronk,Joachim Gauck,Janusz Piechociński,Paul Martin,Lars Barfoed,Mark Kirk,Daniel Scioli,Josef Pühringer,Jānis Jurkāns,Gary Locke,Jarosław Kaczyński
Jean-Pierre Soisson	Jean-Pierre Raffarin,Jean-François Hory,Jean-Claude Gaudin,Göran Persson,Jean-Michel Baylet,Jean-Louis Tauran,Jean Charest,Jean Asselborn,Pierre Werner,Daniel Scioli,Daniel Toribio,Jerry Moran,Pete Peterson,Javier Solana,Mike Simpson,Julie Bishop,Jean-David Levitte,François Loos,Vincent Peillon,Lionel Jospin,Anne-Marie Lizin,Jean Spautz,Juan Lozano,Éric Besson,Jan Pronk,Édith Cresson,Robert Lepikson,Kenji Goto,Umberto Bossi,Pedro Solbes,Jørgen Kosmo,Alexander Lentsov,Denis Berezovsky,Jair Bolsonaro,Leonid Gozman,Adrienne Clarkson,Jean Schmidt,Vladimir Voronin,Werner Faymann,Werner Hoyer,Vladimir Kozhin,Paul Simon,David Emerson,Yasuhiro Nakasone,Jerry Lewis,Johnny Isakson,Juan Almeida Bosque,Jim Saxton,David Johnston,Jean-Pierre Soisson
Karel De Gucht	Harald Kujat,Marek Jurek,Peter Welch,Karen Ellemann,Pavel Grachev,Carolina Tohá,Anke Fuchs,Karl Schlögl,Hannelore Kraft,Kiran Desai,Carla Del Ponte,Keizō Obuchi,Jan Kohout,Arab League,Cape Verde,Greece,Roland Koch,Árpád Göncz,Joachim Gauck,Paul Reeves,Gary Locke,Jacques Delors,Jelko Kacin,Éric Raoult,Mark Rutte,Karolos Papoulias,Marine Le Pen,Kate Brown,Pavel Tigrid,Hanno Pevkur,Kenji Goto,Yves Cochet,Laurent Fabius,Noel Davern,Boris Nemtsov,Mark Dayton,Yves Guéna,Urho Kekkonen,Charlie Baker,Carlos Slim,Paweł Kukiz,Karim Massimov,Arne Duncan,Nancy Pelosi,Kirk Fordice,Joseph Muscat,Hage Geingob,Greg Abbott,George Weah,Karel De Gucht
Abdurrahman Wahid	Abdus Samad Azad,Salman Khan,Adrian Smith,Andrew Card,Amr Waked,Andrus Ansip,African Union,Burkina Faso,Mauritania,Port Said,Ahmed Galal,Abu Darda,M. Karunanidhi,Marat Tajin,Abdullah II of Jordan,Yahya Khan,Redha Malek,Artur Rasizade,Sanna Marin,Abdalá Bucaram,Adán Martín Menis,Harrison Ford,Anand Satyanand,Tommy Lapid,Aamir Khan,Amanullah Khan,Terry Branstad,Thierry Mariani,Andrew Lansley,Laurent Fabius,Ana Palacio,Adrian Năstase,Indrek Tarand,Ashraf Ghani,Moderate Party,Yair Lapid,Andriy Sadovyi,Jadranka Kosor,Rumen Radev,Sajid Javid,Deutsche Bahn,Murtaza Rakhimov,Ana Brnabić,Theresa May,Ed van Thijn,Srgjan Kerim,Aleksandar Vulin,Guyana,Turkmenistan,Abdurrahman Wahid
John Abizaid	John Redwood,John Linder,John Tsang,John Warner,Port Said,John Key,John Kufuor,John Sarbanes,Tony Blair,John Brumby,Juan Lozano,John Dawkins,John Boehner,John R. Allen,John Danforth,Johannes Hahn,Todd Akin,Jean Schmidt,Roman Herzog,Joseph Stalin,Jon Tester,José Mujica,José Alencar,Rosa Aguilar,Mozambique,Honduras,Zoran Đinđić,Romania,José Bono,John E. Sununu,Ken Starr,Rob Andrews,Rein Lang,David Libai,Joe Crowley,Don Young,Bob Taft,Dan Tichon,Ben Cardin,John F. Tierney,Bob Graham,Ali Abbasov,Nokia,Nokia,Joachim Gauck,Jan Kohout,Greg Abbott,Paul Biya,Jim Molan,John Abizaid
Jim Prentice	Jim Bunning,Jim Doyle,Jim Saxton,Jim Ramstad,Jim Risch,Jan Pronk,Greece,Argentina,Le Point,Jim Molan,Kirk Fordice,Libération,France,Jon Tester,Siv Jensen,Sam Brownback,Lithuania,Ukraine,Tom Steyer,Romania,Henrik,Vietnam,Tim Fischer,Dick Celeste,Al Green,Joe Crowley,Eiki Nestor,Tim Holden,Ted Poe,Burundi,Bram Peper,Jay Carney,Smile,Meretz,Benin,Peter Hintze,Dan Boren,Suriname,Emma Bonino,Gibraltar,Brunei,Sam Johnson,Eric Cantor,Lionsgate,José Montilla,Ron DeSantis,Kit Bond,Eric Garcetti,Jürgen Ligi,Jim Prentice
Luciano Pavarotti	Lucas Papademos,Giuliano Amato,Curtis Scaparrotti,Élcio Álvares,Leon Panetta,Guido Carli,Irene Pivetti,Finns Party,Eric Garcetti,Roberta Pinotti,Mario Barletta,Vincenzo Scotti,Corina Casanova,Juan Lozano,Jean Charest,Susana Malcorra,Eliane Karp,Ivan Safronov,Lucien Bouchard,Bojan Pajtić,Richard Dannatt,Ramzan Kadyrov,Jan Pronk,Liese Prokop,Scott Garrett,Pio Laghi,Beniamino Andreatta,Gianni Letta,Leo Varadkar,Pietro Lunardi,Fulvio Rossi,César Gaviria,Yasuhiro Nakasone,Nicolás Maduro,Iliana Iotova,Victor Ponta,Göran Persson,Richard Bruton,Richard Caborn,Luis Cruz,Raúl Rivero,Hamid Karzai,Morgan Tsvangirai,Ana Palacio,Hanno Pevkur,Viktor Basargin,Nicolae Timofti,Luis Echeverría,Ian Paisley,Luciano Pavarotti
Nguyen Phu Trong	Tôn Đức Thắng,Jan Pronk,Nuon Chea,John Tsang,Steven Chu,Don Young,Pete Peterson,Dan Burton,Vincent Peillon,Fred Thompson,Noel Davern,Carles Puigdemont,French Army,Dawn Primarolo,Göran Persson,Nancy Pelosi,Roman Herzog,Fidel Castro,Yury Luzhkov,Steven Mnuchin,Yevgeny Primakov,Narendra Modi,Reuven Rivlin,United Nations,Montenegro,Le Point,Anson Chan,Rein Lang,Lawrence Cannon,Peter Phillips,Nigel Evans,V. P. Singh,Dick Spring,Leire Pajín,Dan Tichon,R. P. Singh,Ted Poe,Bill Young,Mike Simpson,Gwen Moore,Salman Khan,Kate Brown,Josef Pröll,Joyce Quin,Ken Starr,Dan Boren,Arne Duncan,Jerry Brown,Péter Polt,Nguyễn Phú Trọng
Brian Cowen	Dan Boren,Lionel Bowen,William Cohen,Bram Peper,Adrian Smith,African Union,Allan Rock,Anson Chan,Frank Jensen,Tim Holden,Robin Cook,Bill Young,Jim Molan,Eric Holder,Bill Gates,Susan Collins,Ben Cardin,Simon Coveney,Milan Uhde,Mário Soares,Brunei,Bill Shorten,France,Neritan Ceka,Bob Dole,Erwin Huber,Milan Kučan,Juan Lozano,Nuon Chea,Brian Mikkelsen,Napoleon,Ron Wyden,Robin Hayes,Iran,Norm Coleman,Al Green,Dan Burton,Taiwan,Marion Barry,Jerry Moran,Rein Lang,Jim Doyle,Gwen Moore,Bruce George,Greg Walden,Bill Ritter,Joe Crowley,Roland Koch,Don Young,Brian Cowen
Roland Koch	Allan Rock,Rand Paul,Robin Cook,Bogdan Klich,Romania,Milan Uhde,John Key,Howard Coble,Roman Herzog,Taro Kono,Salman Khan,Åland,Milan Kučan,Eliane Karp,Gerald Klug,Renato Soru,Holy See,Iceland,Honduras,Duncan Kerr,Todd Akin,Mark Kirk,Raymond Kelly,José Bono,Robin Hayes,Jan Kohout,Michael Kocáb,Rein Lang,Rob Andrews,Wolfgang Bötsch,Ted Poe,Yoani Sánchez,Dan Tichon,Gary Locke,Don Young,Jan Pronk,France,Harald Kujat,Edmund Szoka,South Korea,Vlad Filat,Jelko Kacin,Árpád Göncz,Dan Boren,Al Gore,Henk Kamp,Carolina Tohá,Bob Dole,Hans Blix,Roland Koch
Miguel Arraes	Nigel Evans,Mike Crapo,Manuel Valls,Moshe Arens,Michel Mercier,Michel Barnier,Marcelo Ebrard,Mircea Geoană,Paul Reeves,Willy Claes,Bill Gates,Dieter Althaus,Marek Jurek,Michael Dukakis,Lionel Bowen,Michael Howard,Fine Gael,Gabriel Oprea,Jaume Matas,Angela Merkel,Albio Sires,Michel Camdessus,Bill Ritter,Evo Morales,Isabel Carrasco,Rick Larsen,Michael Flynn,Al Green,Michael Kocáb,Milan Uhde,Bill Bradley,Michael Fallon,Paul Biya,Paul Martin,Al Gore,Paul Ryan,Lionel Jospin,Indrek Tarand,Ilse Aigner,Steve Bracks,Ehud Barak,Pierre Werner,Steve Daines,Mel Carnahan,Monika Harms,Vince Cable,Madeira,Pavel Grachev,Shaul Mofaz,Miguel Arraes
Thad Cochran	Dan Tichon,Dan Boren,Yves Cochet,Ehud Barak,Norm Coleman,Pat Buchanan,Anson Chan,Yahya Khan,Ted Poe,Nuon Chea,Steve Rothman,Roland Koch,Vlad Filat,Sam Johnson,Jan Kohout,Vern Buchanan,Jim Molan,Richard Caborn,Jerry Moran,Brian Cowen,Todd Akin,Shaul Mofaz,Juan Lozano,Tim Holden,Aamir Khan,Tsai Ing-wen,Gladys Marín,Ehud Olmert,Madeira,Leonid Gozman,Yash Ghai,Ahmed Galal,Gwen Moore,Kadima,Jean Schmidt,Zhu Rongji,Leonid Kozhara,Fred Thompson,Tim Fischer,Al Gore,Taro Kono,Rick Boucher,Jay Carney,Yury Chaika,Khaleda Zia,Paul Ryan,Tajikistan,Chet Edwards,Abdalá Bucaram,Thad Cochran
Cantabria	Catalonia,Chuvashia,Tatars,Latvia,Sanna Marin,Madeira,Bulgaria,Eritrea,Lazard,Khakassia,Dan Boren,Buryatia,Sardinia,Hans Blix,Henrik,Madrid,Slovakia,Palau,Mauritania,Estonia,Fianna Fáil,Romania,Comoros,Chechnya,Gabon,Benin,César Gaviria,Libya,Mart Laar,Port Said,Gazprom,Kongsberg,Ben Cardin,Kadima,Abu Darda,Nauru,Nokia,Nokia,Jan Pronk,Dan Burton,Ken Starr,Paul Biya,Novartis,Yahya Khan,Khaleda Zia,Ivan Rybkin,Jane Harman,Rand Paul,Ninja,Cantabria
